4078,2019-09-06,2360,2368,09:26,2339,09:08,2352,19600株,46百万円,+9,+0.38,2354.092円,132回
4078,2019-09-07,2352,2369,14:59,2322,09:08,2362,17800株,42百万円,+10,+0.43,2355.472円,107回
4078,2019-09-10,2387,2469,12:50,2381,09:00,2447,40000株,98百万円,+85,+3.60,2442.69円,288回
4078,2019-09-11,2467,2519,14:16,2458,09:53,2503,52800株,132百万円,+56,+2.29,2501.451円,298回
4078,2019-09-12,2523,2573,09:07,2523,09:00,2541,54700株,140百万円,+38,+1.52,2552.324円,277回
4078,2019-09-13,2600,2617,13:38,2561,09:04,2604,97200株,253百万円,+63,+2.48,2598.708円,348回
4078,2019-09-17,2585,2595,10:10,2541,09:02,2565,39900株,103百万円,-39,-1.50,2571.403円,206回
4078,2019-09-17,2585,2605,09:01,2547,13:25,2557,38600株,99百万円,-8,-0.31,2570.497円,239回,434.69億円
4078,2019-09-19,2557,2605,09:35,2557,09:00,2599,51800株,134百万円,+42,+1.64,2592.722円,292回,441.83億円
4078,2019-09-20,2598,2604,09:30,2573,12:30,2580,41500株,107百万円,-19,-0.73,2586.639円,218回,438.60億円
4078,2019-09-24,2580,2607,09:55,2562,13:26,2591,16400株,42百万円,+11,+0.43,2584.902円,95回,440.47億円
4078,2019-09-25,2576,2576,09:00,2550,10:44,2554,14000株,36百万円,-37,-1.43,2559.036円,77回,434.18億円
4078,2019-09-26,2569,2606,09:46,2569,09:00,2595,38900株,101百万円,+41,+1.61,2591.82円,188回,441.15億円
4078,2019-09-27,2555,2582,09:00,2508,13:37,2553,39500株,101百万円,-42,-1.62,2544.683円,263回,434.01億円
4078,2019-09-30,2517,2540,09:09,2487,12:35,2523,26400株,66百万円,-30,-1.18,2516.807円,160回,428.91億円
4078,2019-10-01,2537,2583,10:48,2535,09:00,2571,25500株,65百万円,+48,+1.90,2567.6円,172回,437.07億円
4078,2019-10-02,2562,2587,14:46,2525,09:23,2571,34900株,90百万円,0,0,2566.155円,226回,437.07億円
4078,2019-10-03,2492,2521,09:10,2481,09:32,2514,38600株,96百万円,-57,-2.22,2496.236円,232回,427.38億円
4078,2019-10-04,2500,2548,12:55,2495,09:00,2532,31800株,80百万円,+18,+0.72,2528.406円,226回,430.44億円
