6362,2019-08-30,1951,2000,14:58,1951,09:00,1990,4600株,9百万円,+39,+2.00,1983.848円,30回
6362,2019-09-02,1968,1990,13:13,1950,10:06,1970,1100株,2百万円,-20,-1.01,1970.909円,8回
6362,2019-09-03,1982,1998,13:50,1982,12:30,1994,900株,2百万円,+24,+1.22,1993.111円,7回
6362,2019-09-03,1999,1999,09:00,1989,15:00,1989,1600株,3百万円,-5,-0.25,1993.312円,9回
6362,2019-09-05,2000,2000,12:30,1986,14:32,1989,2900株,6百万円,0,0,1990.724円,18回
6362,2019-09-05,1990,2000,09:17,1990,09:00,1990,1700株,3百万円,+1,+0.05,1991.765円,8回
6362,2019-09-07,1989,1995,14:55,1989,13:06,1995,1000株,2百万円,+5,+0.25,1994.1円,5回
6362,2019-09-10,1995,1996,14:55,1992,11:01,1996,4200株,8百万円,+1,+0.05,1994.762円,17回
6362,2019-09-11,1995,2009,10:18,1992,09:02,2009,5500株,11百万円,+13,+0.65,2000.436円,27回
6362,2019-09-12,2009,2009,09:00,1997,10:02,2003,4600株,9百万円,-6,-0.30,2002.565円,16回
6362,2019-09-13,2002,2020,14:56,2001,09:45,2011,23300株,47百万円,+8,+0.40,2006.875円,44回
6362,2019-09-17,2022,2054,13:32,2012,09:08,2050,6100株,12百万円,+39,+1.94,2036.148円,31回
6362,2019-09-17,2046,2046,09:00,2027,14:19,2031,3200株,7百万円,-19,-0.93,2034.875円,15回,76.85億円
6362,2019-09-19,2033,2055,15:00,2033,10:44,2055,9000株,18百万円,+24,+1.18,2046.389円,26回,77.76億円
6362,2019-09-20,2054,2074,14:40,2054,09:00,2074,5500株,11百万円,+19,+0.92,2063.8円,35回,78.48億円
6362,2019-09-24,2080,2130,15:00,2080,09:00,2130,9300株,20百万円,+56,+2.70,2102.247円,38回,80.60億円
6362,2019-09-25,2130,2139,14:42,2104,09:01,2137,8200株,17百万円,+7,+0.33,2126.61円,44回,80.86億円
6362,2019-09-26,2140,2219,12:47,2140,09:00,2206,9000株,20百万円,+69,+3.23,2191.389円,53回,83.48億円
6362,2019-09-27,2169,2210,09:02,2163,11:11,2201,16300株,36百万円,-5,-0.23,2183.632円,111回,83.29億円
6362,2019-09-30,2177,2217,15:00,2177,09:04,2217,5600株,12百万円,+16,+0.73,2206.446円,39回,83.89億円
6362,2019-10-01,2217,2300,10:41,2216,09:30,2257,14300株,32百万円,+40,+1.80,2249.126円,83回,85.40億円
6362,2019-10-02,2239,2259,13:55,2231,10:15,2239,4500株,10百万円,-18,-0.80,2242.756円,27回,84.72億円
6362,2019-10-03,2213,2263,14:55,2213,09:00,2258,6700株,15百万円,+19,+0.85,2240.806円,43回,85.44億円
6362,2019-10-04,2257,2270,12:46,2252,10:01,2252,4100株,9百万円,-6,-0.27,2254.927円,24回,85.22億円
6362,2019-10-07,2257,2265,15:00,2239,13:35,2265,2200株,5百万円,+13,+0.58,2257.591円,14回,85.71億円
6362,2019-10-08,2265,2265,09:00,2238,11:27,2249,7300株,16百万円,-16,-0.71,2246.123円,59回,85.10億円
6362,2019-10-09,2249,2271,12:30,2249,09:00,2266,5200株,12百万円,+17,+0.76,2258.308円,35回,85.75億円
6362,2019-10-10,2264,2272,14:48,2247,10:11,2272,1600株,4百万円,+6,+0.26,2262.375円,12回,85.97億円
6362,2019-10-11,2276,2285,09:25,2260,10:33,2264,4600株,10百万円,-8,-0.35,2266.37円,32回,85.67億円
6362,2019-10-15,2287,2301,13:45,2266,09:30,2295,12200株,28百万円,+31,+1.37,2288.869円,36回,86.84億円
6362,2019-10-16,2308,2334,12:30,2308,09:00,2332,9200株,21百万円,+37,+1.61,2326.022円,45回,88.24億円
6362,2019-10-17,2329,2329,09:00,2276,10:40,2318,8800株,20百万円,-14,-0.60,2310.125円,56回,87.71億円
6362,2019-10-18,2310,2429,14:10,2296,13:06,2416,21500株,51百万円,+98,+4.23,2360.716円,108回,91.42億円
6362,2019-10-21,2546,2598,09:11,2511,12:37,2540,42500株,108百万円,+124,+5.13,2541.809円,219回,96.11億円
6362,2019-10-23,2524,2545,14:48,2524,09:00,2533,10000株,25百万円,-7,-0.28,2531.76円,61回,95.85億円
6362,2019-10-24,2554,2554,09:00,2522,14:24,2530,9600株,24百万円,-3,-0.12,2534.656円,50回,95.74億円
6362,2019-10-25,2550,2550,09:00,2522,15:00,2522,12500株,32百万円,-8,-0.32,2531.872円,76回,95.43億円
6362,2019-10-28,2522,2546,10:41,2511,09:43,2515,13500株,34百万円,-7,-0.28,2527.422円,83回,95.17億円
6362,2019-10-29,2519,2534,10:08,2515,12:30,2526,8100株,20百万円,+11,+0.44,2522.876円,48回,95.58億円
6362,2019-10-30,2516,2550,14:55,2516,09:00,2550,29600株,75百万円,+24,+0.95,2542.054円,108回,96.49億円
