7827,2019-08-30,742,750,09:22,733,14:23,733,400株,－百万円,+3,+0.41,739.5円,3回
7827,2019-09-02,723,750,12:44,723,09:00,738,1200株,1百万円,+5,+0.68,743.083円,8回
7827,2019-09-03,734,738,12:58,734,10:55,736,400株,－百万円,-2,-0.27,736円,4回
7827,2019-09-03,741,741,09:37,739,13:06,740,2200株,2百万円,+4,+0.54,740.682円,8回
7827,2019-09-05,748,762,14:57,746,12:57,762,2700株,2百万円,+22,+2.97,750.741円,13回
7827,2019-09-05,762,762,09:00,761,14:48,761,500株,－百万円,-1,-0.13,761.6円,3回
7827,2019-09-07,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回
7827,2019-09-10,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回
7827,2019-09-11,746,753,15:00,746,11:27,753,500株,－百万円,0,0,747.4円,4回
7827,2019-09-12,747,751,10:36,747,09:02,751,500株,－百万円,-2,-0.27,750.2円,3回
7827,2019-09-13,752,759,15:00,752,09:00,759,2800株,2百万円,+8,+1.07,754.786円,20回
7827,2019-09-17,737,740,09:08,737,09:03,740,1000株,1百万円,-19,-2.50,737.3円,2回
7827,2019-09-17,750,758,14:40,743,14:25,758,500株,－百万円,+18,+2.43,751.8円,5回,13.13億円
7827,2019-09-19,756,775,10:15,756,09:00,774,5400株,4百万円,+16,+2.11,770.13円,17回,13.41億円
7827,2019-09-20,781,781,09:00,770,09:15,774,2700株,2百万円,0,0,774.889円,16回,13.41億円
7827,2019-09-24,804,804,09:05,781,09:55,801,3200株,3百万円,+27,+3.49,801.281円,13回,13.87億円
7827,2019-09-25,803,805,13:00,795,15:00,795,3300株,3百万円,-6,-0.75,801.333円,14回,13.77億円
7827,2019-09-26,810,810,09:00,796,09:42,800,1600株,1百万円,+5,+0.63,802.437円,8回,13.86億円
7827,2019-09-27,808,808,09:00,798,09:00,805,1900株,2百万円,+5,+0.63,804.632円,10回,13.94億円
7827,2019-09-30,815,820,15:00,812,09:33,820,1600株,1百万円,+15,+1.86,815.312円,10回,14.20億円
7827,2019-10-01,820,820,09:00,809,11:22,813,1000株,1百万円,-7,-0.85,813円,9回,14.08億円
7827,2019-10-02,813,831,14:55,810,12:51,830,4100株,3百万円,+17,+2.09,819.683円,18回,14.38億円
7827,2019-10-03,831,831,09:00,820,10:54,822,3000株,2百万円,-8,-0.96,826.4円,21回,14.24億円
7827,2019-10-04,823,825,12:47,819,12:52,820,5400株,4百万円,-2,-0.24,821.556円,9回,14.20億円
7827,2019-10-07,820,838,14:46,820,09:00,832,4500株,4百万円,+12,+1.46,833.511円,25回,14.41億円
7827,2019-10-08,841,841,09:00,826,09:39,840,2300株,2百万円,+8,+0.96,835.957円,14回,14.55億円
7827,2019-10-09,844,849,13:42,840,09:16,845,2100株,2百万円,+5,+0.60,844円,12回,14.64億円
7827,2019-10-10,852,866,13:14,852,09:00,861,4600株,4百万円,+16,+1.89,859.5円,21回,14.91億円
7827,2019-10-11,862,1011,09:06,850,12:30,864,72400株,67百万円,+3,+0.35,931.459円,340回,14.96億円
7827,2019-10-15,862,881,12:53,858,09:15,877,11200株,10百万円,+13,+1.50,864.125円,35回,15.19億円
7827,2019-10-16,888,888,09:00,860,09:13,866,6100株,5百万円,-11,-1.25,867.082円,24回,15.00億円
7827,2019-10-17,872,872,09:05,861,14:02,871,2500株,2百万円,+5,+0.58,866円,11回,15.09億円
7827,2019-10-18,860,871,15:00,860,09:37,871,2300株,2百万円,0,0,866.435円,16回,15.09億円
7827,2019-10-21,871,885,15:00,869,10:08,885,1700株,1百万円,+14,+1.61,876円,15回,15.33億円
7827,2019-10-23,887,888,09:01,873,13:31,880,13400株,12百万円,-5,-0.56,882.784円,18回,15.24億円
7827,2019-10-24,886,886,09:00,876,15:00,876,1700株,1百万円,-4,-0.45,880.647円,9回,15.17億円
7827,2019-10-25,873,883,10:28,872,09:03,879,2400株,2百万円,+3,+0.34,875.708円,14回,15.22億円
7827,2019-10-28,875,880,14:43,875,09:00,877,3200株,3百万円,-2,-0.23,876.594円,13回,15.19億円
7827,2019-10-29,877,879,13:25,872,09:06,878,3200株,3百万円,+1,+0.11,873.969円,18回,15.21億円
7827,2019-10-30,828,863,11:05,817,09:04,847,9200株,8百万円,-31,-3.53,846.065円,31回,14.67億円
