2599,2019-08-30,1188,1188,09:00,1166,13:24,1182,2400株,3百万円,+15,+1.29,1180円,10回
2599,2019-09-02,1183,1183,09:00,1177,13:42,1177,500株,1百万円,-5,-0.42,1181円,5回
2599,2019-09-03,1174,1183,13:51,1174,09:48,1179,600株,1百万円,+2,+0.17,1178円,4回
2599,2019-09-03,1181,1184,14:42,1174,09:43,1183,1500株,2百万円,+4,+0.34,1181.2円,10回
2599,2019-09-05,1185,1193,15:00,1181,11:02,1193,3000株,4百万円,+10,+0.85,1187.6円,16回
2599,2019-09-05,1185,1186,14:50,1185,09:20,1186,700株,1百万円,-7,-0.59,1185.571円,5回
2599,2019-09-07,1191,1195,09:03,1187,13:55,1193,1800株,2百万円,+7,+0.59,1191.889円,7回
2599,2019-09-10,1198,1199,09:45,1187,12:56,1198,2800株,3百万円,+5,+0.42,1192.321円,14回
2599,2019-09-11,1187,1198,10:23,1187,09:00,1198,1900株,2百万円,0,0,1196.579円,11回
2599,2019-09-12,1190,1200,10:45,1190,09:00,1200,4600株,6百万円,+2,+0.17,1196.696円,19回
2599,2019-09-13,1215,1215,09:00,1204,14:26,1207,5800株,7百万円,+7,+0.58,1211.552円,12回
2599,2019-09-17,1200,1215,14:59,1198,09:24,1214,3400株,4百万円,+7,+0.58,1207.088円,19回
2599,2019-09-17,1207,1215,15:00,1202,09:01,1215,1800株,2百万円,+1,+0.08,1211.333円,9回,61.96億円
2599,2019-09-19,1215,1215,09:00,1205,13:20,1211,3800株,5百万円,-4,-0.33,1210.737円,23回,61.76億円
2599,2019-09-20,1210,1211,14:28,1201,09:39,1201,3800株,5百万円,-10,-0.83,1206.132円,16回,61.25億円
2599,2019-09-24,1199,1209,15:00,1197,09:04,1209,2300株,3百万円,+8,+0.67,1204.087円,14回,61.66億円
2599,2019-09-25,1208,1208,09:00,1199,09:31,1207,2200株,3百万円,-2,-0.17,1205.091円,16回,61.56億円
2599,2019-09-26,1210,1212,09:17,1198,13:07,1198,6100株,7百万円,-9,-0.75,1201.492円,16回,61.10億円
2599,2019-09-27,1195,1216,15:00,1193,10:51,1216,3000株,4百万円,+18,+1.50,1201.733円,18回,62.02億円
2599,2019-09-30,1210,1210,09:00,1199,12:45,1205,1300株,2百万円,-11,-0.90,1204.923円,5回,61.45億円
2599,2019-10-01,1201,1201,09:00,1197,14:52,1197,1300株,2百万円,-8,-0.66,1199.308円,9回,61.05億円
2599,2019-10-02,1189,1202,14:22,1184,09:22,1200,2400株,3百万円,+3,+0.25,1195.167円,16回,61.20億円
2599,2019-10-03,1196,1197,14:20,1193,14:57,1196,1100株,1百万円,-4,-0.33,1195.636円,6回,61.00億円
2599,2019-10-04,1196,1199,09:36,1196,09:00,1198,1000株,1百万円,+2,+0.17,1198円,7回,61.10億円
