8101,2019-09-06,1008,1011,09:21,1000,14:05,1003,8600株,9百万円,-1,-0.10,1004.605円,48回
8101,2019-09-07,1008,1021,14:59,1006,09:30,1021,13100株,13百万円,+18,+1.79,1015.977円,52回
8101,2019-09-10,1025,1038,14:03,1023,10:12,1035,12800株,13百万円,+14,+1.37,1031.891円,69回
8101,2019-09-11,1036,1042,12:50,1025,10:15,1040,20900株,22百万円,+5,+0.48,1035.981円,106回
8101,2019-09-12,1048,1048,09:00,1026,11:14,1026,29600株,31百万円,-14,-1.35,1032.497円,137回
8101,2019-09-13,1030,1040,10:42,1012,09:01,1039,35000株,36百万円,+13,+1.27,1031.474円,116回
8101,2019-09-17,1047,1047,09:00,1034,09:01,1040,15400株,16百万円,+1,+0.10,1039.039円,75回
8101,2019-09-17,1034,1038,09:02,1013,10:05,1018,20100株,21百万円,-22,-2.12,1021.289円,116回,65.81億円
8101,2019-09-19,1026,1045,10:48,1026,09:09,1041,29400株,30百万円,+23,+2.26,1036.806円,119回,67.30億円
8101,2019-09-20,1036,1047,14:52,1036,09:00,1045,15400株,16百万円,+4,+0.38,1040.033円,49回,67.56億円
8101,2019-09-24,1045,1069,09:14,1045,09:00,1063,35300株,37百万円,+18,+1.72,1061.082円,143回,68.72億円
8101,2019-09-25,1061,1088,14:45,1046,09:06,1081,24000株,26百万円,+18,+1.69,1069.642円,119回,69.89億円
8101,2019-09-26,1085,1092,09:17,1065,14:52,1074,22500株,24百万円,-7,-0.65,1076.902円,99回,69.43億円
8101,2019-09-27,1079,1086,09:06,1037,11:00,1049,37400株,39百万円,-25,-2.33,1054.444円,200回,67.82億円
8101,2019-09-30,1049,1063,14:44,1043,09:13,1057,17200株,18百万円,+8,+0.76,1051.145円,87回,68.33億円
8101,2019-10-01,1056,1070,10:04,1056,09:00,1066,8500株,9百万円,+9,+0.85,1065.306円,51回,68.92億円
8101,2019-10-02,1045,1071,10:13,1045,09:00,1058,13700株,15百万円,-8,-0.75,1058.496円,71回,68.40億円
8101,2019-10-03,1030,1040,12:44,1025,09:02,1036,21700株,22百万円,-22,-2.08,1033.475円,103回,66.98億円
8101,2019-10-04,1045,1051,09:00,1027,10:32,1035,33400株,35百万円,-1,-0.10,1036.249円,201回,66.91億円
8101,2019-10-07,1044,1049,09:00,1019,14:40,1023,46400株,48百万円,-12,-1.16,1028.644円,238回,66.14億円
8101,2019-10-08,1031,1062,12:35,1031,09:00,1061,41200株,43百万円,+38,+3.71,1047.643円,198回,68.59億円
8101,2019-10-09,1042,1058,14:58,1031,09:03,1053,30300株,32百万円,-8,-0.75,1044.198円,95回,68.08億円
8101,2019-10-10,1050,1059,10:42,1037,09:00,1058,25700株,27百万円,+5,+0.47,1052.198円,127回,68.40億円
8101,2019-10-11,1061,1068,09:19,1056,10:05,1063,12700株,13百万円,+5,+0.47,1061.787円,68回,68.72億円
8101,2019-10-15,1070,1085,09:03,1061,13:23,1068,16700株,18百万円,+5,+0.47,1072.258円,89回,69.05億円
8101,2019-10-16,1081,1081,09:00,1063,13:27,1069,23200株,25百万円,+1,+0.09,1069.866円,95回,69.11億円
8101,2019-10-17,1066,1073,10:40,1062,09:10,1066,10900株,12百万円,-3,-0.28,1067.752円,47回,68.92億円
8101,2019-10-18,1066,1078,09:06,1065,14:22,1069,10900株,12百万円,+3,+0.28,1071.064円,53回,69.11億円
