6089,2019-08-30,788,825,10:45,788,09:00,813,156000株,127百万円,+30,+3.83,812.074円,544回
6089,2019-09-02,808,810,14:36,792,09:39,805,102600株,82百万円,-8,-0.98,801.495円,393回
6089,2019-09-03,804,832,13:55,804,09:00,826,76900株,63百万円,+21,+2.61,823.772円,287回
6089,2019-09-03,822,830,12:49,811,09:46,826,62500株,51百万円,0,0,823.101円,271回
6089,2019-09-05,830,845,10:51,829,09:00,834,118600株,99百万円,+8,+0.97,838.132円,372回
6089,2019-09-05,842,843,13:48,832,09:11,836,58500株,49百万円,+2,+0.24,836.952円,212回
6089,2019-09-07,833,840,11:06,831,09:14,836,66100株,55百万円,0,0,835.927円,259回
6089,2019-09-10,843,866,10:16,842,14:58,842,131700株,112百万円,+6,+0.72,853.823円,437回
6089,2019-09-11,847,852,13:39,830,10:01,842,141700株,119百万円,0,0,840.964円,484回
6089,2019-09-12,853,858,09:49,841,12:38,844,103400株,88百万円,+2,+0.24,848.98円,342回
6089,2019-09-13,851,871,13:19,849,09:02,862,118500株,102百万円,+18,+2.13,861.327円,472回
6089,2019-09-17,866,895,12:54,862,09:02,881,182900株,162百万円,+19,+2.20,883.239円,613回
6089,2019-09-17,882,886,09:02,863,14:53,868,191400株,167百万円,-13,-1.48,871.846円,609回,193.18億円
6089,2019-09-19,867,888,09:29,862,12:54,864,116500株,102百万円,-4,-0.46,872.922円,439回,192.29億円
6089,2019-09-20,969,1014,13:39,950,09:25,1014,2084500株,2061百万円,+150,+17.36,988.572円,4405回,225.68億円
6089,2019-09-24,1027,1050,09:01,992,09:11,1012,1032500株,1055百万円,-2,-0.20,1022.026円,2901回,225.23億円
6089,2019-09-25,996,999,09:42,968,09:09,982,625700株,615百万円,-30,-2.96,982.202円,1557回,218.55億円
6089,2019-09-26,997,1012,09:37,971,14:59,975,325100株,322百万円,-7,-0.71,989.352円,943回,217.00億円
6089,2019-09-27,989,998,10:51,969,12:35,980,254500株,250百万円,+5,+0.51,981.019円,669回,218.11億円
6089,2019-09-30,980,984,09:00,926,13:56,939,326900株,310百万円,-41,-4.18,947.308円,828回,208.98億円
6089,2019-10-01,954,973,14:55,948,09:02,969,174100株,167百万円,+30,+3.19,961.708円,513回,215.66億円
6089,2019-10-02,955,964,09:10,947,09:27,955,124800株,119百万円,-14,-1.44,955.726円,434回,212.54億円
6089,2019-10-03,940,952,09:31,932,13:09,945,154000株,145百万円,-10,-1.05,940.194円,494回,210.32億円
6089,2019-10-04,945,968,09:24,945,09:00,965,155000株,149百万円,+20,+2.12,959.865円,600回,214.77億円
6089,2019-10-07,984,1014,14:32,976,09:04,1014,297900株,297百万円,+49,+5.08,998.427円,912回,225.68億円
6089,2019-10-08,1016,1021,09:02,986,09:43,1006,308300株,309百万円,-8,-0.79,1002.532円,1000回,223.90億円
6089,2019-10-09,997,997,09:00,972,09:52,984,224500株,221百万円,-22,-2.19,983.908円,734回,219.00億円
