8885,2019-08-30,571,578,12:39,567,15:00,567,12500株,7百万円,-4,-0.70,573.104円,39回
8885,2019-09-02,574,580,09:07,570,12:32,579,14300株,8百万円,+12,+2.12,574.762円,47回
8885,2019-09-03,579,581,13:32,576,12:48,580,7400株,4百万円,+1,+0.17,579.486円,17回
8885,2019-09-03,580,580,09:00,571,09:24,573,8800株,5百万円,-7,-1.21,574.784円,30回
8885,2019-09-05,575,592,14:59,575,09:00,592,9900株,6百万円,+19,+3.32,584.798円,39回
8885,2019-09-05,593,602,13:38,593,09:00,598,12900株,8百万円,+6,+1.01,597.868円,43回
8885,2019-09-07,598,605,14:49,594,09:47,605,11000株,7百万円,+7,+1.17,599.264円,29回
8885,2019-09-10,606,633,14:10,606,09:00,632,21700株,13百万円,+27,+4.46,621.263円,76回
8885,2019-09-11,636,639,09:07,601,14:42,610,25600株,16百万円,-22,-3.48,623.254円,78回
8885,2019-09-12,610,618,13:56,604,09:25,610,6700株,4百万円,0,0,609.328円,35回
8885,2019-09-13,698,706,09:26,660,14:41,672,339900株,233百万円,+62,+10.16,686.09円,1170回
8885,2019-09-17,670,674,09:00,658,15:00,658,36800株,24百万円,-14,-2.08,665.06円,123回
8885,2019-09-17,658,664,09:50,648,12:33,652,19600株,13百万円,-6,-0.91,654.526円,85回,34.39億円
8885,2019-09-19,656,673,09:49,654,09:12,664,25500株,17百万円,+12,+1.84,664.643円,81回,35.03億円
8885,2019-09-20,668,687,09:52,668,09:00,682,23000株,16百万円,+18,+2.71,679.417円,84回,35.98億円
8885,2019-09-24,680,698,09:16,680,09:00,687,28500株,20百万円,+5,+0.73,688.684円,100回,36.24億円
8885,2019-09-25,682,686,09:02,676,11:25,679,7900株,5百万円,-8,-1.16,680.62円,40回,35.82億円
8885,2019-09-26,677,698,11:02,677,09:00,686,23600株,16百万円,+7,+1.03,689.064円,74回,36.19億円
8885,2019-09-27,686,696,13:30,682,09:57,692,11300株,8百万円,+6,+0.87,689.265円,42回,36.50億円
8885,2019-09-30,700,700,09:00,686,14:59,686,12000株,8百万円,-6,-0.87,694.417円,44回,36.19億円
8885,2019-10-01,688,704,10:08,685,09:36,703,29500株,21百万円,+17,+2.48,697.264円,77回,37.08億円
8885,2019-10-02,693,702,14:55,693,09:00,700,14200株,10百万円,-3,-0.43,697.894円,51回,36.92億円
8885,2019-10-03,698,700,15:00,689,12:35,700,11000株,8百万円,0,0,692.664円,43回,36.92億円
8885,2019-10-04,701,718,13:36,693,12:34,718,36600株,26百万円,+18,+2.57,708.38円,86回,37.87億円
8885,2019-10-07,718,718,09:00,695,15:00,695,54900株,39百万円,-23,-3.20,701.608円,117回,36.66億円
8885,2019-10-08,694,700,09:23,692,10:06,700,18300株,13百万円,+5,+0.72,696.448円,44回,36.92億円
8885,2019-10-09,693,702,11:12,692,10:17,702,5700株,4百万円,+2,+0.29,696.421円,26回,37.03億円
8885,2019-10-10,702,710,13:03,696,14:07,699,16500株,12百万円,-3,-0.43,701.576円,45回,36.87億円
8885,2019-10-11,698,704,09:04,694,13:52,694,15200株,11百万円,-5,-0.72,698.947円,32回,36.61億円
8885,2019-10-15,698,701,10:36,695,09:46,699,19100株,13百万円,+5,+0.72,699.508円,35回,36.87億円
8885,2019-10-16,700,705,13:06,691,10:16,694,36400株,25百万円,-5,-0.72,698.94円,102回,36.61億円
8885,2019-10-17,694,697,09:58,687,10:56,695,11200株,8百万円,+1,+0.14,692.58円,36回,36.66億円
8885,2019-10-18,695,703,09:44,695,09:00,697,28200株,20百万円,+2,+0.29,697.901円,43回,36.77億円
8885,2019-10-21,695,704,14:25,693,09:21,701,17500株,12百万円,+4,+0.57,698.846円,38回,36.98億円
8885,2019-10-23,703,706,10:21,698,09:06,706,6700株,5百万円,+5,+0.71,703.552円,32回,37.24億円
8885,2019-10-24,706,706,09:00,698,09:14,705,4700株,3百万円,-1,-0.14,703.383円,23回,37.19億円
8885,2019-10-25,706,707,09:22,703,09:54,707,10600株,7百万円,+2,+0.28,705.443円,21回,37.29億円
8885,2019-10-28,707,712,14:26,707,09:00,712,8900株,6百万円,+5,+0.71,709.382円,30回,37.56億円
8885,2019-10-29,706,715,10:27,704,09:09,708,10800株,8百万円,-4,-0.56,710.019円,28回,37.35億円
