6981,2019-08-30,4434,4486,12:48,4417,09:38,4459,5066900株,22586百万円,+93,+2.13,4457.557円,9116回
6981,2019-09-02,4496,4499,09:00,4433,09:21,4471,2298300株,10277百万円,+12,+0.27,4471.538円,4739回
6981,2019-09-03,4450,4458,14:43,4422,09:46,4449,2475300株,10995百万円,-22,-0.49,4441.786円,4823回
6981,2019-09-03,4433,4527,11:13,4415,09:00,4503,3092500株,13894百万円,+54,+1.21,4492.896円,6341回
6981,2019-09-05,4560,4737,11:04,4560,09:00,4713,6687900株,31346百万円,+210,+4.66,4686.901円,12217回
6981,2019-09-05,4783,4815,12:35,4751,09:19,4794,4933600株,23648百万円,+81,+1.72,4793.183円,8656回
6981,2019-09-07,4794,4819,14:59,4760,11:18,4818,2900400株,13907百万円,+24,+0.50,4795.012円,5585回
6981,2019-09-10,4875,4925,09:02,4852,14:48,4867,3705800株,18110百万円,+49,+1.02,4886.812円,7058回
6981,2019-09-11,4899,5004,14:16,4885,09:00,4977,5764600株,28539百万円,+110,+2.26,4950.69円,8780回
6981,2019-09-12,5076,5098,09:03,5017,09:18,5030,5562300株,28154百万円,+53,+1.06,5061.645円,9421回
6981,2019-09-13,5080,5100,14:09,5011,09:22,5092,5241900株,26610百万円,+62,+1.23,5076.469円,8142回
6981,2019-09-17,5100,5171,10:46,5091,09:00,5124,4581000株,23486百万円,+32,+0.63,5126.777円,7967回
6981,2019-09-17,5110,5125,09:01,5016,12:45,5040,3976500株,20085百万円,-84,-1.64,5050.964円,8287回,34061.04億円
6981,2019-09-19,5089,5160,09:35,5043,14:59,5046,4241100株,21602百万円,+6,+0.12,5093.535円,8067回,34101.59億円
6981,2019-09-20,5082,5112,09:37,5052,09:03,5082,3234300株,16443百万円,+36,+0.71,5083.986円,6159回,34344.88億円
6981,2019-09-24,5111,5162,10:49,5094,09:03,5121,3416900株,17524百万円,+39,+0.77,5128.588円,6560回,34608.45億円
6981,2019-09-25,5100,5234,13:46,5097,09:00,5212,4919500株,25550百万円,+91,+1.78,5193.677円,8228回,35223.44億円
6981,2019-09-26,5300,5333,09:01,5225,11:25,5253,3979900株,20954百万円,+41,+0.79,5265.077円,7625回,35500.52億円
6981,2019-09-27,5268,5282,09:11,5197,14:03,5234,3660400株,19142百万円,-19,-0.36,5229.6円,7606回,35372.12億円
