2436,2019-08-30,1208,1247,13:16,1203,09:32,1230,17200株,21百万円,+45,+3.80,1225.692円,131回
2436,2019-09-02,1235,1236,11:30,1209,09:48,1223,19100株,23百万円,-7,-0.57,1222.759円,60回
2436,2019-09-03,1210,1253,13:20,1210,09:00,1251,16500株,20百万円,+28,+2.29,1235.485円,71回
2436,2019-09-03,1239,1252,09:17,1237,09:23,1244,6700株,8百万円,-7,-0.56,1243.075円,39回
2436,2019-09-05,1250,1288,10:37,1249,09:00,1287,12800株,16百万円,+43,+3.46,1274.242円,92回
2436,2019-09-05,1285,1304,12:30,1285,09:00,1301,11600株,15百万円,+14,+1.09,1295.19円,61回
2436,2019-09-07,1301,1327,14:31,1292,10:25,1318,5000株,7百万円,+17,+1.31,1308.1円,36回
2436,2019-09-10,1325,1356,09:15,1313,15:00,1313,14500株,19百万円,-5,-0.38,1332.434円,82回
2436,2019-09-11,1309,1334,14:27,1309,09:00,1324,28500株,38百万円,+11,+0.84,1323.484円,39回
2436,2019-09-12,1345,1345,09:00,1325,14:50,1325,7400株,10百万円,+1,+0.08,1330.081円,29回
2436,2019-09-13,1314,1314,09:00,1258,09:00,1281,16600株,21百万円,-44,-3.32,1286.681円,96回
2436,2019-09-17,1271,1284,11:00,1258,09:32,1272,16900株,21百万円,-9,-0.70,1270.55円,82回
2436,2019-09-17,1287,1287,09:00,1260,14:59,1263,10800株,14百万円,-9,-0.71,1269.806円,64回,51.59億円
2436,2019-09-19,1271,1305,09:37,1271,09:00,1290,12800株,17百万円,+27,+2.14,1291.617円,77回,52.69億円
2436,2019-09-20,1307,1332,09:10,1307,09:00,1312,10800株,14百万円,+22,+1.71,1317.648円,71回,53.59億円
2436,2019-09-24,1314,1322,09:18,1294,11:29,1310,8100株,11百万円,-2,-0.15,1308.704円,54回,53.51億円
2436,2019-09-25,1310,1315,09:02,1279,09:14,1302,12000株,16百万円,-8,-0.61,1293.35円,86回,53.18億円
2436,2019-09-26,1280,1405,14:59,1280,09:00,1389,53200株,72百万円,+87,+6.68,1350.139円,280回,56.74億円
2436,2019-09-27,1683,1689,11:24,1509,10:10,1688,700100株,1155百万円,+299,+21.53,1649.206円,3056回,68.95億円
2436,2019-09-30,1620,1749,09:49,1602,09:03,1700,386400株,649百万円,+12,+0.71,1680.041円,2288回,69.44億円
2436,2019-10-01,1687,1720,14:31,1546,09:59,1669,309800株,505百万円,-31,-1.82,1631.578円,1902回,68.17億円
2436,2019-10-02,1690,1750,09:17,1550,14:59,1552,370000株,604百万円,-117,-7.01,1631.5円,2048回,63.39億円
2436,2019-10-03,1531,1532,09:00,1436,10:00,1456,197200株,291百万円,-96,-6.19,1475.672円,910回,59.47億円
2436,2019-10-04,1437,1480,14:39,1416,10:21,1456,158200株,228百万円,0,0,1443.143円,608回,59.47億円
2436,2019-10-07,1441,1533,14:53,1426,11:04,1512,110500株,163百万円,+56,+3.85,1477.529円,700回,61.76億円
2436,2019-10-08,1500,1516,13:08,1461,10:54,1475,53700株,80百万円,-37,-2.45,1489.691円,292回,60.25億円
2436,2019-10-09,1461,1466,09:03,1420,10:55,1427,63200株,91百万円,-48,-3.25,1436.019円,288回,58.29億円
2436,2019-10-10,1418,1444,13:06,1410,09:39,1415,25500株,36百万円,-12,-0.84,1424.322円,163回,57.80億円
2436,2019-10-11,1410,1420,09:16,1406,12:38,1412,38900株,55百万円,-3,-0.21,1409.895円,98回,57.67億円
2436,2019-10-15,1412,1449,10:03,1372,09:21,1419,34200株,48百万円,+7,+0.50,1411.395円,187回,57.96億円
2436,2019-10-16,1442,1442,09:00,1401,12:43,1419,35000株,50百万円,0,0,1415.454円,138回,57.96億円
2436,2019-10-17,1410,1437,10:34,1399,09:31,1419,29500株,42百万円,0,0,1417.352円,148回,57.96億円
2436,2019-10-18,1450,1517,09:22,1437,14:04,1488,102000株,150百万円,+69,+4.86,1470.607円,504回,60.78億円
2436,2019-10-21,1498,1547,14:53,1492,09:03,1539,73500株,112百万円,+51,+3.43,1522.331円,324回,62.86億円
2436,2019-10-23,1530,1572,12:37,1450,13:05,1488,152300株,230百万円,-51,-3.31,1508.618円,549回,60.78億円
