8923,2019-08-30,1214,1216,09:00,1186,12:40,1195,250600株,300百万円,-23,-1.89,1197.073円,843回
8923,2019-09-02,1191,1192,13:08,1177,09:00,1183,154300株,183百万円,-12,-1.00,1184.421円,606回
8923,2019-09-03,1176,1225,14:47,1173,09:01,1222,145800株,176百万円,+39,+3.30,1209.331円,521回
8923,2019-09-03,1221,1239,12:33,1205,09:45,1234,193100株,237百万円,+12,+0.98,1229.004円,665回
8923,2019-09-05,1258,1297,10:09,1253,09:00,1273,334600株,428百万円,+39,+3.16,1279.511円,975回
8923,2019-09-05,1279,1283,09:02,1261,11:22,1279,206500株,263百万円,+6,+0.47,1275.114円,612回
8923,2019-09-07,1262,1277,14:25,1247,09:24,1277,232200株,293百万円,-2,-0.16,1263.645円,716回
8923,2019-09-10,1255,1275,09:07,1251,14:16,1255,125100株,157百万円,-22,-1.72,1257.9円,454回
8923,2019-09-11,1250,1271,13:12,1230,09:09,1266,203100株,254百万円,+11,+0.88,1252.804円,603回
8923,2019-09-12,1273,1292,10:09,1265,09:10,1279,215700株,277百万円,+13,+1.03,1282.81円,684回
8923,2019-09-13,1287,1311,14:59,1274,09:15,1308,251500株,326百万円,+29,+2.27,1297.969円,713回
8923,2019-09-17,1301,1309,09:01,1288,09:40,1294,197200株,256百万円,-14,-1.07,1296.302円,703回
8923,2019-09-17,1307,1307,09:00,1270,14:05,1278,200100株,257百万円,-16,-1.24,1282.746円,645回,620.54億円
8923,2019-09-19,1280,1320,10:24,1273,09:01,1299,239100株,311百万円,+21,+1.64,1300.005円,784回,630.73億円
8923,2019-09-20,1300,1317,12:30,1280,09:54,1301,245300株,319百万円,+2,+0.15,1300.491円,978回,631.73億円
8923,2019-09-24,1296,1299,09:00,1271,10:23,1282,166500株,214百万円,-19,-1.46,1283.587円,717回,622.50億円
8923,2019-09-25,1282,1282,09:00,1250,09:54,1271,213300株,270百万円,-11,-0.86,1266.307円,780回,617.16億円
8923,2019-09-26,1286,1313,09:17,1280,09:00,1305,221700株,289百万円,+34,+2.68,1303.655円,626回,633.67億円
8923,2019-09-27,1306,1306,09:00,1272,14:08,1284,177500株,228百万円,-21,-1.61,1282.786円,713回,623.48億円
8923,2019-09-30,1285,1296,09:14,1264,13:42,1276,154800株,198百万円,-8,-0.62,1276.019円,578回,619.59億円
8923,2019-10-01,1277,1289,14:25,1271,09:21,1288,154500株,198百万円,+12,+0.94,1279.524円,528回,625.42億円
8923,2019-10-02,1282,1300,10:29,1277,09:00,1289,233400株,301百万円,+1,+0.08,1290.293円,994回,625.90億円
8923,2019-10-03,1280,1289,09:14,1253,12:41,1275,188800株,240百万円,-14,-1.09,1269.53円,619回,619.11億円
8923,2019-10-04,1281,1305,14:44,1268,09:35,1305,231900株,299百万円,+30,+2.35,1287.403円,923回,633.67億円
8923,2019-10-07,1308,1344,14:55,1305,09:23,1342,343900株,455百万円,+37,+2.84,1324.42円,1109回,651.64億円
8923,2019-10-08,1372,1376,09:02,1322,09:33,1339,581300株,783百万円,-3,-0.22,1346.957円,2058回,650.18億円
8923,2019-10-09,1335,1377,13:30,1322,09:00,1365,419400株,572百万円,+26,+1.94,1363.542円,1478回,662.81億円
8923,2019-10-10,1374,1386,09:24,1359,09:42,1370,395700株,542百万円,+5,+0.37,1369.722円,1448回,665.24億円
8923,2019-10-11,1381,1387,09:42,1347,13:04,1360,342000株,467百万円,-10,-0.73,1364.376円,1246回,660.38億円
8923,2019-10-15,1379,1393,09:06,1370,14:11,1383,308600株,426百万円,+23,+1.69,1379.089円,1065回,671.55億円
8923,2019-10-16,1398,1399,09:00,1353,14:44,1369,379200株,521百万円,-14,-1.01,1374.695円,1231回,664.75億円
8923,2019-10-17,1372,1399,09:47,1372,09:00,1384,265200株,368百万円,+15,+1.10,1386.872円,854回,672.03億円
8923,2019-10-18,1390,1390,09:00,1350,14:52,1353,331100株,452百万円,-31,-2.24,1364.081円,1008回,656.98億円
8923,2019-10-21,1363,1373,09:03,1357,09:30,1369,165100株,226百万円,+16,+1.18,1365.975円,702回,664.75億円
8923,2019-10-23,1374,1397,15:00,1361,09:19,1397,253400株,351百万円,+28,+2.05,1385.669円,685回,678.35億円
8923,2019-10-24,1395,1406,09:05,1376,10:24,1392,215000株,299百万円,-5,-0.36,1388.797円,582回,675.92億円
8923,2019-10-25,1399,1399,09:00,1359,12:41,1367,232500株,318百万円,-25,-1.80,1369.299円,687回,663.78億円
8923,2019-10-28,1371,1372,09:06,1342,09:34,1355,211600株,286百万円,-12,-0.88,1353.337円,682回,657.95億円
8923,2019-10-29,1355,1372,09:05,1354,09:00,1360,104500株,142百万円,+5,+0.37,1361.946円,373回,660.38億円
8923,2019-10-30,1360,1375,09:10,1347,14:31,1353,260300株,353百万円,-7,-0.51,1356.653円,670回,656.98億円
8923,2019-10-31,1360,1379,09:45,1356,11:19,1371,175600株,240百万円,+18,+1.33,1368.807円,570回,665.72億円
8923,2019-11-01,1369,1372,09:00,1349,11:10,1356,241600株,328百万円,-15,-1.09,1356.846円,790回,658.44億円
8923,2019-11-05,1379,1422,13:23,1368,09:10,1412,335900株,470百万円,+56,+4.13,1400.001円,940回,685.63億円
8923,2019-11-07,1405,1420,15:00,1393,10:54,1420,200500株,282百万円,+15,+1.07,1408.604円,637回,689.51億円
8923,2019-11-08,1430,1437,09:03,1402,12:39,1408,244400株,347百万円,-12,-0.85,1418.595円,544回,683.69億円
8923,2019-11-11,1408,1423,09:17,1396,14:27,1400,272000株,382百万円,-8,-0.57,1403.802円,787回,679.80億円
8923,2019-11-12,1406,1424,09:04,1385,10:38,1404,261100株,365百万円,+4,+0.29,1399.753円,918回,681.74億円
8923,2019-11-13,1403,1406,09:12,1394,10:45,1400,144600株,203百万円,-4,-0.28,1400.55円,566回,679.80億円
8923,2019-11-14,1406,1413,09:04,1395,13:03,1399,171900株,241百万円,-1,-0.07,1402.484円,585回,679.32億円
8923,2019-11-15,1409,1433,10:52,1408,09:03,1418,246000株,349百万円,+19,+1.36,1419.187円,812回,688.54億円
8923,2019-11-18,1425,1435,14:04,1424,09:00,1433,277000株,396百万円,+15,+1.06,1430.705円,691回,695.83億円
8923,2019-11-19,1437,1467,13:45,1433,09:09,1464,404200株,587百万円,+31,+2.16,1453.101円,1010回,710.88億円
8923,2019-11-20,1450,1451,09:01,1410,11:09,1430,452700株,647百万円,-34,-2.32,1429.502円,1666回,694.50億円
8923,2019-11-21,1426,1443,09:18,1417,10:03,1439,201400株,288百万円,+9,+0.63,1429.959円,582回,698.87億円
8923,2019-11-22,1431,1446,09:05,1421,13:15,1428,274300株,392百万円,-11,-0.76,1430.638円,636回,693.53億円
8923,2019-11-25,1434,1442,09:05,1430,09:22,1432,300000株,430百万円,+4,+0.28,1434.836円,531回,695.47億円
8923,2019-11-26,1432,1437,09:01,1404,14:31,1409,558500株,792百万円,-23,-1.61,1418.493円,1044回,684.30億円
8923,2019-11-27,1407,1422,14:51,1400,11:21,1420,855700株,1206百万円,+11,+0.78,1409.76円,1133回,689.64億円
