8923,2019-08-30,1214,1216,09:00,1186,12:40,1195,250600株,300百万円,-23,-1.89,1197.073円,843回
8923,2019-09-02,1191,1192,13:08,1177,09:00,1183,154300株,183百万円,-12,-1.00,1184.421円,606回
8923,2019-09-03,1176,1225,14:47,1173,09:01,1222,145800株,176百万円,+39,+3.30,1209.331円,521回
8923,2019-09-03,1221,1239,12:33,1205,09:45,1234,193100株,237百万円,+12,+0.98,1229.004円,665回
8923,2019-09-05,1258,1297,10:09,1253,09:00,1273,334600株,428百万円,+39,+3.16,1279.511円,975回
8923,2019-09-05,1279,1283,09:02,1261,11:22,1279,206500株,263百万円,+6,+0.47,1275.114円,612回
8923,2019-09-07,1262,1277,14:25,1247,09:24,1277,232200株,293百万円,-2,-0.16,1263.645円,716回
8923,2019-09-10,1255,1275,09:07,1251,14:16,1255,125100株,157百万円,-22,-1.72,1257.9円,454回
8923,2019-09-11,1250,1271,13:12,1230,09:09,1266,203100株,254百万円,+11,+0.88,1252.804円,603回
8923,2019-09-12,1273,1292,10:09,1265,09:10,1279,215700株,277百万円,+13,+1.03,1282.81円,684回
8923,2019-09-13,1287,1311,14:59,1274,09:15,1308,251500株,326百万円,+29,+2.27,1297.969円,713回
8923,2019-09-17,1301,1309,09:01,1288,09:40,1294,197200株,256百万円,-14,-1.07,1296.302円,703回
8923,2019-09-17,1307,1307,09:00,1270,14:05,1278,200100株,257百万円,-16,-1.24,1282.746円,645回,620.54億円
8923,2019-09-19,1280,1320,10:24,1273,09:01,1299,239100株,311百万円,+21,+1.64,1300.005円,784回,630.73億円
8923,2019-09-20,1300,1317,12:30,1280,09:54,1301,245300株,319百万円,+2,+0.15,1300.491円,978回,631.73億円
8923,2019-09-24,1296,1299,09:00,1271,10:23,1282,166500株,214百万円,-19,-1.46,1283.587円,717回,622.50億円
8923,2019-09-25,1282,1282,09:00,1250,09:54,1271,213300株,270百万円,-11,-0.86,1266.307円,780回,617.16億円
8923,2019-09-26,1286,1313,09:17,1280,09:00,1305,221700株,289百万円,+34,+2.68,1303.655円,626回,633.67億円
8923,2019-09-27,1306,1306,09:00,1272,14:08,1284,177500株,228百万円,-21,-1.61,1282.786円,713回,623.48億円
8923,2019-09-30,1285,1296,09:14,1264,13:42,1276,154800株,198百万円,-8,-0.62,1276.019円,578回,619.59億円
8923,2019-10-01,1277,1289,14:25,1271,09:21,1288,154500株,198百万円,+12,+0.94,1279.524円,528回,625.42億円
8923,2019-10-02,1282,1300,10:29,1277,09:00,1289,233400株,301百万円,+1,+0.08,1290.293円,994回,625.90億円
8923,2019-10-03,1280,1289,09:14,1253,12:41,1275,188800株,240百万円,-14,-1.09,1269.53円,619回,619.11億円
8923,2019-10-04,1281,1305,14:44,1268,09:35,1305,231900株,299百万円,+30,+2.35,1287.403円,923回,633.67億円
