6257,2019-08-30,956,963,13:40,953,15:00,953,7600株,7百万円,+1,+0.11,957円,33回
6257,2019-09-02,953,962,09:12,953,09:00,956,5600株,5百万円,+3,+0.31,956.411円,25回
6257,2019-09-03,955,959,09:30,951,12:50,951,11000株,10百万円,-5,-0.52,953.482円,51回
6257,2019-09-03,951,958,09:11,950,15:00,950,12200株,12百万円,-1,-0.11,952.008円,59回
6257,2019-09-05,950,958,13:48,950,09:00,955,11900株,11百万円,+5,+0.53,954.958円,46回
6257,2019-09-05,956,961,10:06,955,09:40,955,15300株,15百万円,0,0,956.882円,92回
6257,2019-09-07,955,958,12:42,953,09:57,955,11700株,11百万円,0,0,955.803円,62回
6257,2019-09-10,955,960,14:59,955,09:00,955,12500株,12百万円,0,0,956.48円,60回
6257,2019-09-11,956,960,11:07,955,10:07,957,19200株,18百万円,+2,+0.21,957.375円,93回
6257,2019-09-12,959,962,13:44,956,09:18,961,22500株,22百万円,+4,+0.42,958.716円,78回
6257,2019-09-13,958,962,10:40,957,12:53,962,20100株,19百万円,+1,+0.10,959.707円,61回
6257,2019-09-17,958,964,12:36,958,09:00,962,9800株,9百万円,0,0,961.571円,47回
6257,2019-09-17,961,966,09:27,960,12:50,961,11500株,11百万円,-1,-0.10,962.687円,66回,234.44億円
6257,2019-09-19,961,966,11:02,960,15:00,960,10000株,10百万円,-1,-0.10,962.6円,53回,234.20億円
6257,2019-09-20,959,963,10:51,956,09:04,959,19200株,18百万円,-1,-0.10,959.818円,77回,233.95億円
6257,2019-09-24,965,975,14:14,960,09:01,974,32500株,31百万円,+15,+1.56,968.286円,141回,237.61億円
6257,2019-09-25,972,979,13:44,967,09:42,971,18300株,18百万円,-3,-0.31,972.907円,105回,236.88億円
6257,2019-09-26,979,984,09:08,970,09:25,978,35100株,34百万円,+7,+0.72,979.026円,116回,238.59億円
6257,2019-09-27,959,963,13:38,951,10:44,953,34100株,33百万円,-25,-2.56,956.402円,133回,232.49億円
6257,2019-09-30,958,963,09:01,946,13:03,949,33400株,32百万円,-4,-0.42,951.674円,99回,231.51億円
6257,2019-10-01,950,956,13:40,950,09:00,954,3600株,3百万円,+5,+0.53,953.417円,18回,232.73億円
6257,2019-10-02,954,957,09:17,950,14:56,951,14400株,14百万円,-3,-0.31,953.493円,50回,232.00億円
6257,2019-10-03,950,959,10:54,945,13:45,946,15400株,15百万円,-5,-0.53,950.084円,64回,230.78億円
6257,2019-10-04,947,954,09:52,947,09:00,954,4300株,4百万円,+8,+0.85,952.326円,9回,232.73億円
6257,2019-10-07,960,960,09:00,950,15:00,950,9100株,9百万円,-4,-0.42,954.033円,48回,231.76億円
6257,2019-10-08,950,951,09:15,946,10:09,950,25900株,25百万円,0,0,948.56円,54回,231.76億円
6257,2019-10-09,948,956,12:49,947,09:04,953,19900株,19百万円,+3,+0.32,949.497円,36回,232.49億円
6257,2019-10-10,953,954,13:38,949,09:51,949,8800株,8百万円,-4,-0.42,950.898円,45回,231.51億円
6257,2019-10-11,949,952,14:47,948,10:40,950,5500株,5百万円,+1,+0.11,949.782円,17回,231.76億円
6257,2019-10-15,950,954,11:30,949,09:00,951,5400株,5百万円,+1,+0.11,951.593円,32回,232.00億円
6257,2019-10-16,951,957,09:35,947,10:33,953,12500株,12百万円,+2,+0.21,952.696円,46回,232.49億円
6257,2019-10-17,953,954,13:33,950,11:18,950,3800株,4百万円,-3,-0.31,952.026円,23回,231.76億円
6257,2019-10-18,953,956,09:41,950,12:55,951,7300株,7百万円,+1,+0.11,953.206円,29回,232.00億円
6257,2019-10-21,951,957,09:30,951,09:00,951,9900株,9百万円,0,0,953.485円,48回,232.00億円
6257,2019-10-23,952,957,09:25,951,09:00,953,11700株,11百万円,+2,+0.21,952.735円,57回,232.49億円
6257,2019-10-24,954,960,09:14,952,14:53,952,15700株,15百万円,-1,-0.10,955.076円,60回,232.25億円
6257,2019-10-25,954,959,09:06,954,09:00,959,9500株,9百万円,+7,+0.74,956.368円,49回,233.95億円
6257,2019-10-28,962,962,09:00,955,12:30,955,17200株,16百万円,-4,-0.42,956.151円,59回,232.98億円
6257,2019-10-29,958,961,09:26,956,12:39,958,14000株,13百万円,+3,+0.31,957.921円,61回,233.71億円
6257,2019-10-30,957,961,13:58,955,11:29,958,19600株,19百万円,0,0,957.199円,67回,233.71億円
6257,2019-10-31,953,953,09:00,945,09:05,949,51700株,49百万円,-9,-0.94,948.927円,133回,231.51億円
6257,2019-11-01,947,949,09:35,947,09:00,947,16500株,16百万円,-2,-0.21,947.661円,48回,231.03億円
6257,2019-11-05,950,951,09:10,947,09:30,948,23500株,22百万円,+1,+0.11,949.251円,64回,231.27億円
6257,2019-11-07,949,952,12:39,946,09:17,947,16100株,15百万円,-2,-0.21,948.23円,66回,231.03億円
6257,2019-11-08,951,958,09:46,948,13:50,948,29700株,28百万円,+1,+0.11,951.694円,87回,231.27億円
