7148,2019-08-30,1018,1035,11:10,1018,09:00,1025,950300株,975百万円,+12,+1.18,1025.838円,1041回
7148,2019-09-02,1021,1028,09:03,1012,09:31,1019,493700株,503百万円,-6,-0.59,1019.031円,905回
7148,2019-09-03,1020,1038,15:00,1018,11:22,1038,576000株,592百万円,+19,+1.86,1028.155円,875回
7148,2019-09-03,1034,1045,14:20,1023,09:19,1044,939200株,971百万円,+6,+0.58,1033.916円,1280回
7148,2019-09-05,1049,1062,10:15,1047,09:22,1059,769600株,813百万円,+15,+1.44,1056.139円,1087回
7148,2019-09-05,1069,1091,09:54,1069,09:00,1084,833300株,901百万円,+25,+2.36,1081.596円,1356回
7148,2019-09-07,1091,1109,10:34,1085,09:01,1103,956200株,1053百万円,+19,+1.75,1101.061円,1360回
7148,2019-09-10,1106,1107,09:04,1088,09:57,1102,987300株,1086百万円,-1,-0.09,1099.552円,1442回
7148,2019-09-11,1105,1108,09:05,1092,12:34,1101,824100株,905百万円,-1,-0.09,1098.385円,1200回
7148,2019-09-12,1107,1108,09:00,1090,11:00,1096,683700株,750百万円,-5,-0.45,1097.125円,944回
7148,2019-09-13,1102,1108,12:55,1089,10:34,1103,1021300株,1123百万円,+7,+0.64,1099.384円,1206回
7148,2019-09-17,1115,1165,12:48,1115,09:00,1158,1891800株,2170百万円,+55,+4.99,1147.26円,2273回
7148,2019-09-17,1162,1163,09:00,1137,12:44,1144,979200株,1123百万円,-14,-1.21,1146.682円,1432回,1037.31億円
7148,2019-09-19,1148,1162,09:28,1146,12:52,1148,767600株,884百万円,+4,+0.35,1152.243円,1199回,1040.93億円
7148,2019-09-20,1154,1167,09:06,1138,13:31,1143,792800株,911百万円,-5,-0.44,1149.434円,1253回,1036.40億円
7148,2019-09-24,1146,1154,09:05,1141,13:02,1146,918500株,1054百万円,+3,+0.26,1147.687円,1208回,1039.12億円
7148,2019-09-25,1142,1146,09:04,1135,14:39,1135,876300株,998百万円,-11,-0.96,1139.399円,1059回,1029.15億円
7148,2019-09-26,1136,1154,12:30,1136,09:00,1141,2315600株,2650百万円,+6,+0.53,1144.231円,2005回,1034.59億円
7148,2019-09-27,1073,1104,09:05,1060,13:03,1070,1898200株,2043百万円,-71,-6.22,1076.185円,2944回,970.21億円
