1431,2019-08-30,2279,2279,09:00,2115,09:18,2153,158300株,347百万円,-157,-6.80,2192.274円,1037回
1431,2019-09-02,2200,2217,09:00,2005,10:08,2199,73500株,155百万円,+46,+2.14,2114.471円,469回
1431,2019-09-03,2200,2380,09:44,2135,09:09,2210,69600株,159百万円,+11,+0.50,2291.101円,512回
1431,2019-09-03,2161,2241,09:15,2139,13:08,2190,31900株,69百万円,-20,-0.90,2176.665円,221回
1431,2019-09-05,2215,2218,09:10,2051,12:39,2118,31000株,66百万円,-72,-3.29,2130.2円,208回
1431,2019-09-05,2099,2128,14:32,2031,10:22,2110,21600株,45百万円,-8,-0.38,2085.407円,139回
1431,2019-09-07,2062,2108,12:30,2054,14:39,2055,14000株,29百万円,-55,-2.61,2071.757円,82回
1431,2019-09-10,2086,2280,09:20,2085,09:04,2153,33900株,73百万円,+98,+4.77,2158.451円,260回
1431,2019-09-11,2119,2249,12:57,2118,09:06,2180,33100株,72百万円,+27,+1.25,2165.804円,206回
1431,2019-09-12,2220,2220,09:00,2151,09:53,2184,21400株,47百万円,+4,+0.18,2185.701円,127回
1431,2019-09-13,2215,2256,12:50,2162,09:11,2171,21500株,47百万円,-13,-0.60,2200.065円,139回
1431,2019-09-17,2169,2223,09:04,2070,14:59,2070,28800株,61百万円,-101,-4.65,2121.937円,175回
1431,2019-09-17,2060,2060,09:00,1888,09:26,1935,40700株,80百万円,-135,-6.52,1977.214円,250回,52.24億円
1431,2019-09-19,1910,1998,10:23,1901,09:00,1950,17400株,34百万円,+15,+0.78,1947.425円,102回,52.64億円
1431,2019-09-20,1990,2025,09:49,1957,09:06,1992,9300株,19百万円,+42,+2.15,1996.473円,60回,53.77億円
1431,2019-09-24,2079,2120,09:12,2019,12:57,2021,21800株,45百万円,+29,+1.46,2054.656円,109回,54.56億円
1431,2019-09-25,2071,2071,09:00,2010,14:57,2010,8700株,18百万円,-11,-0.54,2032.069円,65回,54.26億円
1431,2019-09-26,2041,2091,14:43,2025,10:04,2060,9900株,20百万円,+50,+2.49,2051.626円,74回,55.61億円
1431,2019-09-27,2021,2049,09:04,1996,12:52,1999,9500株,19百万円,-61,-2.96,2010.253円,58回,53.96億円
1431,2019-09-30,1980,1980,09:00,1931,10:42,1958,10200株,20百万円,-41,-2.05,1950.137円,73回,52.86億円
1431,2019-10-01,1958,1961,12:30,1932,14:10,1934,5300株,10百万円,-24,-1.23,1942.207円,34回,52.21億円
1431,2019-10-02,1934,1946,09:58,1889,11:26,1914,11300株,22百万円,-20,-1.03,1915.407円,67回,51.67億円
1431,2019-10-03,1915,1926,11:14,1901,09:56,1907,4100株,8百万円,-7,-0.37,1914.585円,28回,51.48億円
1431,2019-10-04,1945,2152,12:54,1945,09:00,2129,40500株,84百万円,+222,+11.64,2085.405円,298回,57.47億円
1431,2019-10-07,2226,2227,09:03,2057,13:43,2102,23300株,50百万円,-27,-1.27,2146.129円,130回,56.74億円
1431,2019-10-08,2102,2130,09:17,2086,14:04,2086,6100株,13百万円,-16,-0.76,2108.131円,42回,56.31億円
1431,2019-10-09,2086,2128,09:00,2080,09:00,2100,6800株,14百万円,+14,+0.67,2099円,47回,56.69億円
1431,2019-10-10,2100,2109,10:52,2080,09:24,2088,3800株,8百万円,-12,-0.57,2095.921円,31回,56.37億円
1431,2019-10-11,2081,2081,09:00,2004,14:33,2005,4900株,10百万円,-83,-3.98,2024.612円,31回,54.12億円
1431,2019-10-15,2048,2068,12:45,2004,09:24,2048,2200株,4百万円,+43,+2.14,2040.182円,17回,55.29億円
1431,2019-10-16,2078,2084,09:23,2050,09:37,2060,8100株,17百万円,+12,+0.59,2062.654円,35回,55.61億円
1431,2019-10-17,2079,2079,09:00,2031,14:16,2059,3200株,7百万円,-1,-0.05,2057円,26回,55.58億円
1431,2019-10-18,2043,2180,11:07,2043,09:00,2125,18100株,38百万円,+66,+3.21,2121.58円,126回,57.59億円
1431,2019-10-21,2135,2190,09:17,2125,10:08,2150,6100株,13百万円,+25,+1.18,2143.066円,42回,58.27億円
1431,2019-10-23,2179,2548,10:20,2143,09:03,2306,79100株,186百万円,+156,+7.26,2350.154円,607回,62.50億円
1431,2019-10-24,2229,2239,09:05,2131,11:01,2189,27000株,59百万円,-117,-5.07,2193.167円,185回,59.33億円
1431,2019-10-25,2199,2199,09:00,2146,10:45,2170,6500株,14百万円,-19,-0.87,2165.431円,48回,58.81億円
1431,2019-10-28,2210,2570,14:49,2180,10:42,2444,109300株,262百万円,+274,+12.63,2397.333円,730回,66.24億円
1431,2019-10-29,2430,2740,14:57,2370,09:02,2695,97700株,254百万円,+251,+10.27,2596.775円,662回,73.04億円
1431,2019-10-30,2709,2710,09:00,2547,09:42,2567,54000株,141百万円,-128,-4.75,2618.92円,369回,69.57億円
1431,2019-10-31,2617,2927,14:54,2614,09:02,2910,84600株,235百万円,+343,+13.36,2782.125円,593回,78.87億円
1431,2019-11-01,2823,2910,12:49,2793,09:03,2802,37600株,107百万円,-108,-3.71,2843.598円,263回,75.94億円
1431,2019-11-05,2850,3040,10:38,2850,09:00,2921,86500株,256百万円,+119,+4.25,2956.39円,603回,79.17億円
1431,2019-11-07,2787,2860,09:33,2752,09:12,2818,26900株,76百万円,+96,+3.53,2810.242円,198回,76.37億円
1431,2019-11-08,2822,2822,09:00,2755,14:52,2775,22400株,62百万円,-43,-1.53,2774.5円,155回,75.21億円
