3919,2019-08-30,1154,1158,09:10,1123,10:19,1153,71900株,82百万円,+12,+1.05,1144.622円,434回
3919,2019-09-02,1158,1264,14:59,1141,09:06,1255,208900株,256百万円,+102,+8.85,1225.767円,836回
3919,2019-09-03,1254,1337,11:28,1250,09:03,1327,295700株,387百万円,+72,+5.74,1308.465円,1240回
3919,2019-09-03,1324,1372,14:01,1285,09:00,1362,221800株,297百万円,+35,+2.64,1338.541円,931回
3919,2019-09-05,1351,1408,12:46,1258,14:14,1272,380900株,507百万円,-90,-6.61,1331.055円,1823回
3919,2019-09-05,1290,1305,09:00,1236,14:18,1254,108200株,137百万円,-18,-1.42,1266.689円,501回
3919,2019-09-07,1254,1287,12:37,1239,09:06,1280,55000株,70百万円,+26,+2.07,1267.594円,279回
3919,2019-09-10,1294,1297,09:00,1252,12:34,1258,63700株,81百万円,-22,-1.72,1266.501円,317回
3919,2019-09-11,1258,1285,09:08,1252,09:01,1268,32300株,41百万円,+10,+0.79,1267.297円,194回
3919,2019-09-12,1273,1273,09:00,1238,09:14,1249,38800株,48百万円,-19,-1.50,1249.933円,190回
3919,2019-09-13,1263,1287,09:26,1246,09:13,1264,43100株,55百万円,+15,+1.20,1269.244円,257回
3919,2019-09-17,1259,1320,14:57,1253,09:01,1315,78900株,103百万円,+51,+4.03,1303.453円,434回
3919,2019-09-17,1321,1370,11:01,1302,09:16,1344,104000株,140百万円,+29,+2.21,1343.166円,475回,109.20億円
3919,2019-09-19,1344,1365,09:11,1290,12:34,1330,99900株,132百万円,-14,-1.04,1322.543円,516回,108.07億円
3919,2019-09-20,1352,1451,11:02,1333,09:00,1406,257400株,361百万円,+76,+5.71,1402.905円,903回,114.24億円
3919,2019-09-24,1406,1447,09:41,1406,09:00,1409,77600株,110百万円,+3,+0.21,1419.582円,324回,114.48億円
3919,2019-09-25,1399,1414,14:11,1371,09:13,1410,68300株,95百万円,+1,+0.07,1394.734円,339回,114.57億円
3919,2019-09-26,1440,1440,09:00,1398,11:09,1407,94600株,133百万円,-3,-0.21,1410.834円,401回,114.32億円
3919,2019-09-27,1399,1454,14:13,1395,10:55,1450,106900株,153百万円,+43,+3.06,1429.97円,493回,117.82億円
3919,2019-09-30,1449,1466,09:16,1411,14:42,1428,166300株,239百万円,-22,-1.52,1437.795円,853回,116.03億円
3919,2019-10-01,1617,1728,11:08,1607,09:24,1728,899600株,1517百万円,+300,+21.01,1686.005円,3460回,140.40億円
3919,2019-10-02,1778,1938,14:55,1713,09:08,1922,1475900株,2689百万円,+194,+11.23,1821.97円,5809回,156.17億円
3919,2019-10-03,1900,2078,12:33,1863,09:03,1912,983700株,1936百万円,-10,-0.52,1968.353円,4765回,155.36億円
3919,2019-10-04,1888,1999,09:14,1870,09:01,1924,409800株,786百万円,+12,+0.63,1917.991円,2185回,156.33億円
3919,2019-10-07,1924,1955,09:01,1812,12:53,1857,306700株,573百万円,-67,-3.48,1867.885円,1638回,150.89億円
