6762,2019-08-30,8280,8500,13:11,8280,09:00,8460,1370400株,11555百万円,+330,+4.06,8431.995円,2290回
6762,2019-09-02,8410,8490,14:31,8360,09:19,8470,687500株,5798百万円,+10,+0.12,8433.488円,1590回
6762,2019-09-03,8480,8590,09:28,8480,09:00,8520,568300株,4848百万円,+50,+0.59,8530.866円,1265回
6762,2019-09-03,8480,8570,13:58,8390,09:35,8570,620800株,5282百万円,+50,+0.59,8507.793円,1437回
6762,2019-09-05,8690,9040,14:16,8690,09:00,8990,1597000株,14293百万円,+420,+4.90,8949.951円,3292回
6762,2019-09-05,9200,9330,13:05,9150,09:03,9240,1722700株,15926百万円,+250,+2.78,9244.82円,2826回
6762,2019-09-07,9210,9310,10:33,9180,11:19,9290,839900株,7777百万円,+50,+0.54,9258.962円,1742回
6762,2019-09-10,9410,9450,09:00,9250,12:35,9280,809500株,7538百万円,-10,-0.11,9312.51円,1630回
6762,2019-09-11,9380,9540,12:34,9270,09:04,9410,1271000株,11978百万円,+130,+1.40,9423.864円,2638回
6762,2019-09-12,9700,9710,09:03,9510,10:17,9570,1491600株,14330百万円,+160,+1.70,9606.951円,2638回
6762,2019-09-13,9550,9550,09:00,9390,09:24,9490,2084400株,19812百万円,-80,-0.84,9504.878円,2656回
6762,2019-09-17,9500,9630,09:43,9470,09:00,9540,961800株,9194百万円,+50,+0.53,9559.624円,2111回
6762,2019-09-17,9560,9560,09:00,9380,12:46,9460,786600株,7434百万円,-80,-0.84,9450.39円,1663回,12259.28億円
6762,2019-09-19,9540,9750,09:47,9530,09:00,9550,1083600株,10418百万円,+90,+0.95,9613.836円,2491回,12375.91億円
6762,2019-09-20,9600,9680,10:30,9490,09:15,9570,825200株,7904百万円,+20,+0.21,9578.028円,1569回,12401.83億円
6762,2019-09-24,9640,9800,09:53,9630,09:00,9650,803400株,7796百万円,+80,+0.84,9704.191円,1712回,12505.50億円
6762,2019-09-25,9590,9650,14:40,9450,09:53,9640,775500株,7428百万円,-10,-0.10,9577.795円,1769回,12492.54億円
6762,2019-09-26,9790,9790,09:00,9620,14:59,9670,873500株,8459百万円,+30,+0.31,9683.668円,1846回,12531.42億円
6762,2019-09-27,9610,9680,09:07,9560,10:55,9640,846800株,8152百万円,-30,-0.31,9627.097円,1876回,12492.54億円
6762,2019-09-30,9670,9790,09:20,9590,13:54,9670,1076500株,10410百万円,+30,+0.31,9670.016円,1893回,12531.42億円
6762,2019-10-01,9760,9980,10:42,9760,09:00,9930,1185900株,11745百万円,+260,+2.69,9903.676円,2548回,12868.35億円
6762,2019-10-02,9870,9980,09:09,9780,10:19,9930,1050600株,10391百万円,0,0,9890.996円,2123回,12868.35億円
6762,2019-10-03,9690,9850,10:24,9670,09:03,9830,836700株,8203百万円,-100,-1.01,9804.144円,1782回,12738.76億円
6762,2019-10-04,9830,9970,14:03,9800,10:34,9940,1040100株,10299百万円,+110,+1.12,9901.969円,2150回,12881.31億円
6762,2019-10-07,10130,10180,09:09,9920,13:43,9920,1270400株,12748百万円,-20,-0.20,10034.632円,2838回,12855.39億円
6762,2019-10-08,9940,10020,10:05,9830,09:10,9990,906600株,9031百万円,+70,+0.71,9961.659円,2025回,12946.11億円
6762,2019-10-09,9890,9930,11:23,9820,09:04,9870,680300株,6717百万円,-120,-1.20,9873.872円,1662回,12790.60億円
