9978,2019-08-30,200,208,10:26,200,09:00,205,84400株,17百万円,+6,+3.02,203.44円,131回
9978,2019-09-02,206,224,09:23,206,09:00,211,161100株,34百万円,+6,+2.93,212.23円,322回
9978,2019-09-03,224,245,14:49,220,09:09,240,838700株,196百万円,+29,+13.74,233.215円,1625回
9978,2019-09-03,272,311,11:09,252,09:24,277,2050800株,584百万円,+37,+15.42,284.862円,3413回
9978,2019-09-05,261,289,14:49,256,09:37,279,477200株,127百万円,+2,+0.72,266.877円,1024回
9978,2019-09-05,284,287,09:09,261,10:04,281,315800株,87百万円,+2,+0.72,275.724円,633回
9978,2019-09-07,282,282,09:00,242,13:57,265,279100株,73百万円,-16,-5.69,262.592円,518回
9978,2019-09-10,264,271,11:00,260,09:02,264,91700株,24百万円,-1,-0.38,264.416円,212回
9978,2019-09-11,264,281,09:13,264,09:00,266,150300株,41百万円,+2,+0.76,272.656円,364回
9978,2019-09-12,269,273,09:16,262,09:27,266,79900株,21百万円,0,0,267.018円,137回
9978,2019-09-13,264,267,09:04,241,10:31,252,229200株,58百万円,-14,-5.26,253.783円,435回
9978,2019-09-17,246,259,10:38,242,09:23,253,94800株,24百万円,+1,+0.40,249.68円,231回
9978,2019-09-17,247,254,10:40,244,14:56,244,65300株,16百万円,-9,-3.56,247.874円,125回,34.17億円
9978,2019-09-19,246,252,09:44,243,09:26,247,59000株,15百万円,+3,+1.23,247.183円,121回,34.59億円
9978,2019-09-20,247,265,14:57,247,09:00,265,68500株,18百万円,+18,+7.29,256.796円,156回,37.11億円
9978,2019-09-24,264,270,09:18,257,13:34,261,79500株,21百万円,-4,-1.51,262.481円,160回,36.55億円
9978,2019-09-25,261,265,13:49,259,09:54,265,34200株,9百万円,+4,+1.53,261.997円,85回,37.11億円
9978,2019-09-26,265,267,09:04,259,12:43,265,66100株,17百万円,0,0,262.876円,142回,37.11億円
9978,2019-09-27,265,278,15:00,260,09:20,278,127800株,34百万円,+13,+4.91,268.651円,217回,38.93億円
9978,2019-09-30,259,263,09:32,247,15:00,247,292800株,74百万円,-31,-11.15,253.715円,480回,34.59億円
9978,2019-10-01,245,246,09:01,205,09:29,212,570800株,125百万円,-35,-14.17,218.219円,1102回,29.69億円
9978,2019-10-02,228,265,12:41,218,09:41,239,940400株,226百万円,+27,+12.74,240.573円,1567回,33.47億円
9978,2019-10-03,231,247,10:12,225,09:09,235,226400株,53百万円,-4,-1.67,234.81円,519回,32.91億円
9978,2019-10-04,243,247,09:54,235,10:13,245,269000株,65百万円,+10,+4.26,241.843円,407回,34.31億円
9978,2019-10-07,259,273,11:16,249,09:12,270,580100株,153百万円,+25,+10.20,264.575円,948回,37.81億円
9978,2019-10-08,269,269,09:00,245,12:36,248,439900株,112百万円,-22,-8.15,254.189円,751回,34.73億円
9978,2019-10-09,228,232,09:07,222,09:29,225,606800株,138百万円,-23,-9.27,227.016円,720回,31.51億円
9978,2019-10-10,233,239,09:04,210,12:45,215,885000株,197百万円,-10,-4.44,222.227円,1025回,30.11億円
9978,2019-10-11,184,189,09:23,178,10:16,182,950600株,173百万円,-33,-15.35,182.352円,887回,25.49億円
9978,2019-10-15,184,185,09:08,179,14:59,179,225600株,41百万円,-3,-1.65,181.532円,222回,25.07億円
9978,2019-10-16,177,178,09:00,171,09:11,175,326200株,57百万円,-4,-2.23,174.318円,451回,24.51億円
9978,2019-10-17,178,178,09:00,170,12:33,172,142300株,25百万円,-3,-1.71,173.243円,260回,24.09億円
9978,2019-10-18,172,172,09:00,166,10:55,166,128500株,22百万円,-6,-3.49,168.223円,210回,23.25億円
9978,2019-10-21,158,160,12:32,154,09:04,159,246300株,39百万円,-7,-4.22,157.488円,246回,22.27億円
9978,2019-10-23,159,161,10:40,157,09:04,158,117200株,19百万円,-1,-0.63,159.532円,95回,22.13億円
9978,2019-10-24,159,160,12:30,158,09:01,159,59100株,9百万円,+1,+0.63,159.328円,52回,22.27億円
9978,2019-10-25,161,163,09:58,158,10:10,159,155100株,25百万円,0,0,159.918円,94回,22.27億円
9978,2019-10-28,159,160,09:15,156,12:56,158,57200株,9百万円,-1,-0.63,158.016円,55回,22.13億円
9978,2019-10-29,159,159,09:00,153,09:18,155,138500株,22百万円,-3,-1.90,155.583円,141回,21.71億円
9978,2019-10-30,158,159,09:48,155,15:00,155,39300株,6百万円,0,0,157.056円,54回,21.71億円
