4027,2019-08-30,1819,1879,12:38,1819,09:00,1870,44800株,83百万円,+62,+3.43,1856.473円,194回
4027,2019-09-02,1860,1861,09:09,1835,10:22,1847,12500株,23百万円,-23,-1.23,1846.056円,76回
4027,2019-09-03,1847,1900,12:48,1844,09:00,1869,25300株,48百万円,+22,+1.19,1877.953円,180回
4027,2019-09-03,1856,1866,11:06,1830,09:35,1836,26000株,48百万円,-33,-1.77,1845.723円,146回
4027,2019-09-05,1849,1918,12:30,1849,09:00,1905,27300株,52百万円,+69,+3.76,1899.582円,165回
4027,2019-09-05,1927,1935,09:04,1870,14:58,1873,20000株,38百万円,-32,-1.68,1894.845円,122回
4027,2019-09-07,1894,1899,09:38,1876,09:09,1891,25400株,48百万円,+18,+0.96,1889.941円,129回
4027,2019-09-10,1907,1924,15:00,1872,10:19,1924,34200株,65百万円,+33,+1.75,1902.716円,208回
4027,2019-09-11,1930,1964,14:43,1910,10:38,1962,34400株,67百万円,+38,+1.98,1946.535円,196回
4027,2019-09-12,1993,1996,14:37,1958,09:14,1984,55900株,111百万円,+22,+1.12,1981.386円,301回
4027,2019-09-13,1995,2003,13:51,1970,09:01,1993,74600株,149百万円,+9,+0.45,1992.204円,286回
4027,2019-09-17,1993,1993,09:00,1929,12:36,1949,45700株,89百万円,-44,-2.21,1955.129円,262回
4027,2019-09-17,1954,1957,09:01,1899,14:55,1909,45500株,87百万円,-40,-2.05,1915.862円,292回,490.89億円
4027,2019-09-19,1919,1977,14:54,1917,09:01,1973,47500株,93百万円,+64,+3.35,1959.272円,276回,507.35億円
4027,2019-09-20,1978,1978,09:00,1945,09:04,1965,41400株,81百万円,-8,-0.41,1956.816円,239回,505.29億円
4027,2019-09-24,1966,2013,14:34,1955,09:02,2007,31600株,63百万円,+42,+2.14,1996.025円,184回,516.09億円
4027,2019-09-25,1998,2022,13:00,1972,09:46,2002,42200株,84百万円,-5,-0.25,1996.919円,268回,514.80億円
4027,2019-09-26,2024,2057,12:38,2009,14:51,2031,62100株,127百万円,+29,+1.45,2038.599円,332回,522.26億円
4027,2019-09-27,2008,2026,09:02,1980,10:10,2011,63500株,127百万円,-20,-0.98,2000.367円,407回,517.12億円
4027,2019-09-30,1983,1989,09:12,1916,11:20,1955,69500株,135百万円,-56,-2.78,1948.571円,437回,502.72億円
4027,2019-10-01,1971,2043,14:25,1971,09:00,2027,49700株,101百万円,+72,+3.68,2022.4円,313回,521.23億円
4027,2019-10-02,2002,2002,09:00,1951,11:22,1987,47400株,94百万円,-40,-1.97,1974.16円,299回,510.95億円
4027,2019-10-03,1947,1957,14:56,1926,09:02,1957,35500株,69百万円,-30,-1.51,1940.89円,221回,503.23億円
4027,2019-10-04,1957,1977,14:42,1937,09:00,1969,21700株,43百万円,+12,+0.61,1960.719円,110回,506.32億円
4027,2019-10-07,1967,2002,14:58,1962,10:04,1993,26000株,52百万円,+24,+1.22,1981.804円,152回,512.49億円
4027,2019-10-08,1983,2000,11:08,1973,13:24,1987,31300株,62百万円,-6,-0.30,1986.035円,182回,510.95億円
4027,2019-10-09,1953,1968,14:54,1932,09:01,1966,35600株,70百万円,-21,-1.06,1955.433円,224回,505.55億円
4027,2019-10-10,1974,1981,09:01,1926,13:21,1942,39700株,77百万円,-24,-1.22,1942.536円,273回,499.37億円
4027,2019-10-11,1960,1962,09:03,1930,12:30,1941,39700株,77百万円,-1,-0.05,1943.018円,228回,499.12億円
4027,2019-10-15,1981,2059,14:39,1979,09:03,2055,76400株,156百万円,+114,+5.87,2039.289円,434回,528.43億円
4027,2019-10-16,2097,2121,09:06,2071,10:25,2089,34700株,73百万円,+34,+1.65,2089.378円,189回,537.17億円
4027,2019-10-17,2101,2101,09:00,2070,09:39,2072,32500株,68百万円,-17,-0.81,2079.062円,190回,532.80億円
4027,2019-10-18,2078,2094,09:20,2046,14:32,2062,32600株,67百万円,-10,-0.48,2065.169円,221回,530.23億円
4027,2019-10-21,2068,2072,14:48,2051,09:21,2071,25700株,53百万円,+9,+0.44,2065.389円,162回,532.55億円
4027,2019-10-23,2072,2082,14:59,2048,09:19,2081,20000株,41百万円,+10,+0.48,2063.67円,121回,535.12億円
4027,2019-10-24,2098,2100,09:00,2066,10:33,2082,31500株,66百万円,+1,+0.05,2083.651円,208回,535.37億円
4027,2019-10-25,2082,2120,15:00,2077,09:07,2120,36800株,77百万円,+38,+1.83,2102.495円,227回,545.15億円
4027,2019-10-28,2120,2126,09:13,2082,10:14,2109,27400株,58百万円,-11,-0.52,2102.69円,188回,542.32億円
4027,2019-10-29,2126,2144,09:07,2097,10:28,2114,35900株,76百万円,+5,+0.24,2117.067円,202回,543.60億円
