7198,2019-08-30,1911,1982,12:46,1880,09:09,1939,368500株,716百万円,-3,-0.15,1943.98円,1607回
7198,2019-09-02,1942,2078,12:41,1941,09:00,2059,336600株,687百万円,+120,+6.19,2041.401円,1542回
7198,2019-09-03,2058,2140,13:09,2057,09:00,2128,373000株,790百万円,+69,+3.35,2118.51円,1610回
7198,2019-09-03,2110,2118,09:02,2059,09:30,2108,260100株,546百万円,-20,-0.94,2099.451円,1484回
7198,2019-09-05,2139,2231,10:53,2137,09:00,2191,573300株,1253百万円,+83,+3.94,2185.299円,2177回
7198,2019-09-05,2160,2200,09:30,2095,09:48,2115,372800株,794百万円,-76,-3.47,2130.905円,1635回
7198,2019-09-07,2095,2198,14:39,2095,09:00,2184,277700株,603百万円,+69,+3.26,2171.41円,1042回
7198,2019-09-10,2179,2231,09:35,2166,14:57,2174,475100株,1044百万円,-10,-0.46,2198.27円,1686回
7198,2019-09-11,2173,2223,09:37,2164,14:56,2165,294400株,643百万円,-9,-0.41,2182.982円,1097回
7198,2019-09-12,2143,2157,10:39,2068,14:59,2071,411100株,867百万円,-94,-4.34,2108.649円,1432回
7198,2019-09-13,2080,2114,12:41,2053,14:30,2058,314900株,655百万円,-13,-0.63,2081.584円,1169回
7198,2019-09-17,2069,2069,09:00,2006,09:38,2055,284500株,582百万円,-3,-0.15,2044.635円,1249回
7198,2019-09-17,2075,2102,13:55,2060,12:45,2094,230500株,480百万円,+39,+1.90,2082.743円,1164回,755.53億円
7198,2019-09-19,2116,2172,09:17,2104,12:34,2169,319500株,687百万円,+75,+3.58,2149.991円,1466回,782.59億円
7198,2019-09-20,2175,2259,14:51,2169,09:01,2244,891600株,1992百万円,+75,+3.46,2233.957円,2055回,809.65億円
7198,2019-09-24,2200,2312,14:31,2199,09:00,2309,444000株,1016百万円,+65,+2.90,2288.61円,1718回,833.10億円
7198,2019-09-25,2300,2368,14:08,2276,09:33,2353,260200株,608百万円,+44,+1.91,2338.538円,1284回,848.98億円
7198,2019-09-26,2360,2434,12:49,2360,09:00,2385,338800株,814百万円,+32,+1.36,2403.809円,1627回,860.52億円
7198,2019-09-27,2324,2370,09:11,2310,09:54,2332,304900株,711百万円,-53,-2.22,2331.581円,1605回,841.40億円
7198,2019-09-30,2348,2448,12:39,2348,09:00,2407,470100株,1131百万円,+75,+3.22,2405.967円,2164回,868.46億円
7198,2019-10-01,2380,2412,10:38,2345,13:08,2374,218400株,519百万円,-33,-1.37,2374.385円,1119回,856.55億円
7198,2019-10-02,2353,2408,09:44,2320,09:01,2358,300700株,712百万円,-16,-0.67,2369.391円,1455回,850.78億円
7198,2019-10-03,2318,2334,14:51,2283,09:52,2324,242000株,560百万円,-34,-1.44,2314.047円,1311回,838.51億円
7198,2019-10-04,2327,2327,09:00,2253,13:00,2279,282300株,643百万円,-45,-1.94,2277.862円,1437回,822.28億円
7198,2019-10-07,2270,2286,09:01,2236,10:01,2265,201900株,456百万円,-14,-0.61,2260.164円,1117回,817.23億円
7198,2019-10-08,2304,2335,09:02,2289,13:53,2299,258000株,594百万円,+34,+1.50,2304.053円,1556回,829.49億円
7198,2019-10-09,2285,2301,09:06,2238,14:45,2250,300200株,680百万円,-49,-2.13,2264.81円,1567回,811.81億円
7198,2019-10-10,2248,2250,09:18,2210,14:49,2218,205500株,458百万円,-32,-1.42,2228.791円,1075回,800.27億円
7198,2019-10-11,2218,2223,09:00,2148,14:40,2153,316100株,684百万円,-65,-2.93,2165.343円,1389回,776.82億円
7198,2019-10-15,2169,2231,09:03,2157,13:08,2184,293000株,641百万円,+31,+1.44,2186.38円,1492回,788.00億円
7198,2019-10-16,2193,2290,11:05,2182,09:04,2205,288000株,642百万円,+21,+0.96,2229.34円,1499回,795.58億円
7198,2019-10-17,2219,2305,14:44,2219,09:00,2298,288000株,656百万円,+93,+4.22,2276.625円,1512回,829.13億円
7198,2019-10-18,2298,2339,09:56,2276,09:00,2320,305500株,709百万円,+22,+0.96,2322.058円,1607回,837.07億円
7198,2019-10-21,2347,2406,09:53,2340,09:00,2353,397500株,945百万円,+33,+1.42,2377.277円,2001回,848.98億円
7198,2019-10-23,2360,2404,13:08,2356,09:19,2392,258700株,617百万円,+39,+1.66,2384.494円,1350回,863.05億円
7198,2019-10-24,2389,2392,09:00,2297,09:30,2356,270800株,636百万円,-36,-1.51,2347.613円,1511回,850.06億円
7198,2019-10-25,2346,2356,09:00,2297,09:04,2343,456100株,1061百万円,-13,-0.55,2326.621円,2218回,845.37億円
7198,2019-10-28,2321,2399,10:16,2319,09:00,2337,325700株,767百万円,-6,-0.26,2355.398円,1806回,843.20億円
7198,2019-10-29,2339,2392,14:59,2331,09:01,2387,391200株,926百万円,+50,+2.14,2366.9円,2041回,861.24億円
7198,2019-10-30,2383,2463,09:59,2344,09:02,2376,1121500株,2686百万円,-11,-0.46,2395.138円,4144回,857.28億円
7198,2019-10-31,2399,2528,09:22,2393,09:00,2449,524800株,1294百万円,+73,+3.07,2465.261円,2563回,883.61億円
7198,2019-11-01,2422,2524,14:59,2413,09:00,2524,367600株,920百万円,+75,+3.06,2502.867円,1919回,910.67億円
7198,2019-11-05,2551,2608,14:22,2531,09:10,2599,434400株,1120百万円,+75,+2.97,2579.133円,2184回,937.73億円
7198,2019-11-07,2599,2630,12:50,2552,14:04,2576,400900株,1038百万円,+4,+0.16,2588.329円,2460回,929.44億円
7198,2019-11-08,2626,2640,09:04,2459,10:15,2561,999600株,2535百万円,-15,-0.58,2536.392円,5069回,924.02億円
7198,2019-11-11,2561,2561,09:00,2460,10:56,2535,441600株,1105百万円,-26,-1.02,2502.751円,2022回,914.64億円
7198,2019-11-12,2510,2510,09:00,2401,14:43,2415,386000株,942百万円,-120,-4.73,2440.966円,2163回,871.35億円
7198,2019-11-13,2440,2467,10:03,2415,09:25,2447,407800株,998百万円,+32,+1.33,2447.081円,2050回,882.89億円
7198,2019-11-14,2460,2484,09:07,2434,13:15,2470,189500株,466百万円,+23,+0.94,2460.255円,1117回,891.19億円
7198,2019-11-15,2498,2561,13:11,2482,09:13,2516,346300株,872百万円,+46,+1.86,2519.402円,1870回,907.79億円
7198,2019-11-18,2525,2575,09:58,2506,09:02,2531,301700株,767百万円,+15,+0.60,2541.911円,1359回,913.20億円
7198,2019-11-19,2531,2542,09:22,2443,12:45,2491,331200株,823百万円,-40,-1.58,2486.33円,1511回,898.77億円
7198,2019-11-20,2481,2549,12:37,2474,09:00,2539,195500株,493百万円,+48,+1.93,2523.536円,1024回,916.09億円
7198,2019-11-21,2567,2600,09:02,2541,10:03,2591,305300株,788百万円,+52,+2.05,2581.073円,1650回,934.85億円
7198,2019-11-22,2600,2620,09:05,2549,14:11,2555,160400株,413百万円,-36,-1.39,2572.973円,925回,921.86億円
7198,2019-11-25,2563,2587,09:00,2524,09:48,2562,88100株,225百万円,+7,+0.27,2549.622円,484回,924.38億円
7198,2019-11-26,2566,2567,09:00,2513,12:57,2535,181400株,460百万円,-27,-1.05,2535.542円,998回,914.64億円
7198,2019-11-27,2539,2571,12:32,2513,09:03,2559,168500株,430百万円,+24,+0.95,2552.217円,864回,923.30億円
7198,2019-11-28,2549,2567,14:54,2516,09:57,2560,113700株,290百万円,+1,+0.04,2546.746円,599回,923.66億円
7198,2019-11-29,2541,2549,09:00,2482,14:41,2486,192100株,481百万円,-74,-2.89,2501.939円,1050回,896.96億円
7198,2019-12-02,2482,2540,09:46,2462,09:00,2515,128700株,324百万円,+29,+1.17,2514.998円,780回,907.43億円
7198,2019-12-03,2486,2534,10:10,2471,09:10,2509,135700株,341百万円,-6,-0.24,2513.757円,741回,905.26億円
7198,2019-12-05,2506,2510,09:00,2437,14:30,2443,152100株,375百万円,-58,-2.32,2463.253円,815回,881.45億円
7198,2019-12-06,2457,2487,14:50,2432,09:05,2483,161800株,399百万円,+40,+1.64,2465.748円,877回,895.88億円
7198,2019-12-09,2499,2513,12:39,2450,09:08,2474,129700株,322百万円,-9,-0.36,2480.008円,764回,892.63億円
7198,2019-12-10,2475,2478,09:17,2445,09:04,2463,71400株,176百万円,-11,-0.44,2461.282円,432回,888.67億円
7198,2019-12-13,2416,2425,09:00,2331,14:05,2345,227700株,537百万円,-27,-1.14,2359.547円,1269回,846.09億円
7198,2019-12-16,2351,2366,09:00,2337,09:50,2351,143400株,337百万円,+6,+0.26,2351.218円,908回,848.25億円
7198,2019-12-17,2365,2365,09:00,2284,14:18,2302,254500株,586百万円,-49,-2.08,2302.758円,1196回,830.58億円
7198,2019-12-18,2300,2347,09:04,2295,09:00,2340,166600株,387百万円,+38,+1.65,2324.393円,907回,844.29億円
7198,2019-12-19,2298,2314,09:44,2279,14:48,2289,198800株,456百万円,-51,-2.18,2295.487円,1054回,825.88億円
7198,2019-12-20,2303,2350,09:00,2283,13:26,2292,271300株,624百万円,+3,+0.13,2299.389円,1362回,826.97億円
7198,2019-12-23,2279,2279,09:00,2240,09:02,2259,264300株,596百万円,-33,-1.44,2253.627円,1512回,815.06億円
7198,2019-12-24,2259,2280,09:11,2226,14:01,2244,271500株,609百万円,-15,-0.66,2243.208円,1522回,809.65億円
7198,2019-12-25,2245,2260,09:01,2206,13:02,2213,92800株,206百万円,-31,-1.38,2221.578円,519回,798.46億円
7198,2019-12-26,2230,2234,09:02,2213,10:28,2231,203000株,451百万円,+18,+0.81,2224.114円,1017回,804.96億円
7198,2019-12-27,2260,2271,14:28,2227,09:59,2260,150600株,339百万円,+29,+1.30,2249.781円,965回,815.42億円
7198,2019-12-30,2240,2259,14:23,2211,11:01,2248,146000株,327百万円,-12,-0.53,2241.488円,804回,811.09億円
7198,2020-01-06,2219,2228,09:00,2164,13:17,2173,143200株,313百万円,-75,-3.34,2184.096円,725回,784.03億円
7198,2020-01-07,2173,2271,14:46,2165,09:05,2265,284600株,638百万円,+92,+4.23,2243.394円,1467回,817.23億円
7198,2020-01-08,2208,2244,12:58,2175,09:45,2216,321400株,711百万円,-49,-2.16,2213.418円,1798回,799.55億円
7198,2020-01-09,2300,2327,14:54,2266,09:03,2315,244800株,566百万円,+99,+4.47,2312.428円,1157回,835.27億円
7198,2020-01-10,2375,2387,09:03,2295,11:29,2331,243000株,568百万円,+16,+0.69,2338.151円,1375回,841.04億円
7198,2020-01-14,2332,2332,09:00,2262,09:29,2290,238600株,546百万円,-41,-1.76,2290.417円,1391回,826.25億円
7198,2020-01-15,2260,2266,09:06,2213,10:03,2257,236900株,531百万円,-33,-1.44,2243.097円,1279回,814.34億円
7198,2020-01-16,2267,2298,14:52,2255,09:01,2287,135600株,309百万円,+30,+1.33,2281.961円,696回,825.16億円
7198,2020-01-17,2287,2320,12:30,2269,09:04,2307,132600株,306百万円,+20,+0.87,2305.066円,716回,832.38億円
7198,2020-01-20,2307,2360,10:49,2300,12:35,2304,139200株,324百万円,-3,-0.13,2324.923円,775回,831.30億円
7198,2020-01-21,2282,2295,14:49,2255,10:02,2289,99100株,226百万円,-15,-0.65,2279.344円,593回,825.88億円
7198,2020-01-22,2286,2300,13:46,2263,09:02,2288,73700株,169百万円,-1,-0.04,2287.391円,435回,825.52億円
7198,2020-01-23,2314,2359,14:52,2294,12:34,2353,190000株,443百万円,+65,+2.84,2331.716円,991回,848.98億円
7198,2020-01-24,2346,2346,09:00,2271,13:39,2273,146200株,335百万円,-80,-3.40,2288.523円,758回,820.11億円
7198,2020-01-27,1773,2049,14:52,1773,09:35,2020,2013700株,3837百万円,-253,-11.13,1905.287円,5567回,728.83億円
7198,2020-01-28,2070,2088,09:03,1981,10:41,2030,618700株,1255百万円,+10,+0.50,2028.182円,2568回,732.44億円
7198,2020-01-29,2052,2063,09:00,1967,10:12,1995,432100株,866百万円,-35,-1.72,2003.753円,1745回,720億円
7198,2020-01-30,1990,2012,10:19,1934,13:06,1955,354600株,700百万円,-40,-2.01,1973.179円,1581回,705億円
7198,2020-01-31,1962,2016,09:07,1555,14:41,1794,1193800株,2168百万円,-161,-8.24,1816.295円,5118回,647億円
7198,2020-02-03,1775,1780,09:00,1633,12:39,1688,1588300株,2717百万円,-106,-5.91,1710.933円,5149回,609億円
7198,2020-02-04,1684,1684,09:00,1530,09:11,1633,1717600株,2790百万円,-55,-3.26,1624.633円,6376回,589億円
7198,2020-02-05,1652,1681,13:15,1625,10:26,1653,801000株,1324百万円,+20,+1.22,1652.738円,2903回,596億円
7198,2020-02-06,1646,1706,13:44,1604,09:05,1666,722600株,1207百万円,+13,+0.79,1669.859円,3056回,601億円
7198,2020-02-07,1646,1658,09:02,1590,13:02,1614,534100株,863百万円,-52,-3.12,1615.727円,1936回,582億円
7198,2020-02-10,1647,1711,10:21,1613,09:02,1657,567500株,942百万円,+43,+2.66,1659.493円,2291回,598億円
7198,2020-02-12,1720,1801,09:03,1700,09:06,1719,568900株,978百万円,+62,+3.74,1719.898円,2020回,620億円
7198,2020-02-13,2099,2118,09:27,1899,14:21,1941,2600300株,5197百万円,+222,+12.91,1998.571円,9809回,700億円
7198,2020-02-14,1921,1969,09:05,1837,14:57,1843,1091800株,2058百万円,-98,-5.05,1884.61円,4133回,665億円
7198,2020-02-17,1812,1849,09:02,1746,13:12,1762,589100株,1047百万円,-81,-4.40,1777.185円,2200回,636億円
7198,2020-02-17,1730,1780,09:00,1710,09:37,1748,591800株,1034百万円,-14,-0.79,1747.055円,2215回,631億円
7198,2020-02-18,1788,1887,13:10,1768,09:00,1869,656600株,1208百万円,+121,+6.92,1839.802円,2982回,674億円
7198,2020-02-20,1867,1881,09:41,1790,12:32,1808,676100株,1235百万円,-61,-3.26,1826.476円,2585回,652億円
7198,2020-02-21,1796,1814,11:03,1771,14:35,1777,338400株,604百万円,-31,-1.71,1785.926円,1410回,641億円
7198,2020-02-25,1680,1755,09:21,1675,09:06,1736,443400株,768百万円,-41,-2.31,1733.017円,1956回,626億円
7198,2020-02-26,1719,1759,13:58,1693,10:48,1749,325900株,565百万円,+13,+0.75,1734.196円,1386回,631億円
7198,2020-02-27,1755,1776,09:03,1651,14:34,1661,536700株,906百万円,-88,-5.03,1687.323円,2126回,599億円
7198,2020-02-28,1588,1635,09:49,1555,14:29,1584,757500株,1197百万円,-77,-4.64,1580.102円,1926回,572億円
7198,2020-03-02,1571,1672,12:34,1562,09:00,1645,451700株,735百万円,+61,+3.85,1627.668円,2098回,594億円
7198,2020-03-03,1714,1734,09:04,1646,14:59,1646,277800株,465百万円,+1,+0.06,1673.24円,1199回,594億円
7198,2020-03-04,1605,1622,10:29,1578,09:28,1616,292700株,471百万円,-30,-1.82,1608.288円,1378回,583億円
7198,2020-03-05,1633,1633,09:00,1557,14:45,1562,433500株,683百万円,-54,-3.34,1575.212円,1747回,564億円
7198,2020-03-06,1508,1521,09:03,1449,10:56,1473,570900株,842百万円,-89,-5.70,1475.227円,2130回,531億円
7198,2020-03-06,1410,1447,09:10,1333,11:30,1364,398800株,547百万円,-109,-7.40,1372.127円,1616回,492億円
7198,2020-03-10,1274,1418,14:30,1265,09:34,1405,343000株,464百万円,+41,+3.01,1353.903円,1312回,507億円
7198,2020-03-11,1400,1459,09:14,1358,14:53,1358,314100株,438百万円,-47,-3.35,1393.138円,1473回,490億円
7198,2020-03-12,1310,1352,09:55,1269,12:33,1289,310900株,404百万円,-69,-5.08,1299.889円,1366回,465億円
7198,2020-03-13,1215,1244,14:19,1151,11:00,1194,428200株,513百万円,-95,-7.37,1198.208円,1847回,431億円
7198,2020-03-16,1224,1236,09:03,1111,14:48,1115,449900株,530百万円,-79,-6.62,1177.927円,1846回,402億円
7198,2020-03-17,1027,1126,10:35,996,09:42,1080,877400株,932百万円,-35,-3.14,1061.817円,3207回,390億円
7198,2020-03-18,1089,1095,09:00,1024,14:47,1029,695900株,730百万円,-51,-4.72,1049.192円,2429回,371億円
7198,2020-03-19,1027,1036,10:27,924,13:09,938,674700株,653百万円,-91,-8.84,967.755円,2692回,338億円
7198,2020-03-23,919,984,14:04,854,09:12,974,915700株,852百万円,+36,+3.84,929.896円,3580回,351億円
7198,2020-03-24,1025,1051,10:53,987,09:20,1045,505700株,518百万円,+71,+7.29,1023.546円,1787回,377億円
7198,2020-03-25,1195,1195,09:14,1114,12:45,1148,404500株,464百万円,+103,+9.86,1147.987円,1720回,414億円
7198,2020-03-26,1102,1127,10:46,1057,09:05,1099,408800株,448百万円,-49,-4.27,1096.947円,1303回,397億円
7198,2020-03-27,1189,1193,09:08,1131,10:24,1183,453700株,530百万円,+84,+7.64,1167.84円,1801回,427億円
7198,2020-03-30,1068,1089,09:11,1001,10:39,1055,427600株,446百万円,-128,-10.82,1044.138円,1615回,381億円
7198,2020-03-31,1057,1319,11:27,1057,09:00,1225,863000株,1022百万円,+170,+16.11,1183.967円,3443回,442億円
7198,2020-04-01,1205,1237,09:07,1146,14:49,1158,516200株,613百万円,-67,-5.47,1187.823円,2617回,418億円
7198,2020-04-02,1159,1205,09:04,1112,14:52,1118,479500株,548百万円,-40,-3.45,1142.604円,2143回,403億円
7198,2020-04-03,1194,1216,09:07,1078,14:35,1084,495200株,555百万円,-34,-3.04,1119.877円,1932回,391億円
7198,2020-04-06,1076,1136,12:33,1024,09:10,1124,368300株,409百万円,+40,+3.69,1109.522円,1645回,406億円
7198,2020-04-07,1184,1255,10:27,1159,14:31,1185,477700株,574百万円,+61,+5.43,1201.66円,1997回,428億円
7198,2020-04-08,1199,1202,09:02,1125,09:28,1191,398000株,463百万円,+6,+0.51,1164.071円,1904回,430億円
7198,2020-04-09,1245,1283,12:50,1206,09:04,1280,321600株,405百万円,+89,+7.47,1259.636円,1564回,462億円
7198,2020-04-10,1285,1290,09:00,1219,10:05,1238,261500株,325百万円,-42,-3.28,1243.103円,1179回,447億円
7198,2020-04-13,1221,1252,09:04,1171,13:34,1186,285400株,341百万円,-52,-4.20,1194.156円,1174回,428億円
7198,2020-04-14,1209,1246,14:48,1180,09:12,1234,149800株,183百万円,+48,+4.05,1219.602円,793回,445億円
7198,2020-04-15,1275,1292,09:16,1221,14:55,1232,328300株,411百万円,-2,-0.16,1252.677円,1687回,445億円
7198,2020-04-16,1262,1268,12:33,1220,09:58,1254,211900株,265百万円,+22,+1.79,1248.922円,1119回,452億円
7198,2020-04-17,1274,1285,09:01,1240,13:08,1252,167400株,210百万円,-2,-0.16,1257.02円,960回,452億円
7198,2020-04-20,1232,1240,09:00,1205,09:06,1223,456400株,556百万円,-29,-2.32,1217.35円,1849回,441億円
7198,2020-04-21,1213,1240,09:01,1183,12:50,1201,258800株,312百万円,-22,-1.80,1207.276円,949回,433億円
7198,2020-04-22,1193,1210,14:42,1162,10:47,1203,302000株,357百万円,+2,+0.17,1182.488円,1024回,434億円
7198,2020-04-23,1191,1197,10:11,1166,13:32,1183,267300株,315百万円,-20,-1.66,1178.507円,1071回,427億円
7198,2020-04-24,1176,1180,09:01,1141,14:08,1163,441200株,510百万円,-20,-1.69,1156.037円,2112回,420億円
7198,2020-04-27,1170,1227,13:32,1169,09:01,1190,532300株,634百万円,+27,+2.32,1190.484円,1696回,429億円
7198,2020-04-28,1219,1236,10:42,1201,13:12,1227,250600株,306百万円,+37,+3.11,1222.973円,1217回,443億円
7198,2020-04-30,1274,1297,14:00,1221,09:46,1268,441600株,560百万円,+41,+3.34,1267.773円,2166回,458億円
7198,2020-05-01,1261,1280,09:00,1232,10:03,1250,162700株,203百万円,-18,-1.42,1248.967円,757回,451億円
7198,2020-05-07,1216,1224,09:03,1172,09:06,1201,404700株,482百万円,-49,-3.92,1190.072円,1670回,433億円
7198,2020-05-08,1223,1284,14:13,1214,09:02,1273,374700株,470百万円,+72,+6.00,1253.69円,1782回,459億円
7198,2020-05-11,1293,1410,13:17,1283,09:00,1371,628500株,854百万円,+98,+7.70,1358.278円,2599回,495億円,04/24,20.3,452.8,22.31
7198,2020-05-12,1373,1442,14:52,1364,09:01,1433,746800株,1057百万円,+62,+4.52,1415.47円,2909回,517億円,05/01,23.3,417.2,17.91
7198,2020-05-13,1373,1440,13:17,1289,09:08,1364,808700株,1098百万円,-69,-4.82,1357.557円,2823回,492億円,05/01,23.3,417.2,17.91
7198,2020-05-14,1356,1427,09:08,1283,14:59,1284,393700株,525百万円,-80,-5.87,1333.426円,1696回,463億円,05/01,23.3,417.2,17.91
7198,2020-05-15,1314,1347,09:08,1300,09:03,1338,342900株,457百万円,+54,+4.21,1332.989円,1748回,483億円,05/01,23.3,417.2,17.91
7198,2020-05-18,1335,1354,12:39,1314,09:55,1345,193100株,258百万円,+7,+0.52,1333.864円,1101回,485億円,05/01,23.3,417.2,17.91
7198,2020-05-19,1400,1463,13:54,1397,09:18,1455,406900株,585百万円,+110,+8.18,1436.99円,1722回,525億円,05/01,23.3,417.2,17.91
