5290,2019-08-30,1322,1344,12:43,1322,09:00,1336,3800株,5百万円,+15,+1.14,1335.553円,28回
5290,2019-09-02,1351,1359,09:18,1345,09:24,1354,2900株,4百万円,+18,+1.35,1351.862円,23回
5290,2019-09-03,1359,1371,10:11,1356,09:04,1358,3700株,5百万円,+4,+0.30,1364.432円,29回
5290,2019-09-03,1328,1353,12:30,1328,09:00,1350,2700株,4百万円,-8,-0.59,1343.704円,23回
5290,2019-09-05,1339,1373,14:18,1339,09:00,1367,9700株,13百万円,+17,+1.26,1362.309円,64回
5290,2019-09-05,1363,1378,09:07,1356,14:22,1359,10800株,15百万円,-8,-0.59,1370.398円,54回
5290,2019-09-07,1369,1372,09:00,1343,10:39,1359,13900株,19百万円,0,0,1353.892円,89回
5290,2019-09-10,1362,1394,10:06,1362,09:00,1371,27800株,38百万円,+12,+0.88,1376.122円,140回
5290,2019-09-11,1373,1388,09:00,1361,10:33,1378,21700株,30百万円,+7,+0.51,1373.553円,136回
5290,2019-09-12,1378,1426,10:12,1372,09:17,1408,21600株,30百万円,+30,+2.18,1408.176円,125回
5290,2019-09-13,1429,1429,09:00,1396,11:25,1409,14900株,21百万円,+1,+0.07,1413.174円,84回
5290,2019-09-17,1432,1487,11:11,1422,09:13,1484,42100株,62百万円,+75,+5.32,1465.423円,249回
5290,2019-09-17,1492,1525,11:10,1475,09:53,1519,54100株,81百万円,+35,+2.36,1501.469円,294回,177.49億円
5290,2019-09-19,1524,1524,09:00,1496,14:54,1496,28200株,43百万円,-23,-1.51,1507.681円,157回,174.80億円
5290,2019-09-20,1503,1532,15:00,1500,09:52,1532,24800株,38百万円,+36,+2.41,1520.452円,91回,179.01億円
5290,2019-09-24,1539,1569,09:37,1536,09:11,1569,37600株,58百万円,+37,+2.42,1554.87円,199回,183.33億円
5290,2019-09-25,1555,1565,14:31,1546,10:08,1556,13800株,21百万円,-13,-0.83,1555.051円,78回,181.81億円
5290,2019-09-26,1558,1564,12:59,1557,09:03,1559,10200株,16百万円,+3,+0.19,1559.941円,60回,182.16億円
5290,2019-09-27,1555,1555,09:00,1488,12:39,1503,26600株,40百万円,-56,-3.59,1506.053円,123回,175.62億円
5290,2019-09-30,1483,1486,10:49,1450,14:37,1457,18000株,26百万円,-46,-3.06,1468.222円,112回,170.24億円
5290,2019-10-01,1464,1537,14:56,1464,09:00,1537,35200株,53百万円,+80,+5.49,1506.125円,164回,179.59億円
5290,2019-10-02,1540,1580,10:02,1540,09:00,1563,42300株,66百万円,+26,+1.69,1562.979円,196回,182.63億円
5290,2019-10-03,1556,1566,14:15,1516,09:50,1554,24600株,38百万円,-9,-0.58,1538.886円,149回,181.58億円
5290,2019-10-04,1564,1631,14:41,1557,10:19,1625,83500株,133百万円,+71,+4.57,1593.405円,348回,189.87億円
