4564,2019-08-30,101,104,14:54,101,09:00,104,626400株,64百万円,+4,+4.00,102.179円,149回
4564,2019-09-02,103,104,09:05,101,14:32,101,339500株,35百万円,-3,-2.88,102.243円,93回
4564,2019-09-03,101,103,10:16,101,09:00,101,393900株,40百万円,0,0,101.836円,97回
4564,2019-09-03,101,103,09:38,101,09:00,102,408600株,42百万円,+1,+0.99,101.9円,150回
4564,2019-09-05,102,104,09:10,101,09:54,101,910800株,93百万円,-1,-0.98,102.046円,153回
4564,2019-09-05,102,104,13:12,101,09:16,102,645800株,66百万円,+1,+0.99,102.24円,162回
4564,2019-09-07,102,103,09:16,102,09:00,102,183300株,19百万円,0,0,102.346円,62回
4564,2019-09-10,102,103,09:01,100,13:45,102,962200株,98百万円,0,0,101.373円,200回
4564,2019-09-11,101,103,09:20,101,09:00,101,400500株,41百万円,-1,-0.98,101.795円,160回
4564,2019-09-12,102,103,09:00,101,09:27,103,559000株,57百万円,+2,+1.98,102.082円,130回
4564,2019-09-13,101,102,09:00,101,09:00,102,498200株,50百万円,-1,-0.97,101.287円,90回
4564,2019-09-17,101,102,09:21,101,09:00,101,444100株,45百万円,-1,-0.98,101.466円,102回
4564,2019-09-17,101,102,09:22,101,09:00,101,323100株,33百万円,0,0,101.111円,113回,160.55億円
4564,2019-09-19,101,102,09:03,100,12:45,100,615000株,62百万円,-1,-0.99,100.964円,141回,158.96億円
4564,2019-09-20,100,102,09:24,100,09:00,101,556200株,56百万円,+1,+1.00,100.789円,180回,161.71億円
4564,2019-09-24,101,102,09:18,100,09:07,101,320800株,32百万円,0,0,101.199円,104回,161.71億円
4564,2019-09-25,101,102,09:23,100,09:02,102,415000株,42百万円,+1,+0.99,101.046円,123回,163.31億円
4564,2019-09-26,102,102,09:00,100,09:29,101,592600株,60百万円,-1,-0.98,100.954円,181回,161.71億円
4564,2019-09-27,102,102,09:00,100,09:39,102,723500株,73百万円,+1,+0.99,101.133円,194回,163.31億円
4564,2019-09-30,102,102,09:00,100,09:59,100,441700株,45百万円,-2,-1.96,101.207円,110回,160.11億円
4564,2019-10-01,101,102,09:00,100,09:37,101,1080800株,109百万円,+1,+1.00,101.035円,232回,161.71億円
4564,2019-10-02,101,102,09:00,100,11:30,100,945400株,95百万円,-1,-0.99,100.952円,172回,160.11億円
4564,2019-10-03,100,101,09:01,98,09:10,101,1392700株,139百万円,+1,+1.00,99.779円,192回,161.71億円
4564,2019-10-04,101,101,09:00,100,09:08,101,488400株,49百万円,0,0,100.862円,69回,161.71億円
