7905,2019-08-30,1816,1856,13:10,1813,12:30,1836,23900株,44百万円,+43,+2.40,1835.954円,148回
7905,2019-09-02,1831,1851,09:17,1826,09:02,1831,13800株,25百万円,-5,-0.27,1840.029円,83回
7905,2019-09-03,1832,1871,14:00,1799,09:02,1864,13700株,25百万円,+33,+1.80,1845.387円,100回
7905,2019-09-03,1845,1845,09:00,1802,14:59,1802,14800株,27百万円,-62,-3.33,1813.588円,98回
7905,2019-09-05,1806,1851,14:30,1806,09:00,1839,17800株,33百万円,+37,+2.05,1839.281円,103回
7905,2019-09-05,1860,1861,09:02,1804,12:54,1813,23000株,42百万円,-26,-1.41,1817.635円,193回
7905,2019-09-07,1813,1875,13:36,1813,09:00,1862,28500株,53百万円,+49,+2.70,1858.063円,178回
7905,2019-09-10,1876,1902,09:11,1830,09:42,1877,44200株,83百万円,+15,+0.81,1877.396円,264回
7905,2019-09-11,1879,1942,14:50,1870,09:06,1940,38800株,74百万円,+63,+3.36,1913.936円,226回
7905,2019-09-12,1954,1990,09:43,1929,12:30,1974,35300株,69百万円,+34,+1.75,1967.227円,190回
7905,2019-09-13,1994,2009,14:57,1969,09:07,2006,44200株,88百万円,+32,+1.62,1994.518円,142回
7905,2019-09-17,2006,2040,09:24,1995,14:42,2007,26900株,54百万円,+1,+0.05,2014.357円,149回
7905,2019-09-17,2007,2013,09:40,1970,12:39,2000,35600株,71百万円,-7,-0.35,1995.014円,202回,541.60億円
7905,2019-09-19,2025,2078,09:28,2025,09:00,2063,34900株,72百万円,+63,+3.15,2055.734円,204回,558.66億円
7905,2019-09-20,2070,2078,14:41,2029,14:59,2046,49600株,102百万円,-17,-0.82,2055.839円,189回,554.06億円
7905,2019-09-24,2047,2077,09:18,2038,14:08,2058,22800株,47百万円,+12,+0.59,2052.566円,144回,557.31億円
7905,2019-09-25,2043,2043,09:00,2002,15:00,2002,25800株,52百万円,-56,-2.72,2016.876円,104回,542.14億円
7905,2019-09-26,2015,2051,09:03,1998,14:57,2016,27400株,55百万円,+14,+0.70,2019.478円,125回,545.93億円
7905,2019-09-27,1989,1989,09:00,1890,14:03,1913,38900株,75百万円,-103,-5.11,1917.748円,278回,518.04億円
7905,2019-09-30,1912,1912,09:00,1867,14:55,1875,21500株,40百万円,-38,-1.99,1882.791円,122回,507.75億円
7905,2019-10-01,1875,1910,09:54,1875,09:00,1890,21800株,41百万円,+15,+0.80,1891.518円,137回,511.81億円
7905,2019-10-02,1884,1895,09:51,1873,10:58,1880,26300株,50百万円,-10,-0.53,1883.125円,187回,509.10億円
7905,2019-10-03,1850,1854,09:00,1802,11:24,1852,29900株,55百万円,-28,-1.49,1831.629円,182回,501.52億円
7905,2019-10-04,1834,1882,13:35,1823,09:09,1863,29500株,55百万円,+11,+0.59,1852.824円,154回,504.50億円
7905,2019-10-07,1864,1886,09:04,1843,14:45,1850,28600株,53百万円,-13,-0.70,1852.948円,202回,500.98億円
7905,2019-10-08,1876,1907,14:10,1876,09:00,1896,55500株,105百万円,+46,+2.49,1894.613円,353回,513.44億円
7905,2019-10-09,1891,1927,14:59,1865,10:58,1923,24300株,46百万円,+27,+1.42,1899.313円,140回,520.75億円
7905,2019-10-10,1923,1943,12:30,1898,09:44,1926,22400株,43百万円,+3,+0.16,1922.17円,133回,521.56億円
7905,2019-10-11,1949,1949,09:00,1890,14:43,1896,28000株,53百万円,-30,-1.56,1903.304円,172回,513.44億円
7905,2019-10-15,1945,1964,10:38,1925,14:45,1935,50500株,98百万円,+39,+2.06,1943.82円,288回,524.00億円
7905,2019-10-16,1976,2008,09:05,1930,14:45,1949,63300株,124百万円,+14,+0.72,1957.196円,362回,527.79億円
7905,2019-10-17,1957,1974,09:23,1940,09:00,1952,34300株,67百万円,+3,+0.15,1951.875円,216回,528.60億円
7905,2019-10-18,1960,1976,09:18,1924,14:05,1943,31400株,61百万円,-9,-0.46,1949.35円,164回,526.17億円
7905,2019-10-21,1937,1960,11:14,1931,09:00,1945,18400株,36百万円,+2,+0.10,1946.717円,95回,526.71億円
7905,2019-10-23,1955,1955,09:00,1917,10:37,1924,46900株,91百万円,-21,-1.08,1930.365円,314回,521.02億円
7905,2019-10-24,1925,1927,09:00,1883,10:24,1885,66900株,127百万円,-39,-2.03,1895.199円,364回,510.46億円
7905,2019-10-25,1892,1892,09:00,1834,11:03,1840,85200株,158百万円,-45,-2.39,1850.634円,411回,498.27億円
7905,2019-10-28,1850,1878,12:50,1835,09:02,1860,61800株,115百万円,+20,+1.09,1860.32円,363回,503.69億円
7905,2019-10-29,1882,1887,09:02,1849,14:36,1855,44300株,83百万円,-5,-0.27,1863.185円,261回,502.33億円
