6625,2019-09-13,192,192,09:00,189,10:00,190,36600株,7百万円,0,0,190.369円,40回
6625,2019-09-17,190,190,09:00,188,09:30,189,66000株,12百万円,-1,-0.53,188.802円,56回
6625,2019-09-17,191,191,09:00,189,09:14,189,42000株,8百万円,0,0,190.05円,55回,161.92億円
6625,2019-09-19,188,191,10:20,188,09:00,190,99300株,19百万円,+1,+0.53,189.695円,103回,162.78億円
6625,2019-09-20,191,197,14:59,190,09:01,197,154400株,30百万円,+7,+3.68,193.729円,115回,168.77億円
6625,2019-09-24,194,201,09:15,193,09:01,198,210300株,41百万円,+1,+0.51,197.04円,167回,169.63億円
6625,2019-09-25,198,200,14:09,196,09:47,199,130600株,26百万円,+1,+0.51,198.126円,84回,170.49億円
6625,2019-09-26,201,201,09:00,198,14:25,200,169000株,34百万円,+1,+0.50,199.821円,125回,171.34億円
6625,2019-09-27,196,198,09:10,191,09:52,194,231200株,45百万円,-6,-3.00,194.903円,208回,166.20億円
6625,2019-09-30,196,196,09:00,191,09:45,191,87300株,17百万円,-3,-1.55,192.603円,75回,163.63億円
6625,2019-10-01,192,195,14:55,192,09:00,195,79900株,15百万円,+4,+2.09,193.345円,55回,167.06億円
6625,2019-10-02,193,195,12:30,193,09:00,193,50600株,10百万円,-2,-1.03,193.285円,33回,165.35億円
6625,2019-10-03,194,194,09:00,190,11:04,192,76000株,15百万円,-1,-0.52,191.785円,53回,164.49億円
6625,2019-10-04,194,194,09:00,192,09:00,193,50600株,10百万円,+1,+0.52,192.229円,25回,165.35億円
6625,2019-10-07,193,193,09:00,190,15:00,190,70200株,13百万円,-3,-1.55,191.5円,37回,162.78億円
6625,2019-10-08,191,192,12:32,190,09:23,190,60300株,12百万円,0,0,190.716円,73回,162.78億円
6625,2019-10-09,190,194,11:29,189,09:43,193,174100株,33百万円,+3,+1.58,190.829円,128回,165.35億円
6625,2019-10-10,194,194,09:00,191,15:00,191,50400株,10百万円,-2,-1.04,193.02円,36回,163.63億円
6625,2019-10-11,192,194,09:09,191,09:36,193,54200株,10百万円,+2,+1.05,192.6円,51回,165.35億円
6625,2019-10-15,193,194,12:30,192,09:17,194,59100株,11百万円,+1,+0.52,192.953円,47回,166.20億円
6625,2019-10-16,194,194,09:00,192,09:29,192,50600株,10百万円,-2,-1.03,192.966円,37回,164.49億円
6625,2019-10-17,193,193,09:00,192,09:01,193,17700株,3百万円,+1,+0.52,192.864円,29回,165.35億円
6625,2019-10-18,192,193,09:02,191,13:01,192,26200株,5百万円,-1,-0.52,192.229円,28回,164.49億円
6625,2019-10-21,191,197,14:01,191,09:00,195,89700株,17百万円,+3,+1.56,194.339円,49回,167.06億円
6625,2019-10-23,195,200,10:21,194,09:25,198,134000株,27百万円,+3,+1.54,198.393円,74回,169.63億円
6625,2019-10-24,198,198,09:00,197,09:23,197,31800株,6百万円,-1,-0.51,197.89円,32回,168.77億円
6625,2019-10-25,197,199,10:21,196,09:53,198,48700株,10百万円,+1,+0.51,197.318円,30回,169.63億円
6625,2019-10-28,198,199,09:22,197,09:46,197,24600株,5百万円,-1,-0.51,198.102円,31回,168.77億円
6625,2019-10-29,197,200,10:02,196,15:00,196,55000株,11百万円,-1,-0.51,197.911円,56回,167.92億円
6625,2019-10-30,197,197,09:00,195,10:33,195,27500株,5百万円,-1,-0.51,196.007円,36回,167.06億円
