7199,2019-08-30,1765,1780,12:45,1751,09:29,1775,91100株,161百万円,+22,+1.25,1767.194円,521回
7199,2019-09-02,1760,1780,09:03,1727,10:30,1742,99600株,174百万円,-33,-1.86,1745.719円,607回
7199,2019-09-03,1749,1768,09:05,1738,10:39,1753,52100株,91百万円,+11,+0.63,1753.808円,337回
7199,2019-09-03,1752,1786,14:35,1726,09:21,1772,105500株,185百万円,+19,+1.08,1757.67円,666回
7199,2019-09-05,1789,1840,13:24,1777,09:01,1812,135000株,245百万円,+40,+2.26,1816.889円,788回
7199,2019-09-05,1823,1860,09:28,1808,09:00,1842,111000株,204百万円,+30,+1.66,1841.716円,745回
7199,2019-09-07,1844,1888,14:00,1842,09:01,1876,76900株,144百万円,+34,+1.85,1869.113円,420回
7199,2019-09-10,1892,1920,09:15,1863,14:54,1866,143000株,271百万円,-10,-0.53,1893.501円,783回
7199,2019-09-11,1869,1933,14:20,1869,09:00,1910,125900株,241百万円,+44,+2.36,1911.501円,614回
7199,2019-09-12,1904,1927,09:11,1865,15:00,1865,102300株,193百万円,-45,-2.36,1890.701円,590回
7199,2019-09-13,1883,1903,10:24,1866,09:26,1877,78900株,149百万円,+12,+0.64,1882.594円,359回
7199,2019-09-17,1885,1926,09:12,1885,09:00,1919,76800株,147百万円,+42,+2.24,1913.47円,420回
7199,2019-09-17,1910,1918,09:56,1875,12:47,1898,69300株,131百万円,-21,-1.09,1895.483円,394回,250.81億円
7199,2019-09-19,1898,1943,09:24,1889,09:01,1904,121700株,233百万円,+6,+0.32,1917.565円,570回,251.60億円
7199,2019-09-20,1922,1925,09:00,1853,14:49,1853,97900株,184百万円,-51,-2.68,1875.673円,516回,244.86億円
7199,2019-09-24,1861,1901,14:17,1852,09:01,1881,102000株,192百万円,+28,+1.51,1882.391円,531回,248.56億円
7199,2019-09-25,1890,1935,14:20,1850,11:22,1929,155300株,295百万円,+48,+2.55,1902.171円,832回,254.91億円
7199,2019-09-26,1950,1985,09:00,1895,14:24,1905,179100株,346百万円,-24,-1.24,1934.344円,765回,251.74億円
7199,2019-09-27,1876,1914,12:55,1869,09:02,1910,77700株,147百万円,+5,+0.26,1894.425円,490回,252.40億円
7199,2019-09-30,1899,1932,14:08,1881,10:02,1919,114500株,219百万円,+9,+0.47,1913.395円,615回,253.59億円
7199,2019-10-01,1940,1980,09:02,1926,14:59,1931,113700株,222百万円,+12,+0.63,1951.216円,570回,255.17億円
7199,2019-10-02,1931,1956,13:34,1909,09:35,1937,87600株,169百万円,+6,+0.31,1934.724円,543回,255.96億円
7199,2019-10-03,1922,1945,09:05,1902,10:39,1910,76700株,147百万円,-27,-1.39,1912.727円,459回,252.40億円
7199,2019-10-04,1899,1905,09:01,1857,11:10,1892,105800株,199百万円,-18,-0.94,1884.426円,616回,250.02億円
7199,2019-10-07,1893,1905,12:34,1866,10:00,1886,62700株,118百万円,-6,-0.32,1886.399円,383回,249.23億円
7199,2019-10-08,1907,1947,14:35,1889,09:00,1940,113900株,220百万円,+54,+2.86,1931.882円,626回,256.36億円
7199,2019-10-09,1929,1930,12:46,1892,09:41,1911,75100株,144百万円,-29,-1.49,1911.419円,448回,252.53億円
7199,2019-10-10,1930,1931,09:00,1891,14:59,1894,59400株,113百万円,-17,-0.89,1901.557円,311回,250.28億円
7199,2019-10-11,1895,1907,09:17,1850,15:00,1850,129400株,241百万円,-44,-2.32,1865.995円,749回,244.47億円
7199,2019-10-15,1856,1888,09:37,1847,14:59,1851,70300株,131百万円,+1,+0.05,1860.432円,407回,244.60億円
7199,2019-10-16,1879,1894,09:13,1848,14:55,1852,66800株,125百万円,+1,+0.05,1868.811円,372回,244.73億円
7199,2019-10-17,1844,1870,14:54,1827,09:04,1861,82500株,153百万円,+9,+0.49,1853.342円,500回,245.92億円
7199,2019-10-18,1861,1889,09:20,1832,14:28,1835,72200株,134百万円,-26,-1.40,1858.005円,367回,242.49億円
7199,2019-10-21,1835,1875,10:40,1835,09:00,1864,60100株,112百万円,+29,+1.58,1861.106円,307回,246.32億円
7199,2019-10-23,1892,2024,13:12,1892,09:00,2014,333400株,659百万円,+150,+8.05,1977.969円,1634回,266.14億円
7199,2019-10-24,1996,2013,12:35,1960,09:13,2002,168800株,337百万円,-12,-0.60,1996.382円,936回,264.56億円
7199,2019-10-25,2010,2019,09:00,1966,10:59,1999,62800株,125百万円,-3,-0.15,1993.616円,309回,264.16億円
7199,2019-10-28,2000,2046,09:06,1996,09:00,2005,107400株,216百万円,+6,+0.30,2010.987円,672回,264.95億円
7199,2019-10-29,2018,2022,11:06,1986,09:02,1991,66900株,134百万円,-14,-0.70,2005.868円,395回,263.10億円
7199,2019-10-30,1990,1990,09:00,1909,12:57,1964,204000株,397百万円,-27,-1.36,1947.861円,1069回,259.54億円
7199,2019-10-31,1966,2013,13:03,1949,09:05,2005,96400株,192百万円,+41,+2.09,1994.158円,590回,264.95億円
7199,2019-11-01,1999,2003,14:34,1981,09:17,1994,35400株,71百万円,-11,-0.55,1995.517円,182回,263.50億円
7199,2019-11-05,2018,2026,09:13,1999,14:58,2000,64200株,129百万円,+6,+0.30,2011.368円,384回,264.29億円
7199,2019-11-07,1950,1960,09:42,1939,09:03,1952,50300株,98百万円,-6,-0.31,1948.147円,258回,257.95億円
7199,2019-11-08,1976,1980,09:02,1932,14:00,1932,48700株,95百万円,-20,-1.02,1946.936円,259回,255.31億円
7199,2019-11-11,1958,2015,09:28,1958,09:00,1997,89400株,178百万円,+65,+3.36,1989.156円,454回,263.90億円
7199,2019-11-12,2007,2026,10:33,2001,09:00,2012,108200株,218百万円,+15,+0.75,2012.894円,572回,265.88億円
7199,2019-11-13,2000,2016,14:41,1970,09:44,2004,92700株,185百万円,-8,-0.40,1994.851円,574回,264.82億円
7199,2019-11-14,2005,2048,14:56,1995,09:45,2043,234400株,474百万円,+39,+1.95,2021.437円,1313回,269.98億円
7199,2019-11-15,2293,2442,13:55,2239,09:21,2403,818500株,1925百万円,+360,+17.62,2351.507円,4254回,317.55億円
7199,2019-11-18,2364,2371,09:00,2257,09:33,2290,558700株,1287百万円,-113,-4.70,2304.449円,2862回,302.62億円
7199,2019-11-19,2290,2436,13:54,2289,09:00,2420,262800株,623百万円,+130,+5.68,2370.988円,1437回,319.80億円
7199,2019-11-20,2393,2540,10:10,2377,09:00,2519,203300株,508百万円,+99,+4.09,2498.815円,1160回,332.88億円
7199,2019-11-21,2443,2443,09:03,2364,10:48,2416,279000株,671百万円,-103,-4.09,2403.249円,1611回,319.27億円
7199,2019-11-22,2429,2465,09:02,2387,13:08,2416,72400株,175百万円,0,0,2422.51円,431回,319.27億円
7199,2019-11-25,2436,2504,10:36,2435,09:00,2485,96900株,240百万円,+69,+2.86,2475.94円,529回,328.39億円
7199,2019-11-26,2435,2465,09:01,2411,09:25,2426,167500株,407百万円,-59,-2.37,2429.677円,948回,320.59億円
7199,2019-11-27,2380,2394,09:00,2335,09:03,2372,214500株,506百万円,-54,-2.23,2360.839円,1328回,313.45億円
7199,2019-11-28,2355,2365,09:02,2295,13:28,2320,223400株,519百万円,-52,-2.19,2324.612円,1117回,306.58億円
7199,2019-11-29,2340,2400,09:28,2340,09:00,2388,131700株,314百万円,+68,+2.93,2380.582円,778回,315.57億円
7199,2019-12-02,2344,2356,13:17,2326,09:21,2336,127800株,299百万円,-52,-2.18,2338.534円,686回,308.70億円
7199,2019-12-03,2309,2359,13:33,2305,09:00,2350,67100株,157百万円,+14,+0.60,2341.514円,377回,310.55億円
7199,2019-12-05,2322,2337,14:02,2296,09:03,2334,190000株,439百万円,+2,+0.09,2311.848円,1018回,308.43億円
7199,2019-12-06,2321,2381,14:05,2309,09:15,2374,137700株,324百万円,+40,+1.71,2350.507円,818回,313.72億円
7199,2019-12-09,2345,2356,09:02,2300,13:51,2312,201300株,467百万円,-62,-2.61,2320.157円,1002回,305.52億円
7199,2019-12-10,2320,2400,14:43,2310,09:01,2395,130200株,309百万円,+83,+3.59,2369.516円,665回,316.49億円
7199,2019-12-13,2301,2315,09:00,2261,09:05,2270,222600株,508百万円,-28,-1.22,2280.769円,959回,299.97億円
7199,2019-12-16,2250,2286,09:22,2245,09:00,2266,113600株,258百万円,-4,-0.18,2272.245円,623回,299.45億円
7199,2019-12-17,2274,2316,12:53,2261,09:55,2290,168200株,385百万円,+24,+1.06,2289.017円,823回,302.62億円
7199,2019-12-18,2280,2290,14:56,2261,09:52,2289,153500株,350百万円,-1,-0.04,2277.599円,768回,302.48億円
7199,2019-12-19,2300,2317,14:21,2280,10:09,2307,137100株,316百万円,+18,+0.79,2304.267円,785回,304.86億円
7199,2019-12-20,2305,2367,14:57,2300,09:22,2358,129200株,302百万円,+51,+2.21,2334.425円,627回,311.60億円
7199,2019-12-23,2324,2326,09:02,2271,13:21,2279,146800株,336百万円,-79,-3.35,2286.165円,665回,301.16億円
7199,2019-12-24,2289,2344,10:47,2289,09:00,2307,113200株,262百万円,+28,+1.23,2318.583円,668回,304.86億円
7199,2019-12-25,2322,2327,13:10,2275,09:07,2318,126800株,292百万円,+11,+0.48,2303.664円,566回,306.32億円
7199,2019-12-26,2340,2364,09:09,2313,09:00,2331,117000株,273百万円,+13,+0.56,2336.727円,636回,308.03億円
7199,2019-12-27,2313,2333,09:00,2277,09:09,2321,121400株,280百万円,-10,-0.43,2305.382円,734回,306.71億円
7199,2019-12-30,2315,2373,14:42,2306,09:00,2366,112700株,264百万円,+45,+1.94,2345.327円,668回,312.66億円
7199,2020-01-06,2299,2319,09:31,2282,12:30,2299,101500株,233百万円,-67,-2.83,2298.558円,486回,303.81億円
7199,2020-01-07,2301,2370,14:31,2300,09:00,2359,112200株,263百万円,+60,+2.61,2345.522円,628回,311.73億円
7199,2020-01-08,2334,2334,09:00,2247,10:38,2275,158000株,360百万円,-84,-3.56,2279.513円,798回,300.63億円
7199,2020-01-09,2375,2385,09:08,2279,13:48,2301,162300株,378百万円,+26,+1.14,2327.004円,809回,304.07億円
7199,2020-01-10,2314,2315,09:00,2276,10:51,2288,97700株,224百万円,-13,-0.56,2292.572円,473回,302.35億円
7199,2020-01-14,2316,2320,09:02,2252,14:27,2257,96200株,219百万円,-31,-1.35,2275.735円,527回,298.26億円
7199,2020-01-15,2259,2261,09:00,2205,13:22,2218,115200株,256百万円,-39,-1.73,2225.529円,692回,293.10億円
7199,2020-01-16,2198,2198,09:00,2153,13:31,2155,119500株,259百万円,-63,-2.84,2169.247円,683回,284.78億円
7199,2020-01-17,2147,2147,09:00,2119,09:05,2140,98900株,211百万円,-15,-0.70,2136.003円,555回,282.79億円
7199,2020-01-20,2129,2161,12:30,2129,09:00,2148,140700株,302百万円,+8,+0.37,2144.748円,680回,283.90億円
7199,2020-01-21,2165,2216,10:07,2151,09:02,2162,188300株,411百万円,+14,+0.65,2184.09円,1085回,285.75億円
7199,2020-01-22,2170,2269,13:58,2170,09:00,2262,193800株,433百万円,+100,+4.63,2232.718円,1063回,298.97億円
7199,2020-01-23,2226,2267,09:02,2225,09:00,2236,131900株,296百万円,-26,-1.15,2247.211円,813回,295.53億円
7199,2020-01-24,2233,2247,09:02,2159,10:50,2164,152700株,334百万円,-72,-3.22,2184.572円,774回,286.02億円
7199,2020-01-27,2117,2138,09:00,2079,14:59,2083,133900株,281百万円,-81,-3.74,2097.783円,621回,275.31億円
7199,2020-01-28,2043,2096,14:38,2003,09:00,2093,142600株,294百万円,+10,+0.48,2061.891円,684回,276.63億円
7199,2020-01-29,2108,2128,09:00,2072,15:00,2072,127200株,266百万円,-21,-1.00,2091.13円,692回,274億円
7199,2020-01-30,2064,2085,09:07,2001,12:33,2026,156700株,318百万円,-46,-2.22,2026.637円,754回,268億円
7199,2020-01-31,2038,2099,09:02,2038,09:00,2059,115600株,240百万円,+33,+1.63,2072.086円,645回,272億円
7199,2020-02-03,1993,2031,11:25,1984,09:03,2008,112200株,225百万円,-51,-2.48,2007.199円,586回,265億円
7199,2020-02-04,2019,2079,14:40,2004,09:17,2070,99800株,205百万円,+62,+3.09,2049.61円,612回,274億円
