8198,2019-08-30,1904,1935,14:19,1904,09:00,1930,4800株,9百万円,+27,+1.42,1919.812円,36回
8198,2019-09-02,1946,1970,13:23,1935,09:08,1966,13100株,26百万円,+36,+1.87,1948.458円,81回
8198,2019-09-03,1979,1979,09:00,1947,09:40,1961,11800株,23百万円,-5,-0.25,1958.593円,79回
8198,2019-09-03,1967,1974,14:44,1958,09:17,1967,7900株,16百万円,+6,+0.31,1966.279円,50回
8198,2019-09-05,1980,1980,09:00,1970,09:28,1972,6800株,13百万円,+5,+0.25,1974円,46回
8198,2019-09-05,1972,1975,11:20,1965,09:45,1973,8600株,17百万円,+1,+0.05,1972.244円,53回
8198,2019-09-07,1975,1982,12:33,1971,09:00,1980,7600株,15百万円,+7,+0.35,1978.5円,46回
8198,2019-09-10,1976,1982,12:51,1975,09:23,1978,7800株,15百万円,-2,-0.10,1978.256円,45回
8198,2019-09-11,1978,1980,09:12,1956,11:13,1968,10600株,21百万円,-10,-0.51,1969.387円,70回
8198,2019-09-12,1976,1977,09:28,1954,13:15,1961,9700株,19百万円,-7,-0.36,1964.67円,71回
8198,2019-09-13,1970,1970,09:00,1962,09:00,1966,4100株,8百万円,+5,+0.25,1966.317円,33回
8198,2019-09-17,1970,1975,09:53,1961,14:35,1962,12100株,24百万円,-4,-0.20,1967.107円,60回
8198,2019-09-17,1964,1969,09:35,1950,09:35,1957,13100株,26百万円,-5,-0.25,1958.084円,71回,713.68億円
8198,2019-09-19,1969,1969,09:00,1955,10:27,1957,9500株,19百万円,0,0,1959.968円,53回,713.79億円
8198,2019-09-20,1957,1960,09:00,1940,14:10,1945,15100株,29百万円,-12,-0.61,1947.662円,100回,709.42億円
8198,2019-09-24,1945,1961,13:26,1942,09:15,1957,10500株,20百万円,+12,+0.62,1950.4円,65回,713.79億円
8198,2019-09-25,1958,1967,13:48,1958,09:00,1964,8300株,16百万円,+7,+0.36,1962.482円,50回,716.35億円
8198,2019-09-26,1969,1970,10:02,1964,13:51,1969,7200株,14百万円,+5,+0.25,1968.25円,42回,718.17億円
8198,2019-09-27,1980,1980,09:00,1972,14:02,1977,10700株,21百万円,+8,+0.41,1977.187円,52回,721.09億円
8198,2019-09-30,1961,1980,15:00,1961,09:00,1980,10300株,20百万円,+3,+0.15,1970.194円,45回,722.18億円
8198,2019-10-01,1980,2020,11:02,1979,09:00,2007,16800株,34百万円,+27,+1.36,1996.798円,110回,732.03億円
8198,2019-10-02,2001,2008,14:46,1992,09:34,2006,11300株,23百万円,-1,-0.05,2000.788円,59回,731.67億円
8198,2019-10-03,2003,2004,14:36,1995,09:41,2000,5800株,12百万円,-6,-0.30,2000.034円,40回,729.48億円
8198,2019-10-04,1993,2005,10:38,1993,09:00,2001,6000株,12百万円,+1,+0.05,1999.35円,30回,729.84億円
8198,2019-10-07,2010,2026,12:43,2008,09:34,2019,8300株,17百万円,+18,+0.90,2014.675円,52回,736.41億円
8198,2019-10-08,2016,2027,13:45,2016,09:00,2025,4800株,10百万円,+6,+0.30,2022.917円,33回,738.60億円
8198,2019-10-09,2029,2049,13:41,2029,09:00,2048,9900株,20百万円,+23,+1.14,2039.172円,72回,746.98億円
8198,2019-10-10,2041,2076,13:36,2041,09:00,2070,17100株,35百万円,+22,+1.07,2060.901円,123回,755.01億円
8198,2019-10-11,2071,2119,14:40,2071,09:00,2115,16600株,35百万円,+45,+2.17,2092.735円,124回,771.42億円
8198,2019-10-15,2106,2150,14:59,2106,09:00,2144,19100株,41百万円,+29,+1.37,2134円,114回,782.00億円
8198,2019-10-16,2135,2145,10:13,2110,14:39,2119,16000株,34百万円,-25,-1.17,2131.219円,100回,772.88億円
8198,2019-10-17,2155,2198,09:01,2141,09:15,2185,35100株,76百万円,+66,+3.11,2168.923円,233回,796.95億円
8198,2019-10-18,2179,2188,09:08,2151,10:46,2168,17800株,39百万円,-17,-0.78,2168.837円,117回,790.75億円
8198,2019-10-21,2161,2183,09:34,2154,10:41,2162,14000株,30百万円,-6,-0.28,2163.043円,85回,788.56億円
8198,2019-10-23,2162,2163,09:03,2146,10:06,2151,12800株,28百万円,-11,-0.51,2155.766円,77回,784.55億円
8198,2019-10-24,2151,2159,11:11,2132,14:46,2138,13300株,29百万円,-13,-0.60,2147.947円,90回,779.81億円
8198,2019-10-25,2149,2154,13:09,2143,09:49,2152,11200株,24百万円,+14,+0.65,2148.982円,72回,784.92億円
8198,2019-10-28,2185,2185,09:00,2152,09:42,2162,15200株,33百万円,+10,+0.46,2174.954円,67回,788.56億円
8198,2019-10-29,2169,2170,14:42,2160,12:30,2163,12000株,26百万円,+1,+0.05,2166.075円,73回,788.93億円
8198,2019-10-30,2163,2186,10:23,2163,09:00,2181,14400株,31百万円,+18,+0.83,2179.049円,97回,795.49億円
