3386,2019-08-30,1039,1066,14:58,1039,09:00,1060,7800株,8百万円,+27,+2.61,1052.808円,44回
3386,2019-09-02,1068,1075,10:52,1060,09:41,1062,8500株,9百万円,+2,+0.19,1068.8円,43回
3386,2019-09-03,1079,1085,12:56,1066,09:04,1077,11900株,13百万円,+15,+1.41,1077.563円,66回
3386,2019-09-03,1067,1070,10:11,1061,09:57,1065,7800株,8百万円,-12,-1.11,1066.59円,49回
3386,2019-09-05,1063,1082,09:14,1063,09:00,1082,17900株,19百万円,+17,+1.60,1073.933円,89回
3386,2019-09-05,1082,1105,13:35,1078,09:24,1097,31100株,34百万円,+15,+1.39,1095.334円,152回
3386,2019-09-07,1105,1112,09:24,1096,13:55,1101,16700株,18百万円,+4,+0.36,1103.868円,97回
3386,2019-09-10,1104,1104,09:00,1084,14:55,1090,17000株,19百万円,-11,-1.00,1092.312円,104回
3386,2019-09-11,1098,1100,14:20,1077,10:19,1092,9800株,11百万円,+2,+0.18,1089.816円,72回
3386,2019-09-12,1093,1099,09:06,1074,14:59,1076,9400株,10百万円,-16,-1.47,1084.617円,57回
3386,2019-09-13,1104,1104,09:00,1080,09:52,1092,25500株,28百万円,+16,+1.49,1093.125円,117回
3386,2019-09-17,1085,1096,09:31,1079,09:01,1091,8200株,9百万円,-1,-0.09,1089.561円,59回
3386,2019-09-17,1086,1098,14:14,1080,12:51,1081,14800株,16百万円,-10,-0.92,1088.23円,77回,65.38億円
3386,2019-09-19,1076,1100,09:25,1076,09:00,1082,17700株,19百万円,+1,+0.09,1085.695円,107回,65.44億円
3386,2019-09-20,1086,1106,10:36,1083,09:06,1101,21400株,24百万円,+19,+1.76,1098.36円,109回,66.59億円
3386,2019-09-24,1104,1119,10:29,1100,09:16,1106,32900株,36百万円,+5,+0.45,1106.705円,161回,66.89億円
3386,2019-09-25,1102,1180,12:33,1101,09:24,1138,102400株,117百万円,+32,+2.89,1144.39円,455回,68.83億円
3386,2019-09-26,1155,1166,09:38,1130,13:21,1145,51100株,59百万円,+7,+0.62,1148.096円,252回,69.25億円
3386,2019-09-27,1138,1151,13:06,1102,11:07,1139,47900株,54百万円,-6,-0.52,1129.491円,296回,68.89億円
3386,2019-09-30,1155,1185,09:16,1155,09:00,1173,55700株,65百万円,+34,+2.99,1170.479円,268回,70.94億円
3386,2019-10-01,1185,1185,09:00,1165,11:07,1176,35900株,42百万円,+3,+0.26,1174.95円,152回,71.12億円
3386,2019-10-02,1166,1171,10:46,1158,13:17,1163,16700株,19百万円,-13,-1.11,1165.084円,90回,70.34億円
