6757,2019-08-30,745,754,09:29,745,09:00,749,2800株,2百万円,-11,-1.45,746.679円,4回
6757,2019-09-02,755,755,09:00,748,11:22,749,6400株,5百万円,0,0,751.984円,7回
6757,2019-09-03,750,755,09:42,748,14:29,752,2700株,2百万円,+3,+0.40,754円,7回
6757,2019-09-03,751,759,10:06,751,09:10,759,2200株,2百万円,+7,+0.93,754.909円,5回
6757,2019-09-05,765,768,12:41,759,14:55,759,2100株,2百万円,0,0,763.429円,9回
6757,2019-09-05,757,766,09:25,757,09:00,765,1500株,1百万円,+6,+0.79,761.067円,4回
6757,2019-09-07,766,772,10:03,764,15:00,764,2500株,2百万円,-1,-0.13,768.32円,11回
6757,2019-09-10,884,914,09:22,884,09:21,914,175500株,159百万円,+150,+19.63,908.442円,118回
6757,2019-09-11,959,1024,09:07,906,13:03,928,393100株,376百万円,+14,+1.53,957.76円,1278回
6757,2019-09-12,943,999,09:03,900,10:10,930,77100株,73百万円,+2,+0.22,942.628円,357回
6757,2019-09-13,936,944,09:00,914,09:26,932,42500株,39百万円,+2,+0.22,924.419円,111回
6757,2019-09-17,950,1082,10:32,950,09:03,1081,335200株,353百万円,+149,+15.99,1051.72円,1336回
6757,2019-09-17,1051,1200,14:59,1027,09:22,1200,213100株,240百万円,+119,+11.01,1124.157円,909回,66.00億円
6757,2019-09-19,1200,1280,14:22,1164,09:01,1279,124800株,153百万円,+79,+6.58,1223.251円,568回,70.34億円
6757,2019-09-20,1250,1250,09:00,1175,09:46,1228,90000株,109百万円,-51,-3.99,1205.672円,404回,67.54億円
6757,2019-09-24,1198,1386,10:56,1198,09:02,1349,134000株,174百万円,+121,+9.85,1300.408円,555回,74.20億円
6757,2019-09-25,1294,1325,11:24,1272,14:59,1275,58900株,76百万円,-74,-5.49,1287.457円,217回,70.12億円
6757,2019-09-26,1250,1277,10:18,1228,09:00,1276,41300株,52百万円,+1,+0.08,1248.7円,217回,70.18億円
6757,2019-09-27,1275,1275,09:00,1222,14:14,1225,28400株,35百万円,-51,-4.00,1247.433円,100回,67.38億円
