5410,2019-08-30,2012,2059,14:58,2012,09:00,2058,97000株,198百万円,+63,+3.16,2037.59円,438回
5410,2019-09-02,2045,2092,12:37,2032,09:00,2071,86500株,179百万円,+13,+0.63,2073.508円,414回
5410,2019-09-03,2071,2080,12:38,2054,09:00,2061,38500株,80百万円,-10,-0.48,2069.348円,210回
5410,2019-09-03,2061,2084,13:58,2053,09:51,2079,42400株,88百万円,+18,+0.87,2073.559円,203回
5410,2019-09-05,2089,2136,11:13,2089,09:00,2133,104000株,221百万円,+54,+2.60,2121.807円,410回
5410,2019-09-05,2134,2145,09:03,2100,14:34,2101,50900株,108百万円,-32,-1.50,2112.945円,285回
5410,2019-09-07,2101,2138,13:56,2101,09:00,2137,47700株,101百万円,+36,+1.71,2127.868円,202回
5410,2019-09-10,2150,2191,13:09,2150,09:00,2178,108800株,236百万円,+41,+1.92,2171.532円,481回
5410,2019-09-11,2195,2205,09:01,2172,14:56,2180,89900株,196百万円,+2,+0.09,2184.593円,442回
5410,2019-09-12,2201,2250,09:04,2201,09:00,2226,126800株,283百万円,+46,+2.11,2230.34円,630回
5410,2019-09-13,2247,2259,13:38,2216,09:14,2256,92600株,208百万円,+30,+1.35,2246.874円,392回
5410,2019-09-17,2248,2296,10:54,2232,09:22,2287,159300株,362百万円,+31,+1.37,2270.792円,864回
5410,2019-09-17,2299,2325,09:05,2227,13:42,2241,140100株,316百万円,-46,-2.01,2257.138円,744回,384.22億円
5410,2019-09-19,2250,2279,09:36,2236,12:43,2237,78200株,176百万円,-4,-0.18,2252.169円,446回,383.54億円
5410,2019-09-20,2253,2255,09:00,2215,09:01,2243,84300株,188百万円,+6,+0.27,2234.402円,450回,384.57億円
5410,2019-09-24,2263,2315,10:26,2236,09:02,2277,115600株,264百万円,+34,+1.52,2284.288円,545回,390.40億円
5410,2019-09-25,2247,2283,14:40,2221,09:01,2281,120000株,271百万円,+4,+0.18,2262.37円,598回,391.08億円
5410,2019-09-26,2286,2308,10:31,2242,14:59,2251,175600株,400百万円,-30,-1.32,2277.762円,940回,385.94億円
5410,2019-09-27,2219,2226,09:15,2159,14:11,2199,108700株,238百万円,-52,-2.31,2190.071円,555回,377.02億円
5410,2019-09-30,2170,2176,09:19,2105,14:03,2118,114300株,244百万円,-81,-3.68,2133.577円,591回,363.14億円
5410,2019-10-01,2106,2156,10:54,2106,09:00,2129,71700株,153百万円,+11,+0.52,2130.703円,321回,365.02億円
5410,2019-10-02,2110,2136,13:21,2097,09:00,2133,51300株,109百万円,+4,+0.19,2124.378円,289回,365.71億円
5410,2019-10-03,2095,2098,09:00,2067,13:29,2079,68100株,142百万円,-54,-2.53,2078.222円,337回,356.45億円
5410,2019-10-04,2072,2085,14:44,2056,09:33,2076,67400株,140百万円,-3,-0.14,2071.506円,353回,355.93億円
5410,2019-10-07,2099,2103,09:01,2063,14:29,2076,46000株,95百万円,0,0,2075.83円,250回,355.93億円
5410,2019-10-08,2099,2130,09:29,2093,09:01,2123,78600株,166百万円,+47,+2.26,2117.9円,368回,363.99億円
5410,2019-10-09,2115,2179,12:30,2110,09:00,2172,114800株,248百万円,+49,+2.31,2159.192円,609回,372.39億円
5410,2019-10-10,2184,2200,09:00,2161,09:36,2182,117100株,255百万円,+10,+0.46,2181.182円,604回,374.11億円
5410,2019-10-11,2202,2233,14:41,2166,10:28,2229,103600株,229百万円,+47,+2.15,2208.2円,458回,382.17億円
5410,2019-10-15,2254,2275,09:06,2236,09:38,2252,77800株,175百万円,+23,+1.03,2253.058円,418回,386.11億円
5410,2019-10-16,2278,2335,09:35,2276,12:33,2294,131300株,303百万円,+42,+1.87,2305.293円,630回,393.31億円
5410,2019-10-17,2301,2326,09:01,2291,09:36,2294,76700株,176百万円,0,0,2300.207円,448回,393.31億円
5410,2019-10-18,2309,2318,09:04,2286,13:13,2301,64800株,149百万円,+7,+0.31,2298.489円,360回,394.51億円
