7966,2019-09-06,2057,2065,09:04,2044,14:58,2046,100200株,205百万円,-5,-0.24,2050.592円,494回
7966,2019-09-07,2050,2070,13:55,2033,09:10,2069,192500株,396百万円,+23,+1.12,2058.47円,845回
7966,2019-09-10,2100,2124,10:37,2095,09:30,2117,140800株,297百万円,+48,+2.32,2111.807円,675回
7966,2019-09-11,2134,2141,09:38,2122,10:24,2137,163400株,348百万円,+20,+0.94,2132.17円,712回
7966,2019-09-12,2157,2187,14:37,2141,09:13,2174,168100株,365百万円,+37,+1.73,2172.561円,681回
7966,2019-09-13,2185,2193,13:46,2155,09:14,2187,214200株,467百万円,+13,+0.60,2181.198円,650回
7966,2019-09-17,2165,2165,09:00,2134,09:05,2140,242800株,520百万円,-47,-2.15,2141.609円,871回
7966,2019-09-17,2153,2167,09:44,2129,12:43,2148,244700株,526百万円,+8,+0.37,2149.079円,1041回,1645.39億円
7966,2019-09-19,2164,2203,11:13,2135,14:59,2138,260700株,563百万円,-10,-0.47,2158.202円,1154回,1637.73億円
7966,2019-09-20,2188,2188,09:00,2141,13:05,2158,257400株,555百万円,+20,+0.94,2155.793円,876回,1653.05億円
7966,2019-09-24,2177,2203,09:50,2172,14:42,2175,127200株,278百万円,+17,+0.79,2183.754円,542回,1666.07億円
7966,2019-09-25,2141,2187,14:40,2136,09:00,2179,165500株,359百万円,+4,+0.18,2170.851円,724回,1669.13億円
7966,2019-09-26,2219,2230,10:49,2197,14:51,2206,161400株,357百万円,+27,+1.24,2213.566円,809回,1689.82億円
7966,2019-09-27,2180,2189,09:00,2116,13:54,2142,149800株,320百万円,-64,-2.90,2136.087円,764回,1640.79億円
7966,2019-09-30,2138,2155,10:09,2118,09:38,2137,146100株,312百万円,-5,-0.23,2135.141円,612回,1636.96億円
7966,2019-10-01,2139,2183,12:46,2139,09:00,2180,133700株,290百万円,+43,+2.01,2168.992円,669回,1669.90億円
7966,2019-10-02,2167,2169,09:36,2144,11:23,2160,141400株,305百万円,-20,-0.92,2160.158円,713回,1654.58億円
7966,2019-10-03,2130,2145,09:22,2113,10:54,2134,117700株,251百万円,-26,-1.20,2130.929円,686回,1634.66億円
7966,2019-10-04,2126,2140,14:58,2105,11:08,2135,105700株,225百万円,+1,+0.05,2127.415円,605回,1635.43億円
7966,2019-10-07,2135,2142,09:01,2112,11:26,2141,129900株,277百万円,+6,+0.28,2131.341円,628回,1640.03億円
7966,2019-10-08,2143,2167,09:14,2137,10:45,2150,121100株,260百万円,+9,+0.42,2149.133円,640回,1646.92億円
7966,2019-10-09,2118,2134,15:00,2106,09:23,2134,248600株,528百万円,-16,-0.74,2123.471円,1223回,1634.66億円
7966,2019-10-10,2133,2140,09:02,2100,09:40,2128,174000株,369百万円,-6,-0.28,2120.771円,789回,1630.07億円
7966,2019-10-11,2150,2186,13:01,2134,09:12,2173,144300株,313百万円,+45,+2.11,2166.912円,717回,1664.54億円
7966,2019-10-15,2223,2261,12:46,2212,09:19,2242,218600株,490百万円,+69,+3.18,2242.478円,950回,1717.39億円
7966,2019-10-16,2292,2329,09:50,2234,13:45,2249,358200株,818百万円,+7,+0.31,2283.732円,1689回,1722.76億円
7966,2019-10-17,2251,2254,09:02,2224,09:40,2226,116200株,260百万円,-23,-1.02,2233.821円,576回,1705.14億円
7966,2019-10-18,2233,2287,10:16,2233,09:00,2256,187900株,426百万円,+30,+1.35,2266.093円,931回,1728.12億円
