1739,2019-08-30,619,647,10:07,619,09:00,646,4500株,3百万円,+27,+4.36,638.733円,16回
1739,2019-09-02,646,646,09:00,638,14:59,643,8200株,5百万円,-3,-0.46,644.634円,22回
1739,2019-09-03,647,652,09:34,627,09:28,630,3800株,2百万円,-13,-2.02,635.921円,21回
1739,2019-09-03,640,647,14:59,631,10:02,647,6000株,4百万円,+17,+2.70,636.117円,10回
1739,2019-09-05,643,645,15:00,640,12:35,645,600株,－百万円,-2,-0.31,642.167円,6回
1739,2019-09-05,646,649,14:14,632,13:29,642,1100株,1百万円,-3,-0.47,642.727円,11回
1739,2019-09-07,652,652,09:02,642,09:51,650,8000株,5百万円,+8,+1.25,650.487円,15回
1739,2019-09-10,659,659,09:00,654,12:49,654,700株,－百万円,+4,+0.62,655.429円,3回
1739,2019-09-11,652,660,10:56,640,10:52,650,3400株,2百万円,-4,-0.61,651.471円,10回
1739,2019-09-12,650,671,13:58,649,10:52,663,5500株,4百万円,+13,+2.00,655.291円,26回
1739,2019-09-13,673,674,14:29,662,10:24,672,8600株,6百万円,+9,+1.36,671円,20回
1739,2019-09-17,672,687,14:29,672,09:00,687,1900株,1百万円,+15,+2.23,679.579円,13回
1739,2019-09-17,687,687,09:00,676,13:31,679,2100株,1百万円,-8,-1.16,679.381円,8回,43.83億円
1739,2019-09-19,679,687,11:03,679,09:00,684,3800株,3百万円,+5,+0.74,681.211円,18回,44.15億円
1739,2019-09-20,684,688,09:53,680,11:22,687,3500株,2百万円,+3,+0.44,683.686円,22回,44.34億円
1739,2019-09-24,685,699,15:00,680,09:06,699,3600株,2百万円,+12,+1.75,688.278円,21回,45.12億円
1739,2019-09-25,719,733,09:06,702,12:42,713,15200株,11百万円,+14,+2.00,719.77円,40回,46.02億円
1739,2019-09-26,715,719,12:30,713,09:50,717,1000株,1百万円,+4,+0.56,715.4円,6回,46.28億円
1739,2019-09-27,720,720,09:00,702,14:58,702,1300株,1百万円,-15,-2.09,709.692円,11回,45.31億円
1739,2019-09-30,703,709,09:13,693,15:00,693,12600株,9百万円,-9,-1.28,702.881円,15回,44.73億円
1739,2019-10-01,692,705,15:00,680,12:46,705,3600株,2百万円,+12,+1.73,688.833円,26回,45.50億円
1739,2019-10-02,705,705,09:00,704,13:43,705,900株,1百万円,0,0,704.778円,4回,45.50億円
