1960,2019-08-30,670,679,12:30,670,09:00,677,22300株,15百万円,+8,+1.20,676.969円,16回
1960,2019-09-02,676,677,13:33,670,11:00,677,4300株,3百万円,0,0,673.907円,11回
1960,2019-09-03,670,675,12:35,670,09:00,670,1900株,1百万円,-7,-1.03,672.105円,8回
1960,2019-09-03,672,676,14:25,672,10:34,676,1100株,1百万円,+6,+0.90,674.091円,9回
1960,2019-09-05,676,676,09:00,670,14:15,675,1900株,1百万円,-1,-0.15,672.053円,10回
1960,2019-09-05,672,673,09:34,672,09:00,672,300株,－百万円,-3,-0.44,672.333円,3回
1960,2019-09-07,673,677,12:44,673,09:00,677,3400株,2百万円,+5,+0.74,675.706円,12回
1960,2019-09-10,677,677,09:00,671,11:28,677,1500株,1百万円,0,0,676.333円,8回
1960,2019-09-11,681,681,09:56,678,14:51,679,1100株,1百万円,+2,+0.30,679.636円,7回
1960,2019-09-12,681,691,13:36,680,09:15,688,8400株,6百万円,+9,+1.33,688.429円,15回
1960,2019-09-13,691,757,15:00,691,09:00,757,901100株,624百万円,+69,+10.03,691.995円,64回
1960,2019-09-17,730,731,09:05,691,15:00,691,29600株,21百万円,-66,-8.72,716.828円,70回
1960,2019-09-17,684,710,12:36,684,09:00,710,12000株,8百万円,+19,+2.75,700.85円,52回,127.80億円
1960,2019-09-19,701,703,09:00,690,14:30,692,12600株,9百万円,-18,-2.54,693.683円,21回,124.56億円
1960,2019-09-20,702,740,15:00,701,09:05,740,58700株,42百万円,+48,+6.94,717.254円,92回,133.20億円
1960,2019-09-24,736,736,09:00,720,09:19,721,6100株,4百万円,-19,-2.57,724.639円,31回,129.78億円
1960,2019-09-25,711,749,15:00,711,09:00,749,5400株,4百万円,+28,+3.88,723.741円,17回,134.82億円
1960,2019-09-26,748,748,09:00,718,09:02,733,9300株,7百万円,-16,-2.14,734.774円,41回,131.94億円
1960,2019-09-27,734,742,13:16,725,09:11,736,7800株,6百万円,+3,+0.41,733.538円,31回,132.48億円
1960,2019-09-30,734,737,09:19,731,10:17,736,1000株,1百万円,0,0,734.7円,10回,132.48億円
1960,2019-10-01,743,746,12:45,725,09:25,742,5200株,4百万円,+6,+0.82,739.404円,14回,133.56億円
1960,2019-10-02,733,758,09:39,733,09:00,755,5400株,4百万円,+13,+1.75,746.981円,18回,135.90億円
1960,2019-10-03,740,755,10:38,735,14:47,735,3000株,2百万円,-20,-2.65,741.067円,21回,132.30億円
1960,2019-10-04,750,751,11:13,739,12:30,746,600株,－百万円,+11,+1.50,747.667円,5回,134.28億円
1960,2019-10-07,738,748,11:15,735,14:17,735,5900株,4百万円,-11,-1.47,738.356円,29回,132.30億円
1960,2019-10-08,720,726,09:21,704,09:05,720,12900株,9百万円,-15,-2.04,718.643円,44回,129.60億円
1960,2019-10-09,728,729,11:06,710,10:27,717,7100株,5百万円,-3,-0.42,715.789円,29回,129.06億円
1960,2019-10-10,717,731,14:32,717,09:00,731,700株,1百万円,+14,+1.95,722円,4回,131.58億円
1960,2019-10-11,744,744,09:00,725,09:40,740,1100株,1百万円,+9,+1.23,733.454円,7回,133.20億円
1960,2019-10-15,740,749,09:32,721,10:45,734,5700株,4百万円,-6,-0.81,735.404円,32回,132.12億円
1960,2019-10-16,721,730,14:10,700,09:23,729,17400株,13百万円,-5,-0.68,720.27円,51回,131.22億円
1960,2019-10-17,724,735,15:00,724,09:00,735,600株,－百万円,+6,+0.82,729.833円,5回,132.30億円
1960,2019-10-18,731,731,09:00,726,11:17,729,1300株,1百万円,-6,-0.82,728.769円,8回,131.22億円
1960,2019-10-21,742,742,09:00,725,09:29,736,13800株,10百万円,+7,+0.96,739.036円,18回,132.48億円
1960,2019-10-23,738,745,14:48,737,14:39,745,3700株,3百万円,+9,+1.22,740.946円,18回,134.10億円
1960,2019-10-24,744,762,14:28,740,09:48,754,23000株,17百万円,+9,+1.21,756.048円,61回,135.72億円
1960,2019-10-25,750,759,10:07,750,09:00,758,8900株,7百万円,+4,+0.53,753.405円,24回,136.44億円
1960,2019-10-28,765,769,10:46,760,15:00,760,12000株,9百万円,+2,+0.26,764.558円,13回,136.80億円
1960,2019-10-29,725,734,12:52,715,09:51,723,11600株,8百万円,-37,-4.87,724.405円,37回,130.14億円
1960,2019-10-30,723,735,14:28,722,09:45,729,23800株,17百万円,+6,+0.83,727.408円,19回,131.22億円
1960,2019-10-31,734,739,13:36,732,14:09,734,2100株,2百万円,+5,+0.69,734.857円,17回,132.12億円
1960,2019-11-01,726,731,12:30,726,09:00,728,4200株,3百万円,-6,-0.82,726.786円,12回,131.04億円
1960,2019-11-05,734,736,12:57,728,10:46,732,3200株,2百万円,+4,+0.55,731.406円,19回,131.76億円
1960,2019-11-07,734,737,15:00,728,10:02,737,11500株,8百万円,+9,+1.24,733.939円,15回,132.66億円
1960,2019-11-08,730,736,14:22,730,09:28,731,3100株,2百万円,-6,-0.81,731.065円,7回,131.58億円
1960,2019-11-11,728,738,11:17,728,09:00,737,1900株,1百万円,+6,+0.82,736.579円,13回,132.66億円
1960,2019-11-12,736,738,10:29,725,10:41,735,7000株,5百万円,-2,-0.27,731.343円,39回,132.30億円
1960,2019-11-13,731,734,13:41,731,09:00,731,2000株,1百万円,-4,-0.54,732円,13回,131.58億円
1960,2019-11-14,729,735,13:59,724,10:07,729,4100株,3百万円,-2,-0.27,728.585円,31回,131.22億円
1960,2019-11-15,726,729,14:57,726,10:17,726,2400株,2百万円,-3,-0.41,726.625円,5回,130.68億円
1960,2019-11-18,730,730,09:00,730,09:00,730,1500株,1百万円,+4,+0.55,730円,3回,131.40億円
1960,2019-11-19,723,731,11:25,720,09:20,730,8000株,6百万円,0,0,725.638円,14回,131.40億円
1960,2019-11-20,725,727,10:49,716,09:48,727,17300株,12百万円,-3,-0.41,721.382円,25回,130.86億円
1960,2019-11-21,727,727,09:00,722,15:00,722,2700株,2百万円,-5,-0.69,723.963円,8回,129.96億円
1960,2019-11-22,720,722,10:31,720,09:50,722,300株,－百万円,0,0,720.667円,2回,129.96億円
1960,2019-11-25,710,729,15:00,710,10:26,729,11200株,8百万円,+7,+0.97,714.973円,20回,131.22億円
1960,2019-11-26,727,727,09:00,716,10:47,716,3300株,2百万円,-13,-1.78,724.424円,9回,128.88億円
1960,2019-11-27,724,724,09:00,714,13:03,714,700株,1百万円,-2,-0.28,715.857円,3回,128.52億円
1960,2019-11-28,715,721,13:05,715,09:00,721,2100株,2百万円,+7,+0.98,719.095円,6回,129.78億円
1960,2019-11-29,720,724,15:00,720,09:00,724,22200株,16百万円,+3,+0.42,720.225円,7回,130.32億円
1960,2019-12-02,725,725,09:00,716,14:59,719,2200株,2百万円,-5,-0.69,723.409円,6回,129.42億円
1960,2019-12-03,715,718,14:57,715,09:00,718,700株,1百万円,-1,-0.14,715.429円,3回,129.24億円
1960,2019-12-05,721,723,10:55,721,09:31,721,1000株,1百万円,+7,+0.98,722円,7回,129.78億円
1960,2019-12-06,722,723,12:30,716,13:32,723,21500株,16百万円,+2,+0.28,722.953円,10回,130.14億円
1960,2019-12-09,723,724,11:14,717,13:57,719,1100株,1百万円,-4,-0.55,721.364円,8回,129.42億円
1960,2019-12-10,722,722,09:24,718,12:50,722,500株,－百万円,+3,+0.42,721.2円,4回,129.96億円
1960,2019-12-13,715,722,13:29,715,09:00,722,5500株,4百万円,0,0,720.618円,15回,129.96億円
1960,2019-12-16,720,723,10:52,720,09:00,723,6000株,4百万円,+1,+0.14,720.15円,5回,130.14億円
1960,2019-12-17,723,723,09:00,720,10:21,723,1100株,1百万円,0,0,721.909円,5回,130.14億円
