4565,2019-08-30,2247,2308,12:55,2179,09:07,2282,2769100株,6241百万円,+56,+2.52,2253.774円,6878回
4565,2019-09-02,2270,2335,13:16,2242,09:01,2317,1475300株,3392百万円,+35,+1.53,2299.324円,4058回
4565,2019-09-03,2317,2349,09:51,2288,12:52,2305,1363000株,3152百万円,-12,-0.52,2312.448円,3650回
4565,2019-09-03,2307,2329,09:05,2263,13:28,2267,1520000株,3474百万円,-38,-1.65,2285.618円,3651回
4565,2019-09-05,2288,2315,13:06,2255,10:38,2307,1682900株,3856百万円,+40,+1.76,2291.296円,4017回
4565,2019-09-05,2326,2368,10:08,2307,09:09,2335,1700400株,3970百万円,+28,+1.21,2335.016円,3991回
4565,2019-09-07,2312,2328,09:17,2280,12:44,2286,1579300株,3625百万円,-49,-2.10,2295.153円,3948回
4565,2019-09-10,2286,2337,10:44,2281,09:05,2302,1409800株,3255百万円,+16,+0.70,2308.629円,3394回
4565,2019-09-11,2300,2359,13:33,2270,09:15,2341,1943200株,4508百万円,+39,+1.69,2319.961円,4708回
4565,2019-09-12,2363,2386,09:08,2252,14:52,2254,2619200株,6006百万円,-87,-3.72,2292.938円,6251回
4565,2019-09-13,2268,2282,09:03,2207,13:32,2226,1950000株,4363百万円,-28,-1.24,2237.387円,5340回
4565,2019-09-17,2219,2240,10:37,2088,09:04,2213,1970500株,4349百万円,-13,-0.58,2207.266円,5141回
4565,2019-09-17,2210,2253,09:31,2181,12:31,2220,1479500株,3287百万円,+7,+0.32,2221.436円,4380回,1698.30億円
4565,2019-09-19,2233,2312,09:33,2220,09:01,2250,1565300株,3547百万円,+30,+1.35,2265.761円,4101回,1721.25億円
4565,2019-09-20,2260,2390,13:07,2260,09:00,2335,2685200株,6272百万円,+85,+3.78,2335.752円,5801回,1797.66億円
4565,2019-09-24,2341,2529,12:54,2341,09:00,2489,3986300株,9876百万円,+154,+6.60,2477.511円,9549回,1916.22億円
4565,2019-09-25,2489,2523,09:02,2410,10:16,2474,2244600株,5515百万円,-15,-0.60,2456.911円,5822回,1904.67億円
4565,2019-09-26,2499,2525,12:40,2451,09:09,2495,1638500株,4084百万円,+21,+0.85,2492.231円,4004回,1920.84億円
4565,2019-09-27,2494,2535,09:05,2432,10:27,2459,1806400株,4467百万円,-36,-1.44,2472.631円,4673回,1893.12億円
