1795,2019-08-30,3030,3030,10:45,3030,10:45,3030,200株,1百万円,-20,-0.66,3030円,2回
1795,2019-09-02,3035,3055,14:44,3020,11:05,3040,900株,3百万円,+10,+0.33,3032.778円,5回
1795,2019-09-03,3040,3040,10:47,3020,14:16,3020,400株,1百万円,-20,-0.66,3030円,4回
1795,2019-09-03,3040,3050,14:44,3040,09:58,3045,400株,1百万円,+25,+0.83,3045円,4回
1795,2019-09-05,3060,3060,09:00,3060,09:00,3060,200株,1百万円,+15,+0.49,3060円,1回
1795,2019-09-05,3030,3030,14:03,3030,14:03,3030,100株,－百万円,-30,-0.98,3030円,1回
1795,2019-09-07,3045,3045,12:30,3005,14:51,3005,600株,2百万円,-25,-0.83,3016.667円,5回
1795,2019-09-10,3095,3095,09:24,3065,12:30,3065,1000株,3百万円,+60,+2.00,3089円,3回
1795,2019-09-11,3065,3095,12:55,3040,09:54,3095,700株,2百万円,+30,+0.98,3077.857円,5回
1795,2019-09-12,3070,3130,09:01,3070,09:00,3125,500株,2百万円,+30,+0.97,3105円,3回
1795,2019-09-13,3110,3140,14:21,3110,09:25,3140,800株,2百万円,+15,+0.48,3123.125円,7回
1795,2019-09-17,3155,3200,15:00,3155,09:00,3200,1700株,5百万円,+60,+1.91,3162.353円,6回
1795,2019-09-17,3200,3220,10:30,3190,09:20,3215,1100株,4百万円,+15,+0.47,3211.364円,9回,28.97億円
1795,2019-09-19,3215,3250,11:29,3165,14:33,3165,1800株,6百万円,-50,-1.56,3210円,12回,28.52億円
1795,2019-09-20,3155,3155,09:00,3150,09:05,3150,1400株,4百万円,-15,-0.47,3152.5円,6回,28.39億円
1795,2019-09-24,3155,3295,10:56,3155,09:00,3290,1100株,4百万円,+140,+4.44,3239.545円,10回,29.65億円
1795,2019-09-25,3430,3450,12:33,3360,10:59,3380,3800株,13百万円,+90,+2.74,3416.447円,24回,30.46億円
1795,2019-09-26,3390,3600,09:39,3390,09:00,3445,3800株,13百万円,+65,+1.92,3460.79円,28回,31.04億円
1795,2019-09-27,3340,3340,09:00,3080,14:50,3080,2900株,9百万円,-365,-10.60,3176.207円,21回,27.76億円
1795,2019-09-30,2995,2995,09:03,2893,14:32,2893,1600株,5百万円,-187,-6.07,2949.437円,12回,26.07億円
1795,2019-10-01,2891,2891,09:01,2838,14:22,2838,1900株,5百万円,-55,-1.90,2855.579円,15回,25.57億円
1795,2019-10-02,2838,2886,13:34,2837,09:49,2886,1200株,3百万円,+48,+1.69,2867.833円,10回,26.01億円
1795,2019-10-03,2930,3135,14:53,2930,09:15,3135,200株,1百万円,+249,+8.63,3032.5円,2回,28.25億円
1795,2019-10-04,3100,3100,10:13,3100,10:13,3100,200株,1百万円,-35,-1.12,3100円,2回,27.94億円
1795,2019-10-07,3100,3100,09:00,2960,14:44,2990,500株,2百万円,-110,-3.55,3036円,4回,26.94億円
1795,2019-10-08,2991,2991,10:34,2990,14:44,2990,700株,2百万円,0,0,2990.286円,3回,26.94億円
1795,2019-10-09,2940,2940,09:37,2913,13:53,2913,700株,2百万円,-77,-2.58,2936.143円,3回,26.25億円
1795,2019-10-10,2900,2929,15:00,2900,14:43,2929,300株,1百万円,+16,+0.55,2909.667円,2回,26.39億円
1795,2019-10-11,2931,3035,14:18,2930,10:12,3035,800株,2百万円,+106,+3.62,2963.125円,7回,27.35億円
1795,2019-10-15,2965,3000,15:00,2965,12:30,3000,200株,1百万円,-35,-1.15,2982.5円,2回,27.03億円
1795,2019-10-16,2965,2965,09:16,2965,09:16,2965,500株,1百万円,-35,-1.17,2965円,3回,26.72億円
1795,2019-10-17,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,26.72億円
1795,2019-10-18,2970,2970,12:30,2970,12:30,2970,100株,－百万円,0,0,2970円,1回,26.76億円
1795,2019-10-21,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,26.76億円
1795,2019-10-23,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,26.76億円
1795,2019-10-24,2965,2965,09:15,2965,09:15,2965,300株,1百万円,0,0,2965円,2回,26.72億円
1795,2019-10-25,3015,3065,12:49,3015,09:00,3065,200株,1百万円,+100,+3.37,3040円,2回,27.62億円
