4563,2019-08-30,580,629,10:59,573,09:18,607,28317200株,17034百万円,+47,+8.39,601.555円,19416回
4563,2019-09-02,617,624,09:05,584,13:57,586,9146600株,5538百万円,-21,-3.46,605.476円,6864回
4563,2019-09-03,584,604,14:59,563,09:03,598,5364700株,3134百万円,+12,+2.05,584.111円,4422回
4563,2019-09-03,607,610,09:13,587,09:54,594,4523800株,2706百万円,-4,-0.67,598.079円,3612回
4563,2019-09-05,590,594,09:00,582,12:49,588,3238700株,1905百万円,-6,-1.01,588.336円,2653回
4563,2019-09-05,593,607,09:54,587,10:52,590,3302600株,1963百万円,+2,+0.34,594.434円,2497回
4563,2019-09-07,590,595,09:00,540,12:43,571,4214000株,2408百万円,-19,-3.22,571.491円,3706回
4563,2019-09-10,627,628,09:15,596,14:56,596,8791500株,5378百万円,+25,+4.38,611.763円,6465回
4563,2019-09-11,590,611,12:54,584,09:05,608,3095000株,1856百万円,+12,+2.01,599.678円,2746回
4563,2019-09-12,611,620,09:14,606,09:01,610,2689400株,1646百万円,+2,+0.33,612.042円,2384回
4563,2019-09-13,604,617,09:51,604,09:00,609,1960600株,1195百万円,-1,-0.16,609.39円,1563回
4563,2019-09-17,605,627,14:10,599,09:11,617,3487000株,2138百万円,+8,+1.31,613.179円,2655回
4563,2019-09-17,617,618,09:00,601,13:34,606,2149600株,1310百万円,-11,-1.78,609.502円,1689回,647.97億円
4563,2019-09-19,608,614,09:28,603,12:38,608,1613200株,979百万円,+2,+0.33,606.805円,1295回,650.10億円
4563,2019-09-20,603,613,12:38,596,09:12,608,2242800株,1358百万円,0,0,605.428円,1832回,650.23億円
4563,2019-09-24,610,623,09:55,607,09:00,613,2793600株,1715百万円,+5,+0.82,613.882円,2180回,655.58億円
4563,2019-09-25,615,646,13:11,610,09:10,641,4485000株,2820百万円,+28,+4.57,628.667円,3485回,685.52億円
4563,2019-09-26,654,713,11:07,643,09:04,662,12909100株,8668百万円,+21,+3.28,671.438円,10063回,707.98億円
4563,2019-09-27,657,707,12:39,656,09:00,705,7742100株,5322百万円,+43,+6.50,687.445円,6509回,753.97億円
4563,2019-09-30,700,721,09:41,664,13:02,671,7483000株,5180百万円,-34,-4.82,692.243円,6482回,717.61億円
4563,2019-10-01,673,682,10:58,656,09:23,669,2862400株,1912百万円,-2,-0.30,667.895円,2956回,715.47億円
4563,2019-10-02,659,668,09:12,651,12:30,655,2098600株,1380百万円,-14,-2.09,657.4円,1856回,700.50億円
4563,2019-10-03,645,647,10:13,635,09:11,640,2296400株,1472百万円,-15,-2.29,640.818円,2156回,684.45億円
4563,2019-10-04,645,674,10:28,644,09:00,670,2892600株,1918百万円,+30,+4.69,663.187円,2525回,716.54億円
4563,2019-10-07,685,686,09:03,664,10:24,669,1974800株,1327百万円,-1,-0.15,672.211円,2174回,715.47億円
4563,2019-10-08,677,692,09:23,669,09:03,676,2719400株,1850百万円,+7,+1.05,680.386円,2448回,722.96億円
4563,2019-10-09,670,671,09:08,661,14:34,661,1237000株,823百万円,-15,-2.22,665.712円,1280回,706.91億円
4563,2019-10-10,660,660,09:00,636,14:55,636,1742500株,1124百万円,-25,-3.78,644.783円,1771回,680.18億円
4563,2019-10-11,628,643,09:32,625,09:00,628,1131100株,715百万円,-8,-1.26,632.025円,1354回,671.62億円
4563,2019-10-15,626,648,14:31,625,09:00,645,1175800株,750百万円,+17,+2.71,637.612円,1474回,689.80億円
4563,2019-10-16,646,654,09:24,634,14:13,638,1274200株,818百万円,-7,-1.09,641.797円,1308回,682.32億円
4563,2019-10-17,634,648,13:25,634,09:00,645,1093400株,702百万円,+7,+1.10,641.707円,1296回,689.80億円
4563,2019-10-18,649,666,09:28,642,14:48,644,2104100株,1375百万円,-1,-0.16,653.26円,1770回,688.88億円
4563,2019-10-21,646,657,10:32,646,09:00,650,1222100株,795百万円,+6,+0.93,650.504円,1247回,695.30億円
4563,2019-10-23,660,677,12:33,650,09:46,666,2349400株,1562百万円,+16,+2.46,665.048円,2038回,712.42億円
4563,2019-10-24,668,670,09:04,654,10:44,664,1737500株,1149百万円,-2,-0.30,661.132円,1531回,710.28億円
4563,2019-10-25,664,667,15:00,652,10:24,667,1624200株,1070百万円,+3,+0.45,658.996円,1501回,713.49億円
4563,2019-10-28,662,664,09:08,646,14:57,650,2213400株,1450百万円,-17,-2.55,655.239円,1753回,695.30億円
4563,2019-10-29,648,690,13:53,648,09:00,684,4768200株,3217百万円,+34,+5.23,674.604円,4120回,731.67億円
4563,2019-10-30,681,692,09:10,670,10:28,684,2383400株,1623百万円,0,0,680.985円,2365回,731.67億円
4563,2019-10-31,683,719,10:54,682,09:00,708,5541600株,3917百万円,+24,+3.51,706.877円,4292回,757.34億円
4563,2019-11-01,700,718,14:20,698,09:07,715,3023300株,2137百万円,+7,+0.99,706.91円,2684回,764.83億円
4563,2019-11-05,721,729,09:44,708,14:40,711,3394100株,2435百万円,-4,-0.56,717.32円,2783回,760.55億円
4563,2019-11-07,722,722,09:00,713,09:22,718,1179200株,845百万円,-1,-0.14,716.635円,1111回,768.04億円
4563,2019-11-08,714,720,09:23,708,09:11,716,1536100株,1097百万円,-2,-0.28,714.407円,1540回,765.90億円
4563,2019-11-11,710,724,09:13,708,12:31,718,1711400株,1224百万円,+2,+0.28,715.239円,1440回,768.04億円
4563,2019-11-12,714,718,09:26,694,14:50,696,2285300株,1612百万円,-22,-3.06,705.193円,1921回,744.51億円
4563,2019-11-13,690,708,14:56,684,09:07,706,1898900株,1321百万円,+10,+1.44,695.634円,2103回,755.21億円
4563,2019-11-14,706,714,09:07,697,14:10,699,1612300株,1138百万円,-7,-0.99,705.546円,1706回,747.72億円
4563,2019-11-15,697,715,14:57,696,09:00,715,1776100株,1256百万円,+16,+2.29,707.412円,1375回,764.83億円
4563,2019-11-18,720,769,14:45,719,09:01,768,6164900株,4595百万円,+53,+7.41,745.398円,4198回,821.53億円
4563,2019-11-19,789,792,09:05,756,09:30,768,4949200株,3821百万円,0,0,771.994円,4103回,821.53億円
4563,2019-11-20,768,785,09:09,762,13:45,769,2873100株,2220百万円,+1,+0.13,772.683円,2367回,822.60億円
4563,2019-11-21,770,771,09:00,705,09:53,737,4629300株,3382百万円,-32,-4.16,730.591円,4937回,788.37億円
4563,2019-11-22,738,770,14:06,737,09:00,770,4080900株,3093百万円,+33,+4.48,758.007円,3459回,823.67億円
4563,2019-11-25,750,764,09:10,716,14:14,723,5715000株,4225百万円,-47,-6.10,739.332円,4952回,773.39億円
4563,2019-11-26,727,741,15:00,712,09:27,741,3410900株,2479百万円,+18,+2.49,726.839円,2681回,792.64億円
4563,2019-11-27,735,742,09:18,728,09:04,730,1295500株,951百万円,-11,-1.48,733.883円,1515回,780.88億円
4563,2019-11-28,730,737,09:09,722,12:30,724,1167800株,849百万円,-6,-0.82,726.99円,1382回,774.46億円
4563,2019-11-29,720,729,09:46,709,12:44,710,1890100株,1354百万円,-14,-1.93,716.247円,1713回,759.48億円
4563,2019-12-02,702,704,09:02,692,12:46,703,2117000株,1479百万円,-7,-0.99,698.509円,1872回,752.00億円
4563,2019-12-03,700,702,09:40,691,10:39,693,1142800株,795百万円,-10,-1.42,695.584円,971回,741.30億円
4563,2019-12-05,714,715,09:00,693,14:24,694,1228600株,861百万円,-16,-2.25,700.583円,1347回,742.37億円
4563,2019-12-06,695,709,14:56,693,12:45,709,1188300株,833百万円,+15,+2.16,701.201円,1225回,758.41億円
4563,2019-12-09,709,709,09:00,697,14:59,697,1058500株,742百万円,-12,-1.69,701.138円,1027回,745.58億円
4563,2019-12-10,700,708,14:42,694,09:26,706,832500株,583百万円,+9,+1.29,700.82円,914回,755.21億円
4563,2019-12-13,704,704,09:00,686,13:24,689,1706400株,1184百万円,-13,-1.85,693.647円,1357回,737.02億円
4563,2019-12-16,669,683,09:43,663,14:52,664,1660800株,1114百万円,-25,-3.63,670.665円,1498回,710.28億円
4563,2019-12-17,664,674,13:03,651,09:59,667,1488000株,985百万円,+3,+0.45,661.888円,1490回,713.49億円
4563,2019-12-18,669,672,09:01,656,12:58,661,1016600株,673百万円,-6,-0.90,662.474円,1039回,707.07億円
4563,2019-12-19,658,667,11:10,650,14:24,653,1252200株,823百万円,-8,-1.21,657.037円,1271回,698.51億円
4563,2019-12-20,651,653,09:00,643,10:48,651,1080800株,700百万円,-2,-0.31,647.997円,1046回,696.37億円
4563,2019-12-23,646,650,09:01,619,14:32,622,1802800株,1139百万円,-29,-4.45,631.649円,1663回,665.35億円
4563,2019-12-24,629,668,14:19,625,09:38,660,2665100株,1718百万円,+38,+6.11,644.775円,2155回,706.00億円
4563,2019-12-25,658,669,09:01,650,13:28,652,1719500株,1130百万円,-8,-1.21,657.289円,1644回,697.44億円
4563,2019-12-26,648,657,10:20,643,09:13,655,1377200株,897百万円,+3,+0.46,651.674円,1163回,700.65億円
4563,2019-12-27,655,665,11:29,649,09:04,658,867400株,570百万円,+3,+0.46,657.274円,847回,703.86億円
