7539,2019-08-30,976,976,09:00,973,15:00,973,4100株,4百万円,-4,-0.41,974.878円,19回
7539,2019-09-02,973,973,09:00,968,12:59,968,7300株,7百万円,-5,-0.51,971.699円,31回
7539,2019-09-03,971,973,10:57,970,13:28,973,1900株,2百万円,+5,+0.52,972円,14回
7539,2019-09-03,973,973,09:00,961,09:13,966,4400株,4百万円,-7,-0.72,965.773円,24回
7539,2019-09-05,968,974,11:07,967,09:09,968,3400株,3百万円,+2,+0.21,969.265円,24回
7539,2019-09-05,970,973,13:57,970,09:00,972,2900株,3百万円,+4,+0.41,971.276円,17回
7539,2019-09-07,974,979,13:36,974,09:00,979,5000株,5百万円,+7,+0.72,975.5円,30回
7539,2019-09-10,979,984,15:00,976,09:13,984,3700株,4百万円,+5,+0.51,979.405円,22回
7539,2019-09-11,985,990,11:14,985,09:00,988,5600株,6百万円,+4,+0.41,986.929円,36回
7539,2019-09-12,989,993,14:48,985,10:17,992,7800株,8百万円,+4,+0.40,989.551円,26回
7539,2019-09-13,994,994,09:00,989,13:35,991,4900株,5百万円,-1,-0.10,991.265円,34回
7539,2019-09-17,991,996,13:29,991,09:00,995,4500株,4百万円,+4,+0.40,993.311円,32回
7539,2019-09-17,997,999,15:00,994,10:58,999,5400株,5百万円,+4,+0.40,996.889円,26回,116.36億円
7539,2019-09-19,999,999,09:00,996,11:05,998,3800株,4百万円,-1,-0.10,997.868円,24回,116.25億円
7539,2019-09-20,998,1000,12:57,998,09:00,1000,7000株,7百万円,+2,+0.20,998.657円,31回,116.48億円
7539,2019-09-24,1000,1009,15:00,999,09:20,1009,26100株,26百万円,+9,+0.90,1003.897円,52回,117.53億円
7539,2019-09-25,1013,1013,09:00,1003,14:15,1005,14400株,15百万円,-4,-0.40,1010.278円,47回,117.06億円
7539,2019-09-26,1005,1013,14:58,1000,14:06,1012,88500株,89百万円,+7,+0.70,1005.588円,104回,117.88億円
7539,2019-09-27,968,991,11:08,968,09:03,981,28500株,28百万円,-31,-3.06,977.19円,109回,114.27億円
7539,2019-09-30,978,981,09:07,960,12:30,979,7700株,7百万円,-2,-0.20,971.922円,44回,114.03億円
7539,2019-10-01,974,980,10:06,974,09:00,979,3600株,4百万円,0,0,976.222円,22回,114.03億円
7539,2019-10-02,978,988,12:32,968,09:21,986,17000株,17百万円,+7,+0.72,977.741円,36回,114.85億円
7539,2019-10-03,980,980,09:00,973,13:41,974,3600株,4百万円,-12,-1.22,977.028円,22回,113.45億円
7539,2019-10-04,974,977,15:00,974,09:00,977,1800株,2百万円,+3,+0.31,975.167円,13回,113.80億円
7539,2019-10-07,975,978,10:50,974,09:00,974,3100株,3百万円,-3,-0.31,974.548円,10回,113.45億円
7539,2019-10-08,951,952,09:03,901,14:42,905,132500株,122百万円,-69,-7.08,921.961円,852回,105.41億円
7539,2019-10-09,913,919,09:06,908,09:00,917,23000株,21百万円,+12,+1.33,915.3円,86回,106.81億円
7539,2019-10-10,915,917,15:00,912,09:52,917,20300株,19百万円,0,0,914.626円,32回,106.81億円
7539,2019-10-11,913,916,09:34,912,13:25,913,10300株,9百万円,-4,-0.44,913.932円,54回,106.34億円
7539,2019-10-15,918,920,09:30,915,11:19,915,6600株,6百万円,+2,+0.22,917.439円,33回,106.58億円
7539,2019-10-16,918,920,09:20,913,10:56,916,17600株,16百万円,+1,+0.11,917.409円,36回,106.69億円
7539,2019-10-17,916,918,10:02,913,09:13,916,4700株,4百万円,0,0,915.809円,24回,106.69億円
7539,2019-10-18,918,919,09:08,914,12:45,917,9200株,8百万円,+1,+0.11,916.283円,26回,106.81億円
7539,2019-10-21,919,926,13:59,918,09:38,925,7600株,7百万円,+8,+0.87,922.289円,47回,107.74億円
7539,2019-10-23,926,930,10:47,925,10:19,930,4300株,4百万円,+5,+0.54,927.837円,25回,108.32億円
7539,2019-10-24,931,937,09:18,931,09:00,934,13200株,12百万円,+4,+0.43,932.818円,37回,108.79億円
7539,2019-10-25,940,940,09:00,935,09:19,937,19200株,18百万円,+3,+0.32,937.037円,35回,109.14億円
7539,2019-10-28,948,951,09:01,939,14:29,944,13300株,13百万円,+7,+0.75,944.872円,44回,109.96億円
7539,2019-10-29,952,952,09:00,945,09:20,949,8500株,8百万円,+5,+0.53,948.729円,31回,110.54億円
7539,2019-10-30,953,953,09:00,941,12:50,951,9500株,9百万円,+2,+0.21,948.842円,59回,110.77億円
7539,2019-10-31,951,954,13:23,938,09:35,947,12500株,12百万円,-4,-0.42,947.104円,60回,110.30億円
7539,2019-11-01,944,951,14:37,944,09:00,947,3700株,4百万円,0,0,947.811円,17回,110.30億円
7539,2019-11-05,948,956,10:25,948,09:00,953,6500株,6百万円,+6,+0.63,953.338円,31回,111.00億円
7539,2019-11-07,958,958,09:04,952,14:58,953,1700株,2百万円,-5,-0.52,954.471円,15回,111.00億円
7539,2019-11-08,958,958,09:00,953,10:50,953,3800株,4百万円,0,0,953.868円,17回,111.00億円
7539,2019-11-11,955,956,09:04,953,12:42,956,4800株,5百万円,+3,+0.31,954.417円,27回,111.35億円
7539,2019-11-12,957,964,13:08,956,14:30,956,7200株,7百万円,0,0,959.75円,35回,111.35億円
7539,2019-11-13,958,967,14:59,957,11:30,967,11100株,11百万円,+11,+1.15,961.973円,49回,112.63億円
7539,2019-11-14,968,990,12:54,925,14:33,932,54200株,52百万円,-35,-3.62,959.382円,307回,108.56億円
7539,2019-11-15,947,947,09:00,926,10:45,933,15600株,15百万円,+1,+0.11,940.519円,54回,108.67億円
7539,2019-11-18,948,948,09:00,938,15:00,938,2900株,3百万円,+5,+0.54,942.793円,13回,109.26億円
7539,2019-11-19,941,941,09:00,935,14:36,935,6000株,6百万円,-3,-0.32,937.7円,31回,108.91億円
7539,2019-11-20,937,942,10:23,932,12:33,935,2400株,2百万円,0,0,933.708円,9回,108.91億円
7539,2019-11-21,936,940,14:21,935,10:02,935,2300株,2百万円,0,0,935.913円,10回,108.91億円
7539,2019-11-22,937,942,13:09,933,09:41,940,3700株,3百万円,+5,+0.53,937.757円,28回,109.49億円
7539,2019-11-25,948,948,09:00,942,10:33,945,4700株,4百万円,+5,+0.53,946.234円,12回,110.07億円
7539,2019-11-26,945,948,10:01,944,09:00,948,2600株,2百万円,+3,+0.32,945.654円,19回,110.42億円
7539,2019-11-27,949,952,12:46,940,11:01,948,14400株,14百万円,0,0,947.34円,36回,110.42億円
