2162,2019-08-30,302,314,12:35,301,09:50,313,190700株,59百万円,+14,+4.68,308.294円,400回
2162,2019-09-02,312,312,09:00,305,09:49,310,131800株,41百万円,-3,-0.96,309.977円,167回
2162,2019-09-03,312,324,14:49,309,09:01,321,378500株,119百万円,+11,+3.55,315.04円,794回
2162,2019-09-03,320,324,14:11,316,09:24,323,122100株,39百万円,+2,+0.62,320.173円,181回
2162,2019-09-05,323,336,13:03,322,09:00,334,185100株,61百万円,+11,+3.41,330.526円,265回
2162,2019-09-05,330,336,10:53,329,09:19,330,108600株,36百万円,-4,-1.20,331.068円,173回
2162,2019-09-07,328,336,10:18,328,09:00,332,68000株,23百万円,+2,+0.61,332.472円,124回
2162,2019-09-10,332,334,09:39,329,14:35,329,52900株,18百万円,-3,-0.90,331.308円,92回
2162,2019-09-11,332,336,14:50,326,09:18,335,89300株,30百万円,+6,+1.82,332.166円,151回
2162,2019-09-12,335,346,13:43,335,09:00,342,179100株,61百万円,+7,+2.09,340.324円,250回
2162,2019-09-13,340,344,09:34,334,12:59,334,116800株,39百万円,-8,-2.34,338.057円,215回
2162,2019-09-17,338,339,09:48,332,09:03,336,86700株,29百万円,+2,+0.60,335.668円,164回
2162,2019-09-17,336,339,13:06,328,12:42,336,108300株,36百万円,0,0,333.05円,191回,72.61億円
2162,2019-09-19,339,348,09:03,336,14:29,338,113900株,39百万円,+2,+0.60,341.601円,225回,73.05億円
2162,2019-09-20,339,343,14:40,336,10:21,340,153800株,52百万円,+2,+0.59,339.67円,218回,73.48億円
2162,2019-09-24,341,347,09:34,341,09:00,341,137400株,47百万円,+1,+0.29,342.852円,239回,73.69億円
2162,2019-09-25,344,344,09:00,338,09:11,344,59100株,20百万円,+3,+0.88,342.058円,119回,74.34億円
2162,2019-09-26,344,345,09:25,335,11:30,339,117800株,40百万円,-5,-1.45,339.967円,172回,73.26億円
2162,2019-09-27,338,338,09:00,332,09:54,336,83600株,28百万円,-3,-0.88,334.123円,146回,72.61億円
2162,2019-09-30,332,332,09:00,324,12:34,325,73800株,24百万円,-11,-3.27,328.098円,151回,70.24億円
2162,2019-10-01,322,334,14:37,322,09:00,333,79900株,26百万円,+8,+2.46,327.745円,132回,71.96億円
2162,2019-10-02,327,336,09:38,324,09:00,336,108800株,36百万円,+3,+0.90,330.922円,179回,72.61億円
2162,2019-10-03,330,333,09:04,325,14:22,331,111500株,37百万円,-5,-1.49,328.875円,179回,71.53億円
2162,2019-10-04,332,334,09:09,328,10:03,330,40500株,13百万円,-1,-0.30,330.803円,85回,71.32億円
2162,2019-10-07,332,337,15:00,332,09:00,337,56300株,19百万円,+7,+2.12,333.236円,109回,72.83億円
2162,2019-10-08,335,337,09:05,333,12:31,333,62400株,21百万円,-4,-1.19,334.925円,80回,71.96億円
2162,2019-10-09,328,332,13:12,327,09:14,331,51100株,17百万円,-2,-0.60,328.667円,89回,71.53億円
2162,2019-10-10,331,333,09:09,327,14:56,327,40200株,13百万円,-4,-1.21,329.871円,81回,70.67億円
2162,2019-10-11,328,330,09:14,324,10:45,325,66300株,22百万円,-2,-0.61,326.456円,101回,70.24億円
2162,2019-10-15,325,332,14:58,325,09:00,329,100200株,33百万円,+4,+1.23,328.788円,186回,71.10億円
2162,2019-10-16,331,334,09:09,329,15:00,329,56900株,19百万円,0,0,331.353円,92回,71.10億円
2162,2019-10-17,326,330,12:30,325,09:04,327,36700株,12百万円,-2,-0.61,327.076円,59回,70.67億円
2162,2019-10-18,327,331,10:15,326,09:10,330,82800株,27百万円,+3,+0.92,329円,107回,71.32億円
2162,2019-10-21,331,345,14:55,330,09:04,340,169200株,57百万円,+10,+3.03,335.685円,205回,73.48億円
2162,2019-10-23,345,387,10:45,341,09:10,371,1076200株,397百万円,+31,+9.12,368.488円,1650回,80.18億円
2162,2019-10-24,387,407,09:06,375,09:36,392,1278000株,500百万円,+21,+5.66,391.325円,1662回,84.72億円
2162,2019-10-25,392,394,09:50,383,09:12,393,293100株,114百万円,+1,+0.26,389.085円,578回,84.93億円
2162,2019-10-28,403,415,14:59,397,09:37,410,320500株,130百万円,+17,+4.33,405.397円,508回,88.61億円
2162,2019-10-29,408,432,12:54,406,09:21,430,434300株,182百万円,+20,+4.88,419.632円,662回,92.93億円
2162,2019-10-30,424,426,09:05,402,09:39,409,260500株,108百万円,-21,-4.88,413.273円,578回,88.39億円
2162,2019-10-31,409,419,09:29,405,12:32,407,111200株,46百万円,-2,-0.49,410.899円,271回,87.96億円
2162,2019-11-01,405,408,13:16,393,09:03,403,120400株,48百万円,-4,-0.98,402.099円,233回,87.09億円
2162,2019-11-05,410,434,10:41,407,09:15,425,543900株,230百万円,+22,+5.46,422.286円,958回,91.85億円
2162,2019-11-07,435,435,09:00,420,12:39,430,185000株,79百万円,0,0,428.288円,279回,92.93億円
2162,2019-11-08,433,460,09:56,428,09:07,440,620800株,277百万円,+10,+2.33,447.001円,984回,95.09億円
2162,2019-11-11,445,462,09:09,440,10:47,448,331900株,149百万円,+8,+1.82,450.37円,531回,96.82億円
2162,2019-11-12,445,446,09:00,420,14:36,423,368100株,159百万円,-25,-5.58,431.085円,553回,91.41億円
2162,2019-11-13,418,426,10:26,412,09:17,420,203000株,85百万円,-3,-0.71,419.666円,328回,90.77億円
2162,2019-11-14,424,424,09:00,401,13:09,408,220400株,91百万円,-12,-2.86,413.444円,306回,88.17億円
2162,2019-11-15,406,417,13:14,401,09:35,413,164900株,68百万円,+5,+1.23,410.027円,309回,89.25億円
2162,2019-11-18,417,435,13:45,415,09:01,434,298500株,128百万円,+21,+5.08,427.97円,458回,93.79億円
