6535,2019-08-30,749,750,09:00,736,11:00,742,79000株,59百万円,+5,+0.68,741.135円,323回
6535,2019-09-02,745,745,09:00,729,09:41,733,83700株,62百万円,-9,-1.21,735.626円,360回
6535,2019-09-03,733,761,13:58,733,09:00,754,65200株,49百万円,+21,+2.86,751.456円,216回
6535,2019-09-03,748,759,09:07,737,13:06,741,130100株,97百万円,-13,-1.72,742.216円,497回
6535,2019-09-05,747,752,10:53,737,13:48,743,129800株,96百万円,+2,+0.27,743.38円,478回
6535,2019-09-05,746,747,09:02,723,12:30,727,145400株,107百万円,-16,-2.15,733.809円,477回
6535,2019-09-07,736,749,12:39,728,09:01,737,98400株,73百万円,+10,+1.38,741.444円,319回
6535,2019-09-10,744,750,09:37,737,09:00,740,79600株,59百万円,+3,+0.41,741.912円,306回
6535,2019-09-11,749,753,09:41,738,13:38,748,143900株,107百万円,+8,+1.08,745.402円,459回
6535,2019-09-12,759,759,09:00,725,14:55,728,360300株,265百万円,-20,-2.67,735.806円,1031回
6535,2019-09-13,578,578,15:00,578,15:00,578,43100株,25百万円,-150,-20.60,578円,1回
6535,2019-09-17,548,591,10:28,548,09:06,578,1517500株,863百万円,0,0,568.372円,2822回
6535,2019-09-17,578,599,09:00,564,12:47,582,645900株,371百万円,+4,+0.69,574.353円,1625回,140.67億円
6535,2019-09-19,592,623,10:35,583,09:03,599,492700株,299百万円,+17,+2.92,607.042円,1268回,144.78億円
6535,2019-09-20,606,644,09:35,604,13:55,608,521300株,324百万円,+9,+1.50,622.39円,1844回,146.96億円
6535,2019-09-24,610,624,09:18,603,10:47,603,299700株,183百万円,-5,-0.82,609.625円,766回,145.75億円
6535,2019-09-25,600,601,09:16,578,11:17,583,268800株,157百万円,-20,-3.32,585.901円,756回,140.91億円
6535,2019-09-26,582,598,09:26,580,12:49,584,226100株,132百万円,+1,+0.17,584.925円,513回,141.16億円
6535,2019-09-27,581,589,09:03,560,11:21,562,264400株,150百万円,-22,-3.77,566.719円,799回,135.84億円
6535,2019-09-30,565,570,09:00,545,13:04,550,236700株,131百万円,-12,-2.14,552.05円,641回,132.94億円
6535,2019-10-01,553,564,12:47,545,09:12,558,169300株,94百万円,+8,+1.45,554.614円,432回,134.87億円
6535,2019-10-02,555,555,09:00,548,09:40,552,188200株,104百万円,-6,-1.08,551.614円,380回,133.42億円
6535,2019-10-03,544,546,09:03,536,09:46,541,186900株,101百万円,-11,-1.99,540.496円,398回,130.76億円
6535,2019-10-04,546,549,09:00,535,14:58,535,176100株,95百万円,-6,-1.11,539.712円,428回,129.31億円
6535,2019-10-07,562,567,09:38,541,13:50,547,288100株,160百万円,+12,+2.24,554.601円,794回,132.21億円
6535,2019-10-08,552,557,10:16,542,14:16,544,134700株,74百万円,-3,-0.55,548.187円,379回,131.49億円
6535,2019-10-09,538,538,09:00,521,12:34,522,527200株,277百万円,-22,-4.04,524.913円,1029回,126.17億円
6535,2019-10-10,519,527,12:32,515,09:09,522,211600株,110百万円,0,0,520.53円,379回,126.17億円
6535,2019-10-11,522,529,09:45,512,14:57,513,211300株,110百万円,-9,-1.72,518.788円,537回,124.00億円
6535,2019-10-15,518,538,09:37,518,09:00,526,194100株,103百万円,+13,+2.53,529.631円,604回,127.14億円
6535,2019-10-16,529,536,09:01,516,14:41,518,172800株,90百万円,-8,-1.52,523.213円,440回,125.20億円
6535,2019-10-17,518,524,10:34,517,09:45,520,87500株,46百万円,+2,+0.39,520.002円,375回,125.69億円
6535,2019-10-18,520,521,09:33,513,10:33,518,142700株,74百万円,-2,-0.38,517.383円,406回,125.21億円
6535,2019-10-21,516,527,10:03,516,09:00,521,102900株,54百万円,+3,+0.58,521.665円,277回,125.94億円
6535,2019-10-23,522,532,14:36,522,09:00,528,126500株,67百万円,+7,+1.34,527.503円,271回,127.63億円
6535,2019-10-24,608,622,09:38,588,09:26,600,2388600株,1444百万円,+72,+13.64,604.459円,3820回,145.03億円
6535,2019-10-25,600,613,10:03,592,09:20,611,620900株,375百万円,+11,+1.83,604.56円,1061回,147.69億円
6535,2019-10-28,612,616,09:05,607,10:10,614,283500株,173百万円,+3,+0.49,611.552円,539回,148.42億円
6535,2019-10-29,620,642,14:36,618,09:00,640,540100株,341百万円,+26,+4.23,632.112円,978回,154.70億円
6535,2019-10-30,641,657,14:04,630,09:49,657,468900株,302百万円,+17,+2.66,643.578円,853回,158.81億円
6535,2019-10-31,663,665,09:00,645,11:13,661,367800株,242百万円,+4,+0.61,656.839円,736回,159.78億円
6535,2019-11-01,661,696,12:39,661,09:00,682,453200株,308百万円,+21,+3.18,679.7円,1230回,164.85億円
6535,2019-11-05,698,716,09:06,663,13:21,673,432200株,296百万円,-9,-1.32,684.409円,1027回,162.68億円
6535,2019-11-07,658,682,09:51,658,09:00,668,230700株,155百万円,+11,+1.67,671.915円,621回,161.47億円
6535,2019-11-08,674,688,13:30,670,10:10,680,275900株,188百万円,+12,+1.80,680.322円,796回,164.37億円
6535,2019-11-11,690,694,09:01,676,11:25,678,257700株,176百万円,-2,-0.29,683.492円,587回,163.89億円
6535,2019-11-12,678,685,10:00,665,13:17,667,255000株,172百万円,-11,-1.62,674.355円,576回,161.23億円
6535,2019-11-13,667,676,09:22,652,13:31,661,222000株,147百万円,-6,-0.90,662.711円,540回,159.78億円
6535,2019-11-14,664,673,09:02,654,14:30,654,192800株,128百万円,-7,-1.06,662.061円,534回,158.09億円
6535,2019-11-15,650,667,13:58,637,09:02,663,263600株,172百万円,+9,+1.38,654.381円,713回,160.26億円
6535,2019-11-18,662,680,12:34,658,09:00,672,206300株,139百万円,+9,+1.36,672.779円,493回,162.44億円
6535,2019-11-19,672,681,09:03,667,14:48,671,232400株,157百万円,-1,-0.15,674.942円,598回,162.20億円
6535,2019-11-20,672,684,09:22,669,10:55,676,152300株,103百万円,+5,+0.75,676.821円,444回,163.40億円
6535,2019-11-21,672,678,09:23,665,10:53,673,127600株,86百万円,-3,-0.44,672.066円,371回,162.68億円
6535,2019-11-22,674,693,10:06,674,09:00,683,252800株,173百万円,+10,+1.49,683.561円,587回,165.10億円
6535,2019-11-25,693,719,10:20,685,09:00,707,230000株,162百万円,+24,+3.51,705.661円,504回,170.90億円
6535,2019-11-26,718,727,09:35,714,09:00,720,179600株,130百万円,+13,+1.84,721.37円,474回,174.04億円
6535,2019-11-27,729,729,09:00,708,10:59,712,118600株,85百万円,-8,-1.11,715.529円,375回,172.11億円
6535,2019-11-28,705,717,09:11,704,09:01,708,128400株,91百万円,-4,-0.56,711.56円,355回,171.14億円
6535,2019-11-29,707,724,13:39,705,09:00,724,181300株,130百万円,+16,+2.26,716.072円,517回,175.01億円
6535,2019-12-02,730,735,09:09,712,14:42,713,121800株,88百万円,-11,-1.52,722.369円,410回,172.35億円
6535,2019-12-03,710,722,12:43,697,09:00,719,112500株,81百万円,+6,+0.84,715.693円,406回,173.80億円
6535,2019-12-05,720,731,09:11,709,13:26,712,137100株,98百万円,-2,-0.28,717.58円,426回,172.11億円
6535,2019-12-06,714,727,09:43,711,09:03,722,161800株,117百万円,+10,+1.40,721.828円,410回,174.52億円
6535,2019-12-09,722,737,09:00,722,09:00,727,154100株,112百万円,+5,+0.69,728.866円,527回,175.73億円
6535,2019-12-10,725,735,13:00,723,09:01,731,104200株,76百万円,+4,+0.55,730.432円,321回,176.70億円
6535,2019-12-13,709,711,09:00,649,14:56,651,811400株,540百万円,-51,-7.26,665.265円,1740回,157.36億円
6535,2019-12-16,635,640,09:04,628,09:03,628,335900株,212百万円,-23,-3.53,632.609円,590回,151.80億円
6535,2019-12-17,626,646,14:45,623,09:00,641,177200株,113百万円,+13,+2.07,635.914円,466回,154.94億円
6535,2019-12-18,641,665,09:30,641,09:00,664,231100株,152百万円,+23,+3.59,657.69円,621回,160.50億円
6535,2019-12-19,664,679,09:13,663,09:00,665,202700株,136百万円,+1,+0.15,670.981円,492回,160.75億円
6535,2019-12-20,662,674,09:17,662,09:00,672,145600株,97百万円,+7,+1.05,668.854円,359回,162.53億円
6535,2019-12-23,671,677,09:02,651,14:55,655,194100株,129百万円,-17,-2.53,662.125円,400回,158.42億円
6535,2019-12-24,652,673,09:11,652,09:00,665,179700株,120百万円,+10,+1.53,667.352円,452回,160.84億円
6535,2019-12-25,670,675,09:02,658,14:46,660,102000株,68百万円,-5,-0.75,666.721円,259回,159.63億円
6535,2019-12-26,660,674,13:09,660,09:00,664,136800株,91百万円,+4,+0.61,667.319円,349回,160.60億円
