3550,2019-08-30,657,660,11:10,644,14:09,646,62900株,41百万円,-1,-0.15,654.798円,235回
3550,2019-09-02,648,662,09:58,636,09:04,659,166800株,110百万円,+13,+2.01,656.97円,422回
3550,2019-09-03,659,695,09:52,656,09:01,656,195200株,131百万円,-3,-0.46,670.168円,671回
3550,2019-09-03,654,665,14:59,638,12:34,664,107800株,70百万円,+8,+1.22,648.404円,331回
3550,2019-09-05,670,683,09:03,670,09:00,677,77500株,52百万円,+13,+1.96,675.733円,282回
3550,2019-09-05,679,688,14:49,667,12:43,683,78800株,53百万円,+6,+0.89,677.444円,316回
3550,2019-09-07,692,716,13:47,681,10:07,713,104200株,73百万円,+30,+4.39,698.574円,341回
3550,2019-09-10,720,735,09:42,704,14:53,706,92300株,66百万円,-7,-0.98,718.14円,319回
3550,2019-09-11,707,714,09:08,701,09:02,706,58300株,41百万円,0,0,705.302円,214回
3550,2019-09-12,719,719,09:00,680,12:38,682,98300株,68百万円,-24,-3.40,692.27円,384回
3550,2019-09-13,672,681,09:00,657,12:56,658,140000株,93百万円,-24,-3.52,663.767円,466回
3550,2019-09-17,655,656,09:12,639,09:44,651,80100株,52百万円,-7,-1.06,647.516円,225回
3550,2019-09-17,651,661,10:25,648,09:08,657,61800株,40百万円,+6,+0.92,655.12円,233回,83.61億円
3550,2019-09-19,671,675,09:03,652,12:35,659,139100株,92百万円,+2,+0.30,660.926円,422回,83.86億円
3550,2019-09-20,664,699,09:30,661,09:04,679,142200株,97百万円,+20,+3.03,681.196円,575回,86.41億円
3550,2019-09-24,699,734,13:32,697,09:03,717,182800株,131百万円,+38,+5.60,714.965円,659回,91.25億円
3550,2019-09-25,714,724,09:15,704,10:24,714,77500株,55百万円,-3,-0.42,711.294円,248回,90.86億円
3550,2019-09-26,720,731,10:16,708,14:33,708,79700株,57百万円,-6,-0.84,717.27円,296回,90.10億円
3550,2019-09-27,712,719,09:00,705,10:32,712,42800株,30百万円,+4,+0.56,708.974円,152回,90.61億円
3550,2019-09-30,718,724,09:53,710,10:26,718,55400株,40百万円,+6,+0.84,714.581円,150回,91.37億円
3550,2019-10-01,723,745,13:15,723,09:00,745,89800株,66百万円,+27,+3.76,736.657円,346回,94.81億円
3550,2019-10-02,752,752,09:00,737,09:05,743,41500株,31百万円,-2,-0.27,745.658円,155回,94.55億円
3550,2019-10-03,737,737,09:00,711,14:35,718,65600株,47百万円,-25,-3.36,718.576円,241回,91.37億円
3550,2019-10-04,728,728,09:00,705,11:18,719,43000株,31百万円,+1,+0.14,714.474円,126回,91.50億円
3550,2019-10-07,728,744,12:43,722,09:01,733,44700株,33百万円,+14,+1.95,732.817円,157回,93.28億円
3550,2019-10-08,735,740,09:30,732,10:51,735,44200株,33百万円,+2,+0.27,735.853円,147回,93.54億円
3550,2019-10-09,734,735,09:42,717,14:10,729,87300株,64百万円,-6,-0.82,727.885円,277回,92.77億円
3550,2019-10-10,689,701,09:24,650,14:51,656,332300株,225百万円,-73,-10.01,676.207円,831回,83.48億円
3550,2019-10-11,646,659,09:02,600,14:55,605,308500株,193百万円,-51,-7.77,624.115円,889回,76.99億円
3550,2019-10-15,609,637,09:44,609,09:00,632,98600株,62百万円,+27,+4.46,625.813円,365回,80.43億円
3550,2019-10-16,642,652,09:15,623,13:58,627,41200株,26百万円,-5,-0.79,636.464円,172回,79.79億円
3550,2019-10-17,630,672,14:53,630,09:00,671,87700株,57百万円,+44,+7.02,653.053円,322回,85.39億円
3550,2019-10-18,672,693,09:14,658,14:13,660,77700株,52百万円,-11,-1.64,674.741円,237回,83.99億円
3550,2019-10-21,650,651,09:00,626,13:50,629,222000株,141百万円,-31,-4.70,633.701円,753回,80.05億円
3550,2019-10-23,631,639,10:22,624,14:01,633,60000株,38百万円,+4,+0.64,630.662円,273回,80.56億円
3550,2019-10-24,638,649,09:11,632,09:06,634,61200株,39百万円,+1,+0.16,640.711円,293回,80.68億円
3550,2019-10-25,634,638,09:44,621,11:06,633,66800株,42百万円,-1,-0.16,628.361円,250回,80.56億円
