6032,2019-08-30,529,534,12:31,524,09:52,529,23100株,12百万円,-1,-0.19,529.273円,94回
6032,2019-09-02,530,566,12:39,530,09:00,550,134000株,74百万円,+21,+3.97,550.138円,472回
6032,2019-09-03,558,569,09:15,551,13:38,556,45300株,25百万円,+6,+1.09,557.32円,148回
6032,2019-09-03,553,558,14:17,544,09:20,551,56700株,31百万円,-5,-0.90,551.316円,197回
6032,2019-09-05,557,564,10:26,551,09:00,555,38000株,21百万円,+4,+0.73,557.905円,116回
6032,2019-09-05,562,563,09:03,552,10:55,555,25600株,14百万円,0,0,555.199円,111回
6032,2019-09-07,555,558,13:23,552,09:26,556,37600株,21百万円,+1,+0.18,555.029円,130回
6032,2019-09-10,556,562,09:05,552,14:06,555,55900株,31百万円,-1,-0.18,555.592円,143回
6032,2019-09-11,555,564,11:19,554,09:01,561,47900株,27百万円,+6,+1.08,560.61円,196回
6032,2019-09-12,568,568,09:00,551,13:41,557,59200株,33百万円,-4,-0.71,558.568円,196回
6032,2019-09-13,558,559,09:00,550,11:15,555,36200株,20百万円,-2,-0.36,554.961円,134回
6032,2019-09-17,558,558,09:00,553,09:00,554,24400株,14百万円,-1,-0.18,555.643円,105回
6032,2019-09-17,558,558,09:00,552,09:20,558,25100株,14百万円,+4,+0.72,555.343円,90回,54.68億円
6032,2019-09-19,556,563,13:24,555,09:26,559,33600株,19百万円,+1,+0.18,559.61円,138回,54.78億円
6032,2019-09-20,557,564,09:46,557,09:00,557,29800株,17百万円,-2,-0.36,559.638円,116回,54.59億円
6032,2019-09-24,530,548,09:40,520,09:08,537,203300株,109百万円,-20,-3.59,533.698円,422回,52.63億円
6032,2019-09-25,536,537,09:00,526,09:40,528,69100株,37百万円,-9,-1.68,530.395円,190回,51.74億円
6032,2019-09-26,530,535,10:16,527,14:50,527,53400株,28百万円,-1,-0.19,530.234円,97回,51.65億円
6032,2019-09-27,525,528,09:15,506,15:00,506,134800株,69百万円,-21,-3.98,514.901円,251回,49.59億円
6032,2019-09-30,510,515,09:28,508,09:03,512,46200株,24百万円,+6,+1.19,510.773円,153回,50.18億円
6032,2019-10-01,516,517,09:00,510,09:25,510,64600株,33百万円,-2,-0.39,513.471円,148回,49.98億円
6032,2019-10-02,507,510,09:16,506,09:25,508,57700株,29百万円,-2,-0.39,507.664円,172回,49.78億円
6032,2019-10-03,506,506,09:00,500,10:34,503,49800株,25百万円,-5,-0.98,502.412円,135回,49.29億円
6032,2019-10-04,503,507,09:08,499,14:59,502,98300株,49百万円,-1,-0.20,501.038円,157回,49.20億円
6032,2019-10-07,506,508,09:00,500,12:50,501,52500株,26百万円,-1,-0.20,503.074円,106回,49.10億円
6032,2019-10-08,503,511,09:39,501,09:00,507,42800株,22百万円,+6,+1.20,506.904円,89回,49.69億円
6032,2019-10-09,507,512,13:46,505,09:02,511,53100株,27百万円,+4,+0.79,508.572円,116回,50.08億円
6032,2019-10-10,508,509,09:00,502,14:59,504,38300株,19百万円,-7,-1.37,505.517円,99回,49.39億円
6032,2019-10-11,504,505,09:22,498,10:53,501,71900株,36百万円,-3,-0.60,500.384円,103回,49.10億円
6032,2019-10-15,501,505,09:25,500,09:19,504,44500株,22百万円,+3,+0.60,503.029円,115回,49.39億円
6032,2019-10-16,507,508,09:13,503,09:42,505,24200株,12百万円,+1,+0.20,505.459円,67回,49.49億円
6032,2019-10-17,506,506,09:00,503,09:04,505,37200株,19百万円,0,0,504.398円,81回,49.49億円
6032,2019-10-18,506,509,11:27,505,09:54,508,25500株,13百万円,+3,+0.59,507.271円,86回,49.78億円
