7722,2019-08-30,677,678,09:25,672,10:47,675,8000株,5百万円,+2,+0.30,673.7円,52回
7722,2019-09-02,672,679,13:01,672,09:00,676,11600株,8百万円,+1,+0.15,674.767円,49回
7722,2019-09-03,675,676,12:30,666,09:25,667,24400株,16百万円,-9,-1.33,670.127円,111回
7722,2019-09-03,670,679,11:30,667,14:59,669,19300株,13百万円,+2,+0.30,671.057円,56回
7722,2019-09-05,672,688,11:23,670,09:09,675,22500株,15百万円,+6,+0.90,676.036円,123回
7722,2019-09-05,676,680,11:10,675,09:24,676,15600株,11百万円,+1,+0.15,676.346円,82回
7722,2019-09-07,686,694,14:51,681,09:01,692,8400株,6百万円,+16,+2.37,688.321円,36回
7722,2019-09-10,694,695,09:15,681,12:33,690,16000株,11百万円,-2,-0.29,689.144円,62回
7722,2019-09-11,690,693,11:08,690,09:00,692,6200株,4百万円,+2,+0.29,691.548円,34回
7722,2019-09-12,697,702,10:30,695,09:39,702,11700株,8百万円,+10,+1.45,699.427円,58回
7722,2019-09-13,702,702,09:00,681,12:48,693,24400株,17百万円,-9,-1.28,693.029円,93回
7722,2019-09-17,691,693,09:19,688,12:58,691,10900株,8百万円,-2,-0.29,691.018円,52回
7722,2019-09-17,688,694,12:30,683,09:07,694,13300株,9百万円,+3,+0.43,690.008円,51回,98.55億円
7722,2019-09-19,695,698,11:25,694,09:00,698,14100株,10百万円,+4,+0.58,695.773円,75回,99.12億円
7722,2019-09-20,698,698,09:00,694,14:51,698,17600株,12百万円,0,0,696.551円,81回,99.12億円
7722,2019-09-24,700,710,09:54,697,09:11,700,40800株,29百万円,+2,+0.29,703.478円,187回,99.40億円
7722,2019-09-25,700,720,11:03,697,10:04,701,58800株,41百万円,+1,+0.14,703.167円,253回,99.54億円
7722,2019-09-26,702,704,09:49,693,15:00,693,60500株,42百万円,-8,-1.14,697.002円,178回,98.41億円
7722,2019-09-27,680,687,14:41,675,09:03,686,37400株,25百万円,-7,-1.01,681.465円,189回,97.41億円
7722,2019-09-30,687,694,09:11,675,10:18,685,27700株,19百万円,-1,-0.15,684円,179回,97.27億円
7722,2019-10-01,692,700,09:27,681,09:12,699,42500株,30百万円,+14,+2.04,694.226円,224回,99.26億円
7722,2019-10-02,681,689,13:34,681,09:03,686,22100株,15百万円,-13,-1.86,684.299円,123回,97.41億円
