4356,2019-08-30,1880,1925,10:47,1842,09:28,1895,24300株,46百万円,+21,+1.12,1897.584円,149回
4356,2019-09-02,1935,2014,14:26,1918,09:07,2008,67400株,133百万円,+113,+5.96,1977.543円,378回
4356,2019-09-03,2073,2073,09:03,1977,09:35,1998,58500株,118百万円,-10,-0.50,2018.291円,372回
4356,2019-09-03,1994,2022,13:09,1961,09:23,1995,22800株,45百万円,-3,-0.15,1994.785円,168回
4356,2019-09-05,1999,2001,11:03,1963,09:14,1973,19300株,38百万円,-22,-1.10,1980.606円,136回
4356,2019-09-05,1981,1981,09:00,1930,14:46,1931,18100株,35百万円,-42,-2.13,1950.669円,129回
4356,2019-09-07,1931,1995,14:55,1881,09:41,1994,41400株,80百万円,+63,+3.26,1943.241円,282回
4356,2019-09-10,1995,2000,09:00,1975,12:51,1985,22400株,44百万円,-9,-0.45,1984.054円,137回
4356,2019-09-11,1985,1991,10:49,1975,11:00,1986,12600株,25百万円,+1,+0.05,1981.143円,105回
4356,2019-09-12,1990,1990,09:00,1935,09:59,1964,33900株,66百万円,-22,-1.11,1961.572円,244回
4356,2019-09-13,1969,1969,09:00,1860,12:59,1884,51800株,98百万円,-80,-4.07,1897.208円,242回
4356,2019-09-17,1924,1953,13:34,1884,09:03,1945,30200株,58百万円,+61,+3.24,1918.162円,142回
4356,2019-09-17,1955,1989,12:30,1931,09:01,1946,22300株,44百万円,+1,+0.05,1962.511円,140回,55.62億円
4356,2019-09-19,2007,2050,10:43,1981,09:03,2026,59700株,120百万円,+80,+4.11,2017.435円,368回,57.91億円
