6403,2019-08-30,2300,2303,09:23,2287,09:25,2290,4200株,10百万円,+3,+0.13,2297.548円,11回
6403,2019-09-02,2291,2291,09:00,2291,09:00,2291,200株,－百万円,+1,+0.04,2291円,2回
6403,2019-09-03,2293,2293,09:00,2293,09:00,2293,700株,2百万円,+2,+0.09,2293円,2回
6403,2019-09-03,2293,2343,13:37,2293,09:00,2294,600株,1百万円,+1,+0.04,2310.5円,6回
6403,2019-09-05,2294,2350,11:26,2294,09:00,2323,2800株,7百万円,+29,+1.26,2334.857円,16回
6403,2019-09-05,2301,2347,12:58,2301,09:29,2328,2400株,6百万円,+5,+0.22,2333.75円,15回
6403,2019-09-07,2303,2328,10:27,2299,15:00,2299,2200株,5百万円,-29,-1.25,2305.773円,10回
6403,2019-09-10,2277,2296,09:22,2277,09:16,2291,700株,2百万円,-8,-0.35,2285.714円,6回
6403,2019-09-11,2284,2300,09:26,2280,09:24,2281,2800株,6百万円,-10,-0.44,2284.857円,17回
6403,2019-09-12,2282,2328,10:24,2282,09:00,2300,900株,2百万円,+19,+0.83,2303円,9回
6403,2019-09-13,2300,2300,10:05,2281,12:51,2291,1400株,3百万円,-9,-0.39,2287.5円,7回
6403,2019-09-17,2292,2302,13:24,2292,09:00,2300,600株,1百万円,+9,+0.39,2297.667円,6回
6403,2019-09-17,2301,2323,11:16,2301,09:00,2305,1100株,3百万円,+5,+0.22,2306.545円,8回,99.02億円
6403,2019-09-19,2305,2343,09:40,2305,09:00,2323,1600株,4百万円,+18,+0.78,2328.812円,12回,99.80億円
6403,2019-09-20,2323,2349,09:27,2323,09:00,2330,1200株,3百万円,+7,+0.30,2340.917円,7回,100.10億円
6403,2019-09-24,2329,2355,11:13,2313,09:11,2350,4400株,10百万円,+20,+0.86,2340.682円,22回,100.96億円
6403,2019-09-25,2350,2350,09:00,2332,10:21,2332,1400株,3百万円,-18,-0.77,2344.357円,5回,100.18億円
6403,2019-09-26,2330,2330,09:40,2330,09:40,2330,1400株,3百万円,-2,-0.09,2330円,5回,100.10億円
