6403,2019-08-30,2300,2303,09:23,2287,09:25,2290,4200株,10百万円,+3,+0.13,2297.548円,11回
6403,2019-09-02,2291,2291,09:00,2291,09:00,2291,200株,－百万円,+1,+0.04,2291円,2回
6403,2019-09-03,2293,2293,09:00,2293,09:00,2293,700株,2百万円,+2,+0.09,2293円,2回
6403,2019-09-03,2293,2343,13:37,2293,09:00,2294,600株,1百万円,+1,+0.04,2310.5円,6回
6403,2019-09-05,2294,2350,11:26,2294,09:00,2323,2800株,7百万円,+29,+1.26,2334.857円,16回
6403,2019-09-05,2301,2347,12:58,2301,09:29,2328,2400株,6百万円,+5,+0.22,2333.75円,15回
6403,2019-09-07,2303,2328,10:27,2299,15:00,2299,2200株,5百万円,-29,-1.25,2305.773円,10回
6403,2019-09-10,2277,2296,09:22,2277,09:16,2291,700株,2百万円,-8,-0.35,2285.714円,6回
6403,2019-09-11,2284,2300,09:26,2280,09:24,2281,2800株,6百万円,-10,-0.44,2284.857円,17回
6403,2019-09-12,2282,2328,10:24,2282,09:00,2300,900株,2百万円,+19,+0.83,2303円,9回
6403,2019-09-13,2300,2300,10:05,2281,12:51,2291,1400株,3百万円,-9,-0.39,2287.5円,7回
6403,2019-09-17,2292,2302,13:24,2292,09:00,2300,600株,1百万円,+9,+0.39,2297.667円,6回
6403,2019-09-17,2301,2323,11:16,2301,09:00,2305,1100株,3百万円,+5,+0.22,2306.545円,8回,99.02億円
6403,2019-09-19,2305,2343,09:40,2305,09:00,2323,1600株,4百万円,+18,+0.78,2328.812円,12回,99.80億円
6403,2019-09-20,2323,2349,09:27,2323,09:00,2330,1200株,3百万円,+7,+0.30,2340.917円,7回,100.10億円
6403,2019-09-24,2329,2355,11:13,2313,09:11,2350,4400株,10百万円,+20,+0.86,2340.682円,22回,100.96億円
6403,2019-09-25,2350,2350,09:00,2332,10:21,2332,1400株,3百万円,-18,-0.77,2344.357円,5回,100.18億円
6403,2019-09-26,2330,2330,09:40,2330,09:40,2330,1400株,3百万円,-2,-0.09,2330円,5回,100.10億円
6403,2019-09-27,2330,2343,13:58,2330,09:00,2343,800株,2百万円,+13,+0.56,2332.25円,4回,100.65億円
6403,2019-09-30,2342,2342,09:00,2311,10:59,2311,1600株,4百万円,-32,-1.37,2325.312円,11回,99.28億円
6403,2019-10-01,2311,2330,10:36,2307,15:00,2307,1700株,4百万円,-4,-0.17,2312.118円,13回,99.11億円
6403,2019-10-02,2307,2307,09:00,2301,11:18,2301,2500株,6百万円,-6,-0.26,2301.84円,12回,98.85億円
6403,2019-10-03,2300,2300,09:00,2296,10:31,2296,1900株,4百万円,-5,-0.22,2298.21円,16回,98.64億円
6403,2019-10-04,2296,2305,09:03,2296,09:00,2303,400株,1百万円,+7,+0.30,2300円,3回,98.94億円
6403,2019-10-07,2297,2300,13:49,2296,09:35,2300,600株,1百万円,-3,-0.13,2297.333円,5回,98.81億円
6403,2019-10-08,2300,2327,13:20,2300,09:00,2313,600株,1百万円,+13,+0.57,2311.667円,6回,99.37億円
6403,2019-10-09,2299,2299,09:25,2299,09:25,2299,500株,1百万円,-14,-0.61,2299円,1回,98.76億円
6403,2019-10-10,2300,2300,09:00,2300,09:00,2300,100株,－百万円,+1,+0.04,2300円,1回,98.81億円
6403,2019-10-11,2300,2343,15:00,2300,09:00,2343,1300株,3百万円,+43,+1.87,2325.231円,9回,100.65億円
6403,2019-10-15,2335,2343,15:00,2317,13:30,2343,2100株,5百万円,0,0,2335.952円,9回,100.65億円
6403,2019-10-16,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,100.65億円
6403,2019-10-17,2342,2342,09:05,2342,09:05,2342,100株,－百万円,0,0,2342円,1回,100.61億円
6403,2019-10-18,2349,2380,14:39,2346,14:58,2380,3200株,8百万円,+38,+1.62,2361.625円,12回,102.24億円
6403,2019-10-21,2430,2430,09:00,2380,11:02,2386,1100株,3百万円,+6,+0.25,2403.364円,8回,102.50億円
6403,2019-10-23,2375,2418,09:03,2375,09:00,2390,800株,2百万円,+4,+0.17,2386.25円,6回,102.67億円
6403,2019-10-24,2340,2347,14:59,2340,09:01,2347,1600株,4百万円,-43,-1.80,2341.812円,7回,100.83億円
6403,2019-10-25,2347,2347,09:00,2335,11:00,2338,800株,2百万円,-9,-0.38,2340.875円,5回,100.44億円
6403,2019-10-28,2331,2334,13:35,2330,09:02,2333,1600株,4百万円,-5,-0.21,2330.687円,9回,100.22億円
6403,2019-10-29,2333,2356,10:32,2333,09:41,2333,500株,1百万円,0,0,2338.8円,5回,100.22億円
6403,2019-10-30,2333,2347,13:24,2331,12:30,2332,900株,2百万円,-1,-0.04,2336.778円,8回,100.18億円
