7559,2019-09-02,1518,1518,09:00,1501,10:16,1507,700株,1百万円,+5,+0.33,1510.429円,6回
7559,2019-09-03,1519,1519,09:00,1519,09:00,1519,100株,－百万円,+12,+0.80,1519円,1回
7559,2019-09-03,1508,1517,14:57,1508,09:00,1517,500株,1百万円,-2,-0.13,1513.4円,2回
7559,2019-09-05,1500,1505,14:38,1488,13:44,1505,23000株,34百万円,-12,-0.79,1499.396円,23回
7559,2019-09-05,1517,1521,12:31,1517,09:00,1520,500株,1百万円,+15,+1.00,1518.6円,5回
7559,2019-09-07,1520,1523,12:56,1519,14:59,1523,1400株,2百万円,+3,+0.20,1520.429円,5回
7559,2019-09-10,1525,1528,15:00,1525,09:00,1528,1600株,2百万円,+5,+0.33,1525.187円,10回
7559,2019-09-11,1528,1529,09:12,1527,14:13,1528,1800株,3百万円,0,0,1528.278円,9回
7559,2019-09-12,1530,1530,09:00,1528,10:57,1528,1500株,2百万円,0,0,1529.6円,6回
7559,2019-09-13,1525,1528,10:19,1525,09:00,1528,400株,1百万円,0,0,1527.25円,4回
7559,2019-09-17,1525,1530,09:05,1522,09:00,1528,1000株,2百万円,0,0,1527.2円,8回
7559,2019-09-17,1530,1530,09:00,1528,14:39,1528,200株,－百万円,0,0,1529円,2回,88.15億円
7559,2019-09-19,1528,1529,14:59,1528,09:24,1529,200株,－百万円,+1,+0.07,1528.5円,2回,88.21億円
7559,2019-09-20,1529,1529,09:00,1525,10:04,1529,500株,1百万円,0,0,1527.2円,5回,88.21億円
7559,2019-09-24,1529,1529,09:00,1528,09:44,1529,1600株,2百万円,0,0,1528.75円,14回,88.21億円
7559,2019-09-25,1530,1530,09:00,1525,14:38,1525,1900株,3百万円,-4,-0.26,1529.105円,10回,87.98億円
7559,2019-09-26,1530,1535,10:30,1530,09:00,1535,1900株,3百万円,+10,+0.66,1532.316円,15回,88.55億円
7559,2019-09-27,1514,1514,09:00,1466,10:36,1489,5200株,8百万円,-46,-3.00,1506.173円,30回,85.90億円
7559,2019-09-30,1480,1490,09:00,1480,09:00,1489,800株,1百万円,0,0,1484.375円,6回,85.90億円
7559,2019-10-01,1486,1486,09:33,1482,14:40,1482,200株,－百万円,-7,-0.47,1484円,2回,85.50億円
7559,2019-10-02,1482,1483,09:46,1475,15:00,1475,600株,1百万円,-7,-0.47,1480.667円,6回,85.09億円
7559,2019-10-03,1471,1472,10:20,1471,09:00,1472,300株,－百万円,-3,-0.20,1471.333円,2回,84.92億円
7559,2019-10-04,1474,1483,12:30,1471,09:50,1480,4300株,6百万円,+8,+0.54,1474.209円,6回,85.38億円
7559,2019-10-07,1483,1486,12:30,1483,09:00,1486,300株,－百万円,+6,+0.41,1484.333円,3回,85.73億円
7559,2019-10-08,1491,1500,13:40,1491,09:00,1497,600株,1百万円,+11,+0.74,1497.5円,6回,86.36億円
7559,2019-10-09,1495,1495,09:00,1490,13:46,1491,1000株,1百万円,-6,-0.40,1492.6円,10回,86.02億円
7559,2019-10-10,1495,1501,09:07,1495,09:00,1497,1200株,2百万円,+6,+0.40,1496.167円,5回,86.36億円
7559,2019-10-11,1511,1519,09:09,1505,10:14,1509,1400株,2百万円,+12,+0.80,1511.571円,7回,87.05億円
7559,2019-10-15,1517,1517,09:00,1510,09:56,1515,1200株,2百万円,+6,+0.40,1515.833円,5回,87.40億円
7559,2019-10-16,1512,1512,09:19,1508,12:52,1508,500株,1百万円,-7,-0.46,1508.8円,4回,87.00億円
7559,2019-10-17,1509,1510,11:09,1508,15:00,1508,600株,1百万円,0,0,1509.333円,6回,87.00億円
7559,2019-10-18,1508,1508,09:36,1506,15:00,1506,200株,－百万円,-2,-0.13,1507円,2回,86.88億円
7559,2019-10-21,1517,1517,09:00,1508,13:49,1508,800株,1百万円,+2,+0.13,1514.75円,2回,87.00億円
7559,2019-10-23,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,87.00億円
7559,2019-10-24,1511,1516,14:28,1510,09:49,1515,700株,1百万円,0,0,1513.143円,7回,87.40億円
7559,2019-10-25,1518,1518,09:00,1512,09:16,1512,1200株,2百万円,-3,-0.20,1516.5円,4回,87.23億円
7559,2019-10-28,1512,1512,09:00,1510,15:00,1510,700株,1百万円,-2,-0.13,1511.286円,5回,87.11億円
7559,2019-10-29,1510,1510,09:00,1507,10:12,1507,900株,1百万円,-3,-0.20,1508円,9回,86.94億円
7559,2019-10-30,1515,1515,09:10,1507,12:30,1507,200株,－百万円,0,0,1511円,2回,86.94億円
7559,2019-10-31,1513,1513,09:00,1513,09:00,1513,100株,－百万円,+6,+0.40,1513円,1回,87.29億円
7559,2019-11-01,1505,1507,09:51,1505,09:00,1505,900株,1百万円,-8,-0.53,1505.222円,4回,86.82億円
7559,2019-11-05,1509,1509,09:00,1478,15:00,1478,400株,1百万円,-27,-1.79,1500.25円,3回,85.27億円
