8886,2019-08-30,2119,2120,11:15,2119,09:00,2120,600株,1百万円,+7,+0.33,2119.5円,5回
8886,2019-09-02,2120,2130,12:30,2120,09:00,2130,200株,－百万円,+10,+0.47,2125円,2回
8886,2019-09-03,2130,2135,11:02,2130,09:00,2135,300株,1百万円,+5,+0.23,2131.667円,2回
8886,2019-09-03,2136,2136,09:00,2136,09:00,2136,100株,－百万円,+1,+0.05,2136円,1回
8886,2019-09-05,2130,2135,09:47,2130,09:38,2133,600株,1百万円,-3,-0.14,2132.667円,6回
8886,2019-09-05,2120,2124,15:00,2120,09:30,2124,2600株,6百万円,-9,-0.42,2120.154円,6回
8886,2019-09-07,2124,2124,09:00,2103,14:43,2103,600株,1百万円,-21,-0.99,2107円,3回
8886,2019-09-10,2121,2123,14:43,2121,09:20,2123,400株,1百万円,+20,+0.95,2122.25円,3回
8886,2019-09-11,2112,2125,14:59,2112,09:00,2125,400株,1百万円,+2,+0.09,2117.25円,3回
8886,2019-09-12,2123,2123,13:38,2123,13:38,2123,200株,－百万円,-2,-0.09,2123円,1回
8886,2019-09-13,2148,2160,13:46,2148,09:00,2160,1100株,2百万円,+37,+1.74,2150.182円,5回
8886,2019-09-17,2158,2158,14:02,2158,14:02,2158,100株,－百万円,-2,-0.09,2158円,1回
8886,2019-09-17,2150,2150,10:07,2136,15:00,2136,300株,1百万円,-22,-1.02,2141円,3回,31.61億円
8886,2019-09-19,2133,2147,12:59,2133,09:04,2147,1200株,3百万円,+11,+0.51,2134.25円,4回,31.78億円
8886,2019-09-20,2161,2164,11:30,2147,09:12,2148,600株,1百万円,+1,+0.05,2155.167円,5回,31.79億円
8886,2019-09-24,2154,2186,14:01,2154,13:11,2186,300株,1百万円,+38,+1.77,2175円,3回,32.35億円
8886,2019-09-25,2215,2215,09:00,2215,09:00,2215,300株,1百万円,+29,+1.33,2215円,2回,32.78億円
8886,2019-09-26,2217,2217,09:04,2184,14:10,2184,300株,1百万円,-31,-1.40,2206円,2回,32.32億円
8886,2019-09-27,2222,2222,09:20,2220,09:57,2220,500株,1百万円,+36,+1.65,2221.2円,2回,32.86億円
8886,2019-09-30,2220,2220,10:21,2200,13:04,2200,200株,－百万円,-20,-0.90,2210円,2回,32.56億円
8886,2019-10-01,2174,2174,09:02,2174,09:02,2174,200株,－百万円,-26,-1.18,2174円,1回,32.18億円
8886,2019-10-02,2183,2233,12:30,2183,09:04,2233,400株,1百万円,+59,+2.71,2208円,3回,33.05億円
8886,2019-10-03,2210,2210,13:56,2210,13:56,2210,200株,－百万円,-23,-1.03,2210円,1回,32.71億円
8886,2019-10-04,2220,2220,12:47,2201,13:01,2201,1200株,3百万円,-9,-0.41,2213.917円,7回,32.57億円
8886,2019-10-07,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,32.57億円
8886,2019-10-08,2177,2177,09:45,2177,09:45,2177,100株,－百万円,0,0,2177円,1回,32.22億円
8886,2019-10-09,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,32.22億円
8886,2019-10-10,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,32.22億円
8886,2019-10-11,2180,2180,09:21,2159,09:23,2170,500株,1百万円,0,0,2170円,5回,32.12億円
8886,2019-10-15,2199,2200,09:00,2179,09:35,2191,900株,2百万円,+21,+0.97,2191.111円,8回,32.43億円
8886,2019-10-16,2197,2249,10:44,2197,09:40,2223,1300株,3百万円,+32,+1.46,2227.154円,11回,32.90億円
8886,2019-10-17,2227,2232,14:56,2227,13:52,2231,400株,1百万円,+8,+0.36,2229.25円,3回,33.02億円
8886,2019-10-18,2230,2244,13:35,2230,09:30,2244,300株,1百万円,+13,+0.58,2239.333円,2回,33.21億円
8886,2019-10-21,2248,2264,09:23,2241,15:00,2241,1200株,3百万円,-3,-0.13,2254.667円,11回,33.17億円
8886,2019-10-23,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,33.17億円
8886,2019-10-24,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,33.17億円
8886,2019-10-25,2319,2319,09:03,2270,14:26,2271,900株,2百万円,0,0,2290.778円,6回,33.61億円
8886,2019-10-28,2271,2271,09:44,2271,09:44,2271,100株,－百万円,0,0,2271円,1回,33.61億円
8886,2019-10-29,2299,2299,09:29,2294,13:10,2294,1000株,2百万円,+23,+1.01,2297.7円,4回,33.95億円
8886,2019-10-30,2299,2299,09:23,2249,10:16,2250,600株,1百万円,-44,-1.92,2266円,3回,33.30億円
8886,2019-10-31,2250,2250,09:00,2250,09:00,2250,100株,－百万円,0,0,2250円,1回,33.30億円
8886,2019-11-01,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,33.30億円
8886,2019-11-05,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,33.30億円
8886,2019-11-07,2250,2280,13:48,2203,09:54,2280,800株,2百万円,+30,+1.33,2256円,7回,33.74億円
8886,2019-11-08,2280,2309,09:45,2280,09:00,2309,600株,1百万円,+29,+1.27,2300.667円,6回,34.17億円
8886,2019-11-11,2300,2430,09:57,2300,09:01,2380,1400株,3百万円,+71,+3.07,2366円,9回,35.22億円
8886,2019-11-12,2380,2380,09:00,2365,11:08,2379,500株,1百万円,-1,-0.04,2375円,4回,35.21億円
8886,2019-11-13,2388,2392,14:46,2353,15:00,2353,1200株,3百万円,-26,-1.09,2377.667円,7回,34.82億円
8886,2019-11-14,2376,2376,14:44,2376,14:44,2376,100株,－百万円,+23,+0.98,2376円,1回,35.16億円
8886,2019-11-15,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,35.16億円
8886,2019-11-18,2360,2374,15:00,2337,12:30,2374,600株,1百万円,0,0,2353円,6回,35.14億円
8886,2019-11-19,2392,2453,09:46,2392,09:43,2422,600株,1百万円,+48,+2.02,2422.5円,6回,35.85億円
8886,2019-11-20,2374,2424,09:12,2350,15:00,2350,800株,2百万円,-72,-2.97,2374.5円,5回,34.78億円
8886,2019-11-21,2400,2400,09:45,2350,10:01,2350,300株,1百万円,0,0,2383.333円,2回,34.78億円
8886,2019-11-22,2375,2375,14:29,2375,14:29,2375,300株,1百万円,+25,+1.06,2375円,2回,35.15億円
8886,2019-11-25,2375,2428,12:30,2374,09:32,2428,500株,1百万円,+53,+2.23,2395.2円,4回,35.93億円
8886,2019-11-26,2385,2474,15:00,2385,10:26,2474,1000株,2百万円,+46,+1.89,2428.1円,6回,36.62億円
8886,2019-11-27,2479,2490,09:50,2449,12:31,2490,1700株,4百万円,+16,+0.65,2483.882円,9回,36.85億円
8886,2019-11-28,2490,2490,09:00,2485,09:20,2490,700株,2百万円,0,0,2488.429円,5回,36.85億円
8886,2019-11-29,2440,2459,14:55,2440,09:00,2459,700株,2百万円,-31,-1.24,2444.143円,4回,36.39億円
8886,2019-12-02,2414,2477,15:00,2414,09:48,2477,300株,1百万円,+18,+0.73,2451.667円,3回,36.66億円
8886,2019-12-03,2477,2477,09:05,2419,14:44,2464,400株,1百万円,-13,-0.52,2451円,4回,36.47億円
8886,2019-12-05,2400,2403,12:36,2400,09:53,2402,800株,2百万円,-12,-0.50,2402.375円,5回,35.55億円
8886,2019-12-06,2375,2391,14:56,2375,09:26,2390,400株,1百万円,-12,-0.50,2384.5円,4回,35.37億円
8886,2019-12-09,2350,2429,14:42,2350,09:00,2379,1700株,4百万円,-11,-0.46,2368円,8回,35.21億円
8886,2019-12-10,2479,2479,10:37,2407,14:44,2421,500株,1百万円,+42,+1.77,2445.8円,5回,35.83億円
8886,2019-12-13,2434,2463,11:09,2433,10:07,2435,1000株,2百万円,+6,+0.25,2447円,8回,36.04億円
8886,2019-12-16,2421,2469,12:45,2421,09:00,2469,400株,1百万円,+34,+1.40,2440.25円,3回,36.54億円
8886,2019-12-17,2500,2528,12:30,2500,09:37,2511,1100株,3百万円,+42,+1.70,2503.545円,3回,37.16億円
