3814,2019-08-30,1546,1553,09:17,1518,10:53,1538,11800株,18百万円,+20,+1.32,1534.881円,58回
3814,2019-09-02,1544,1554,09:17,1502,14:19,1509,10100株,15百万円,-29,-1.89,1528.109円,75回
3814,2019-09-03,1511,1529,15:00,1511,09:00,1529,3500株,5百万円,+20,+1.33,1521.229円,28回
3814,2019-09-03,1522,1540,09:33,1512,14:59,1512,6200株,9百万円,-17,-1.11,1525.387円,37回
3814,2019-09-05,1535,1535,09:00,1488,14:54,1495,11700株,18百万円,-17,-1.12,1507.949円,73回
3814,2019-09-05,1502,1502,09:18,1475,14:33,1484,3200株,5百万円,-11,-0.74,1485.312円,26回
3814,2019-09-07,1495,1495,09:00,1467,10:52,1483,5000株,7百万円,-1,-0.07,1483.18円,36回
3814,2019-09-10,1484,1501,09:27,1479,14:23,1482,5600株,8百万円,-1,-0.07,1488.446円,39回
3814,2019-09-11,1480,1480,09:00,1457,12:46,1459,6500株,10百万円,-23,-1.55,1465.492円,45回
3814,2019-09-12,1453,1484,15:00,1453,09:00,1484,6300株,9百万円,+25,+1.71,1465.444円,42回
3814,2019-09-13,1494,1494,09:00,1463,14:44,1484,1900株,3百万円,0,0,1475.263円,16回
3814,2019-09-17,1459,1474,12:44,1448,14:59,1454,8700株,13百万円,-30,-2.02,1455.115円,46回
3814,2019-09-17,1474,1475,09:25,1447,12:51,1457,2800株,4百万円,+3,+0.21,1456.179円,25回,36.63億円
3814,2019-09-19,1441,1463,09:03,1441,09:00,1444,4800株,7百万円,-13,-0.89,1450.417円,34回,36.30億円
3814,2019-09-20,1455,1460,10:03,1438,14:48,1446,4600株,7百万円,+2,+0.14,1449.826円,34回,36.35億円
3814,2019-09-24,1441,1450,15:00,1437,10:16,1450,5600株,8百万円,+4,+0.28,1443.5円,33回,36.45億円
3814,2019-09-25,1438,1457,14:58,1438,09:00,1457,4500株,7百万円,+7,+0.48,1448.844円,27回,36.63億円
3814,2019-09-26,1457,1485,09:51,1451,09:02,1479,11900株,18百万円,+22,+1.51,1471.118円,67回,37.18億円
3814,2019-09-27,1455,1455,09:00,1436,12:57,1443,5000株,7百万円,-36,-2.43,1443.96円,30回,36.27億円
3814,2019-09-30,1413,1417,09:37,1378,12:43,1386,10400株,15百万円,-57,-3.95,1400.01円,61回,34.84億円
3814,2019-10-01,1387,1396,13:25,1374,10:08,1381,6800株,9百万円,-5,-0.36,1388.985円,25回,34.72億円
3814,2019-10-02,1362,1387,09:30,1360,14:43,1366,6300株,9百万円,-15,-1.09,1370.905円,32回,34.34億円
3814,2019-10-03,1367,1380,15:00,1366,10:59,1380,3800株,5百万円,+14,+1.02,1372.789円,24回,34.69億円
3814,2019-10-04,1378,1379,09:35,1361,10:10,1361,4000株,5百万円,-19,-1.38,1368.625円,26回,34.21億円
3814,2019-10-07,1370,1400,10:40,1370,09:00,1373,6500株,9百万円,+12,+0.88,1385.785円,33回,34.51億円
3814,2019-10-08,1392,1406,09:12,1381,09:20,1399,11900株,17百万円,+26,+1.89,1396.16円,47回,35.17億円
3814,2019-10-09,1381,1396,10:47,1377,09:18,1391,2600株,4百万円,-8,-0.57,1386.654円,16回,34.97億円
3814,2019-10-10,1383,1394,12:30,1358,14:30,1358,10600株,15百万円,-33,-2.37,1376.198円,21回,34.14億円
3814,2019-10-11,1360,1386,09:13,1357,14:58,1373,2800株,4百万円,+15,+1.10,1362.964円,17回,34.51億円
3814,2019-10-15,1363,1363,09:00,1330,13:22,1330,7600株,10百万円,-43,-3.13,1342.605円,41回,33.43億円
3814,2019-10-16,1336,1336,09:00,1326,10:45,1335,1800株,2百万円,+5,+0.38,1330.389円,14回,33.56億円
3814,2019-10-17,1325,1331,09:09,1315,11:06,1320,3500株,5百万円,-15,-1.12,1319.914円,18回,33.18億円
3814,2019-10-18,1320,1328,12:59,1311,15:00,1311,2800株,4百万円,-9,-0.68,1320.036円,19回,32.96億円
