4583,2019-08-30,183,191,13:20,183,09:00,189,143900株,27百万円,+4,+2.16,187.977円,185回
4583,2019-09-02,190,192,09:04,188,09:41,190,103200株,20百万円,+1,+0.53,190.147円,134回
4583,2019-09-03,189,195,14:08,189,09:00,194,94400株,18百万円,+4,+2.11,192.509円,104回
4583,2019-09-03,195,196,10:31,192,09:42,193,127900株,25百万円,-1,-0.52,193.63円,97回
4583,2019-09-05,196,197,09:36,194,09:07,194,62300株,12百万円,+1,+0.52,195.429円,92回
4583,2019-09-05,195,197,13:03,192,09:07,194,163200株,32百万円,0,0,194.254円,142回
4583,2019-09-07,195,208,12:32,193,09:42,206,976400株,198百万円,+12,+6.19,202.967円,1085回
4583,2019-09-10,203,204,09:01,196,10:29,201,460000株,92百万円,-5,-2.43,199.629円,374回
4583,2019-09-11,200,207,13:11,198,09:00,203,276800株,56百万円,+2,+1.00,202.019円,290回
4583,2019-09-12,205,205,09:00,200,14:40,200,185400株,38百万円,-3,-1.48,202.45円,154回
4583,2019-09-13,200,200,09:00,191,09:31,192,503200株,98百万円,-8,-4.00,194.014円,320回
4583,2019-09-17,190,199,11:14,188,09:08,192,351400株,68百万円,0,0,193.311円,236回
4583,2019-09-17,192,196,11:25,191,14:54,192,207600株,40百万円,0,0,193.15円,201回,63.62億円
4583,2019-09-19,189,195,12:38,189,09:00,192,317400株,61百万円,0,0,191.736円,154回,63.62億円
4583,2019-09-20,194,201,14:43,194,09:00,200,377500株,74百万円,+8,+4.17,197.092円,304回,66.42億円
4583,2019-09-24,200,203,09:20,198,12:59,198,214700株,43百万円,-2,-1.00,200.582円,193回,65.75億円
4583,2019-09-25,199,199,09:00,194,10:15,196,175100株,34百万円,-2,-1.01,196.171円,120回,65.09億円
4583,2019-09-26,196,202,13:21,196,09:00,200,245300株,49百万円,+4,+2.04,199.419円,255回,66.42億円
4583,2019-09-27,200,201,09:08,194,11:09,198,225900株,45百万円,-2,-1.00,197.018円,167回,65.75億円
4583,2019-09-30,199,203,09:12,197,11:29,199,208600株,42百万円,+1,+0.51,199.512円,168回,66.09億円
4583,2019-10-01,198,205,14:00,198,09:00,205,298700株,60百万円,+6,+3.02,201.864円,190回,68.08億円
4583,2019-10-02,213,221,13:15,206,09:21,213,1947700株,416百万円,+8,+3.90,213.67円,1231回,70.74億円
4583,2019-10-03,207,214,14:51,203,09:01,214,520500株,108百万円,+1,+0.47,207.063円,455回,71.07億円
4583,2019-10-04,214,217,09:08,209,10:54,210,341200株,72百万円,-4,-1.87,211.935円,326回,69.74億円
4583,2019-10-07,215,226,10:05,210,14:57,210,1170400株,255百万円,0,0,217.574円,1102回,69.74億円
4583,2019-10-08,201,205,09:29,199,09:04,202,684000株,138百万円,-8,-3.81,201.767円,452回,67.08億円
4583,2019-10-09,200,201,09:04,197,14:10,198,364700株,73百万円,-4,-1.98,198.931円,243回,65.75億円
4583,2019-10-10,197,198,09:02,193,14:30,194,335800株,65百万円,-4,-2.02,195.041円,220回,64.43億円
4583,2019-10-11,195,195,09:00,189,09:40,190,515600株,98百万円,-4,-2.06,190.707円,283回,63.10億円
