4323,2019-08-30,1205,1241,12:53,1200,09:15,1211,19300株,23百万円,+8,+0.67,1214.005円,105回
4323,2019-09-02,1199,1199,09:00,1161,09:36,1177,16800株,20百万円,-34,-2.81,1174.595円,106回
4323,2019-09-03,1165,1197,15:00,1165,09:00,1197,7900株,9百万円,+20,+1.70,1183.101円,49回
4323,2019-09-03,1200,1203,09:00,1186,13:53,1195,8800株,11百万円,-2,-0.17,1194.989円,52回
4323,2019-09-05,1201,1226,10:12,1183,14:43,1196,36000株,43百万円,+1,+0.08,1202.086円,167回
4323,2019-09-05,1200,1220,09:00,1186,14:48,1189,25800株,31百万円,-7,-0.59,1199.085円,85回
4323,2019-09-07,1188,1218,14:26,1170,09:16,1214,12800株,15百万円,+25,+2.10,1202.266円,74回
4323,2019-09-10,1221,1234,10:47,1210,09:19,1220,13500株,17百万円,+6,+0.49,1223.267円,78回
4323,2019-09-11,1220,1241,14:47,1210,09:20,1238,12200株,15百万円,+18,+1.48,1228.902円,87回
4323,2019-09-12,1243,1258,10:07,1234,09:32,1246,11000株,14百万円,+8,+0.65,1248.291円,68回
4323,2019-09-13,1256,1256,09:00,1226,09:19,1237,12700株,16百万円,-9,-0.72,1242.772円,60回
4323,2019-09-17,1237,1251,11:22,1227,09:09,1240,7900株,10百万円,+3,+0.24,1239.392円,49回
4323,2019-09-17,1238,1276,10:30,1238,09:00,1256,15900株,20百万円,+16,+1.29,1255.736円,108回,70.49億円
4323,2019-09-19,1256,1297,09:28,1231,14:32,1240,22600株,28百万円,-16,-1.27,1254.943円,121回,69.59億円
4323,2019-09-20,1239,1249,10:06,1225,14:32,1234,14000株,17百万円,-6,-0.48,1234.464円,80回,69.25億円
4323,2019-09-24,1234,1258,10:06,1231,14:09,1254,14300株,18百万円,+20,+1.62,1245.119円,60回,70.38億円
4323,2019-09-25,1314,1323,09:05,1260,12:43,1273,36400株,47百万円,+19,+1.52,1289.462円,184回,71.44億円
4323,2019-09-26,1276,1288,09:39,1258,14:49,1268,26200株,33百万円,-5,-0.39,1271.618円,123回,71.16億円
4323,2019-09-27,1256,1286,09:00,1225,13:57,1235,19500株,24百万円,-33,-2.60,1243.395円,110回,69.31億円
4323,2019-09-30,1235,1235,09:00,1213,14:35,1221,8400株,10百万円,-14,-1.13,1220.083円,55回,68.53億円
4323,2019-10-01,1218,1245,09:41,1218,09:00,1233,9400株,12百万円,+12,+0.98,1237.34円,41回,69.20億円
4323,2019-10-02,1232,1246,14:52,1229,12:46,1243,11500株,14百万円,+10,+0.81,1237.974円,58回,69.76億円
